if you can get a reasonably priced used one , go for it       it's definitely worth it .
(canon's controls is much better in the past with smaller screens , as the sd300) some other options i found in other cameras not available on the canon   small lamp to illuminate dark areas when recording video or for shots without flash (casio , kodak) ; magnify videos during playback (on canon cameras , cannot magnify  .
comes on the lcd when trying) ; see a bar during video playback , similar to you media player on your computer so you see graphically the length of your clip , and where are you now (found on casio and fuji cameras) ; battery meter (found on casio models  .
to summarize , i think that canon needs a lesson from other manufacturers , that besides good picture quality , they leave so much to be desired .
this is my 2nd canon digital elph camera  .
both the prior model and this model take great pictures  .
i upgraded for a higher mp and smaller size which this model featured  .
while i would be tempted to give this model a much higher rating (based on picture quality and ease of use) , one major flaw and resulting canon customer service keeps me from doing so  .
that is , the symbols around the function dial in the back seem to be pressed on rather than etched into the dial  .
after less than a year of moderate use , my symbols have rubbed off and i can no longer tell what the buttons are for  .
since the camera is under warranty , i sent into canon for repair , but much to my surprise , is told that my camera had a dent in it which shows that the camera has been dropped and thus , the warranty is void  .
i is shocked , since my camera is in pristine condition  .
i went round and round with the canon service rep on the phone because i refused to pay $115 (  .
) to have the camera fixed and they refused to fix it under the warranty  .
i finally told canon to send the camera back to me and i am hoping that costco will stand behind the camera  .
i have owned 3 canons in the past and because of the lousy customer service and problem with this camera , i will probably never purchase one again .
canon charged us $107 to fix the camera after six months of use  .
when it stopped working two months later , canon wanted $107 to fix same issue  .
we passed .
in the last 6    months i have had to have the lcd fixed , not once but twice  .
i also get the infamous blue lines of death in low light shooting and on the videos  .
i really wanted to like this camera but can not recommend it due to the above faults  .
up until this camera , i have never had an ounce of trouble with any of my cameras  .
i may have gotten a bad unit but canon fixed this the first time and went over it , in their words   with a fine toothed comb and it broke once again at a football game in which my brother is playing  .
i should give it a zero but wo not due to the fact that so many others have evidently gotten a better made unit than mine  .
all i can review though is the unit that gave me nothing but trouble .
this looks identical to my canon ixus 700 , so will likely suffer from error e18 at some time ie the jammed lens  .
before you buy , look at error e18 on cnet or google for it , then think again .
hate to give this camera such a low rating other than to draw attention to a major compatibility problem with windows xp first the pros   great small size , sturdy casing , takes great pictures even on auto which is easy to set , has more features than anyone should need in what for most will be a carry    in    ur    pocket point    n    shoot camera , great lcd (this is the first camera that i actually prefer to take photos via lcd but the viewfinder is a great backup for those sunny outdoor shots where all lcds get washed out)  .
and has a neat color adjustment feature , that u can alter/correct a photo , save it as a duplicate rather than overwrite the original so when you download you can choose which is better , the original or the altered one  .
can save you time by not having to use photoshop later cons   and this is a major one  .
impossible to download to windows xp if you have another camera , scanner or multi    function printer/scanner connected to your computer without first disconnecting all those other imaging devices rebooting your computer  .
and i dont mean while youre using those other devices , just if theyre connected to your computer is enough to prevent this camera from downloading  .
and this is a pain if all you want to do is download a few pictures get back to work  .
this is because canon wants to hog that device manager and wont share with other imaging devices  .
i have multiple cameras , scanners , printers a multi    function machine and they all co    exist happily except the canons which wont share  .
canon tech support knows of this defect and even mentions it in a small paragraph buried in the manual but since this is a known problem with all canon imaging products , it should be noted in bold print on the box so you see it before you walk out the store however its an easy fix   buy a memory card reader for $40 but that means youll never use all the download features of this camera and while im at it   no battery meter  .
all you get is a warning icon when the battery is low which only gives you a few minutes to change batteries  .
and since you cant leave the battery in the charger more than 24 hrs , this means if you dont use the camera regularly , and you dont have 90 mins advance notice to charge the battery before you walk out the door , you always need a backup battery  .
another $40 so , this means youll constantly be opening closing the cover protecting the battery memory card to remove change them and the cover/hinge are not that sturdy  .
i fully expect that to break one day so make sure you buy this camera from someone like costco that has a no questions return policy and a final minor point  comes with a pitiful 16mb memory card which only holds 10    12 photos so count on buying more memory before walking out the store  .
another $40  .
most will do this anyway with any camera  .
but come    on , for canon it would only cost a few dollars more to include a 256 or at least a 64mb card  .
how cheap can they get in short , be prepared to spend another $100 to overcome this cameras shortcomings  .
but unlike other cameras , at least this cameras problems can be fixed with more money  .
and if you can afford it can work around these problems , it's a great camera .
i have 2 of the powershots  .
first is the sd600 lens stuck open  .
fixing is more than the cost of the camera , so i go buy a sd1000  .
gues what , same thing in the next couple of months  .
buyer beware , if you do not carry this in a velvet box and take pictures with bubble wrap surrounding it you will have a lens that will eventually not retract .
i loved the feel of this camera , owned it for two weeks , then returned it to amazon (no hassles  .
i hate to throw hot water on all the rave reviews , but , i'm sorry , this camera cannot take indoor pictures using room light only as you take each picture , a little red alarm starts blinking in the lower left of the lcd screen , telling you that there is not enough light unless you increase the iso , use a tripod , or turn on the flash  .
i did increase the iso , but it still blinked  .
every indoor picture i took over two weeks in several settings is of poor quality  .
i finally relented and turned on the flash  .
the pictures were okay , but washed out ; they lost the warmth of the scene lights on the christmas tree , etc i have come to the conclusion that one should not purchase a camera this small which does not have image stabilization (is) i did more research , and also went down to target and best buy to feel out other cameras , snapping a few pictures right there in the store  .
as a result , i am ordering the panasonic tz1 today  .
it's exactly the same price at amazon , but it has is , and also a 10x optical zoom  .
it's a little bit bigger , for sure , but is still quite pocketable  .
again , i'm sorry , but what good is a camera which cannot capture the feel of your subject matter  .
and , incidentally , the same blinking occurred in the store with this camera (with the flash turned off) , even under those bright fluorescents  .
and , in case you� re wondering , i do not have the jitters or shakes in any form  .
good luck .
purchased at target (which ripped me off for $299 when it is available for much less elsewhere) , and right out of the box displayed blue lines on all the pics  .
took it back and this time the pictures looked great until the lens decided to not retract  .
this camera and the headaches that i have had as a result are mind boggling  .
two defective cameras  .
maybe but i've had enough  .
how many cameras do i need to buy before everything works  .
this camera deserves a zero but c    net wo not let me go that low .
after returning three of these units to officemax for replacement (which were defective also) , and testing four more in the store which were also defective , i would tell any person to steer clear of this unit  .
make sure your crosshairs are centered in the viewfinder , the af assist beam centers in the crosshairs , the digital macro mode actually works without blurring images , and that the iso 800 and image stabilization work  .
in other words , check every aspect of the camera for features that are working correctly  .
also , the paint on the slider for the battery/sd compartment will begin to chip off soon after purchase (design flaw in my humble opinion)  .
should have made it metal and not plastic  .
the bottom line is that there were problems with every camera in officemax when i tried to make the purchase .
