the best mp3 player ever  .
99 for a music video , but there are many ways to get videos on to your ipod easily without using quicktime pro  .
one program you can use is the videora ipod converter , which is free (search for it  .
) and it converts all your videos to the correct format (mpeg    4)  .
all you have to do with videora is click convert , choose the video you want , select the resolution if you wish to change it (you will need to change the resolution if you want widescreen movies to look good ; checkout ilounge  .
com if you need help on what resolution to use) in about 45    50 min , i is able to convert the full movie , anchorman  .
(cartoons like family guy take 15    25 min on my athlon 64 3500+ w/ 1gb ram computer ; not too long of a wait) from there , you can just locate the converted file and add it to your playlist in itunes  .
then just drag and drop to your ipod as you would with songs (only takes approx a minute to transfer)  .
the files you converted and transfered will be under the videos    movies section on the ipod menu and all you have to do now is click play and enjoy  .
well now you know how to get the videos on your ipod , but how does it actually perform you ask  .
well the first problem is the slight lag that cnet mentioned  .
when you press play , it doesnt just play right away , but actually takes about 3 seconds  .
this not that a major problem , but it can be annoying at times (especially if you press play and your not sure if its the lag or that you didnt press the button hard enough   p )once you get the movie playing though , i think you will enjoy the screen quality  .
i did not expect it to be that good , but the movies i loaded looked great , and so did the family guy episode  .
(the video has to be good quality to look good obviously)you can scroll through different parts of the movies by clicking on the center button , which brings up the scroll bar with the length of the movies (just like on quicktime\itunes) and you can just use the wheel to scroll forwards or backwards  .
the slight lag will also occur when switching through different parts of the movie battery life   um not much to say about it besides that it is not good when watching videos  .
i am used to using aa batteries in a cd player that last for months , so maybe that also contributes to why i think it sucks , but really screen drains a lot of the battery fast  .
i would suggest switching the backlight to 2 seconds (default is 10 sec  .
) because you won't need the backlight on that long if you are just scrolling through songs , and it will definately help save battery  .
the backlight stays on the whole time if you are watching a movie so you wont' have to worry about that final thoughts   ok it is a pretty long review , but i hope it helped some of you who are contemplating on buying the 5g ipod  .
do i think its good  .
definately  .
could it use improvements  .
yes but every product can be improved  .
i use my 5g ipod for music mainly , but i like having the video features and it is something i actually use occasionally  .
i do not see a time where i really need to watch a movie on the go other than on long trips , but as i said before , if you're looking for a video player this is probably not your best option because of battery life  .
still , being able to watch family guy during class is cool or when you have to wait somewhere  .
do i think it is worth my money  .
yes i love my ipod , especially because of the 30gb space and it still does what it is intended for   play music  .
now to save up for those outragiously overpriced accessories  .
this player is great for bringing your whole music library and some videos with you  .
i've encoded home videos and music videos into it , and the new , slimmer size rocks  .
i also ponied up extra cash to get the wall charger , the new dock and an infrared remote control  .
i love the setup , except that the remote will not allow you to move around in the menu , even though it has a separate menu button on it  .
i'm hoping for a flash update , apple  .
the video looks good , as i've connected the dock via an s    video cable to my tv  .
i'm also getting the media cable , so i'll be able to carry my home videos with me to friends' houses and hook up easily into their tv    sets  .
encoding video for the ipod requires another $30 for quicktime pro , so they sure know how to squeeze juice from an orange my main beef with the ipod is the stupidly soft plastic surface  .
mine has gotten scratches in a couple weeks , even though i'm paranoid about it  .
i always use the included case or have it on the dock , so how the heck does it get scratched up  .
apple  .
even though the eq presets are pretty good , i'm still missing the ability to fully customize a setting to total perfection  .
the supplied headphones do not help  .
i've replaced mine with a $12 sony button headset , and it sounds ten times better  .
another beef i have is that once you get music from a couple of different computers , like i do at home , you cannot edit the existing playlists in manual control mode  .
the only way to manage them is to have itunes automatically update the song library , which would erase half of my songs  .
this is a little too simplistic even though i list a lot of issues , i'm still very happy with the ipod video and chose it over other similar players    over the media players because of size , and over other mp3 players because of the great sounding encoding , video support and great design .
click on  .
http  //www  .
yourfreevideoipods  .
com/index  .
php  .
ref  1662283  .
the offer is legit , i have gotten free product from this company before all you have to do is join , complete an online offer , and refer friends to do the same  .
that's it  .
go here for proof of free ipods    .
http  //www  .
wired  .
com/news/mac/0 , 2125 , 64614 , 00  .
html  .
tw  wn_story_page_prev2  .
video clip about free ipods from nbc  .
http  //tinyurl  .
com/6qen2  .
this is definately a great upgrade to the ipod with color , now it has a bigger screen , hard drive and video capability  .
minor things that aren't a big deal are that it scratches and that it doesn't include accessories like a firewire cable or a wall    charger  .
i left the protective film on front , so that it wo not scratch until they release a skin for this model .
i like the weight and size  .
the larger screen is nice  .
great video quality  .
i've downloaded my own music videos from my collection and they showed up great (anime music videos)  .
i tried using quicktime pro to convert  .
that failed miserably    just loading a xvid file crashed quicktime  .
www  .
videora  .
com  .
videora has made a open source , free converter just for converting xvid , divx and more specifically to a g5 ipod  .
worked great and loaded just fine  .
you can even queue jobs and whatnot  .
btw , i bought this as a replacement for my mini that is stolen  .
about the same price ($50 diff) but better storage , vid capability  .
personally i set the screen dimming to 2 seconds to cut down the screen drain on the battery .
everone keeps talking about the archos av420  .
if you haven't noticed , it's considerably more expensive  .
i've been researching mp3 players for agess now , and have even looked into the new sony walkman coming out (same price as ipod nano except teh sony is 20gb w/o colour screen)  .
i cannot poossibly see a reasonably priced alternative  .
the archos 402 in the uk atleast is around â£30 more expensive , and it doesn't seem to fofer anything extra  .
the ipod has a whole 10gb over the archos , and neither can play fm if you think about the archos doesn't look as nice , the interface is not as easy , and does not hace software that works seamlessly like quicktime in all honesty , it is one of the cheapest players which has such a reputation for quality behind it and plays video  .
no one can name me an alternative to it for the same price or price range .
apple once again has announced a new generation of ipod's  .
we started with the shuffle to answer the question , where's the 'budget' ipod  .
then we saw the light with ipod nano , a petite version of the 2005 release of the ipod photo  .
along with the small space came a smaller price and smaller capacity  .
now we are delighted to see the ipod recieve video capability using apple's well developed quicktime movie format (  .
mov) and other popular formats such as mpeg    4 the ipod can now provide video playback of movies , music video , home movies or what ever your heart's desire  .
transfering the movies or video is easy as transferring your music , with apple's quicktime pro 7  .
along with that you can use apple's itunes to access the music store , which should now be deemed media store , to download tv shows , music videos from your favorite artist and other short films such as pixar's cg animations  .
the videos , priced at $1  .
99 are limited now but are likely to expand to many mediums come the end of 2005  .
so what are the key features of the new ipod  .
and what are the bad sides  .
apple's ipod has always been designed for style  .
it's a simple device that has a nice interface and a reasonable size  .
these features are most important to consumers  .
a lot of other products do not offer the same line of features the ipod has , therefore , most people cannot see themselves owning a device like that  .
apple has won on this level over many years  .
but the downsides are still there only links with itunes  .
if you use winamp , wmp (windows media player) or another third    party media application you cannot sync it with your ipod  .
itunes does lack some subtle features that other players offer but the ipod still falls under that ease and finesse category for usability  .
we also hear users talk of poor sound quality from it's headphones and lack of bass  .
this is slightly true , but also consider the quality of the mp3 plays a big part in this situation  .
so before jumping to that conclusion a little more investigation on your part maybe needed so overall the new apple ipod is a winner  .
and students you can still use your student discount  .
also check to see if your school has purchased an itunes license , like mine has (drexel u) which allows you to download music right from the itunes store , for free     mo  .
ose     .
im just curious if anyone actually owns one of these yet , i would like to get one but im poor and want to make sure that its worth the buy ive looked into the archos and ya they have more feature but there $100    $200 more then this product if someone out there has some real info on this product whether it is worth spending the money on lets hear it rather than bad mouth the product before it sits in your hand .
everyone is either complaining about how stupid it is to have video ; its just a freaking extra  .
it doesnt affect any sort of music playback capability  .
it has an extra 10 gb , and a larger screen my point is video is just an extra .
it is not that apple being inovative its that they are setting the bar  .
also they are offering it cheaper  .
the ipod is what all mp3 players want to be , this causes a flood of very cheap mp3 players and apple had to upgrade the hard drive and functionalty of the ipod to justify a $300 price tag  .
that is why they still call it the ipod .
i like this new ipod and all , but i do not like the fact they put it out like a month after the nano , i feel sorry for all the people that went to go out and buy that tiny little flash player  .
also , its a super small screen , they couldve went sideways and made a new design and made use of its rectangle shape  .
all in all , i like this new ipod , i just dont like the timing and the small screen .
thinkseceret stated that this is not the killer app that apple has planed to come out in 2006  .
steve jobs said that the ipod will succeed because its primary app is still music , and the market is still not ready for video , acording to ny times  .
i agree with thinkseceret in that they are working on a true video ipod , and that this is just a really cool ipod with video capablilty  .
when the real thing comes out it will have a widescreen , and the next itunes will have full length movies .
i is verrrry close to ordering the cowan iaudio x5l a few days ago until apple unveiled this piece  .
i knew i did not want the old photo ipod b/c cowan and sony nw5 were better 20gb+ options  .
the cowan x5l has video , 30hr+ battery , and i personally like the file tree system they sport  .
plus the fm radio and voice recordings would be great but now apple's video ipod no doubt has a bigger , sharper screen for video , plus it is much thinner than the cowan xl5  .
aghhh makes for a tough decision  .
i guess it all depends on your personal preferences  .
i'm torn between cowans battery life and fm tuner to apple's smaller design and better video so i ask to you is there a best of both worlds  .
i bought this a while back so my review is late perfect for what it's intended purpose is  .
i is very leery about trading my cds in for a sleek mp3 player , but when i found out how reliable apple is when it came to the ipod i thought it would be worth a shot  .
i was not disappointed  .
if i had reviewed this after i bought it (immediately after) , you would've seen a perfect 10 i cannot give it a perfect ten though just because well the video is great but  .
mp4 is hard to come across unless you look for what's being pirated or you're buying from the itunes store  .
that's not a huge problem but a lot of my library is from cds so i don't get to use it as a video player because i just don't want to pay for the shows or the music videos especially when i might already have them , just not in the proper format i also ran into issues when i would synch said ipod  .
not that i is having real issues it's just that the connector is tempermental and did not like me one bit  .
it liked to jiggle and reset itself on my computer and then it would sync all over again  .
is very frustrating  .
as for the software updates , there were two times when to install them i had to restore my ipod and then put all 9 gbs of my music library back on it but ultimately i do not think that i'd be happier without the ipod and it's still too perfect as a sleek , small , and very potent mp3 player for me to feel that it's nonessential to my life .
i used to have a creative zen , and i loved it  .
it is bulky , sure , but held up to anything  .
i ended up dropping it and only broke the headphone jack  .
but it is 2 years old and i didnt know how to fix it  .
my boyfriend ended up getting me the ipod 30g video for xmas it has good sound , and i really like the large screen and the nice click wheel , easy interface  .
however features on my zen that i is used to    making playlists on the go , being able to rearrange and delete/add songs at my whim    either arent useable on the ipod or arent easily explained  .
i also find it annoying that i only seem to be able to shuffle all the songs on the ipod , and not a specific playlist or album  .
i have a lot of music on my ipod that i may not listen to a lot , but i'd rather it have it on there than not overall i enjoy my ipod , but things like playlist editing on the go and shuffling songs really annoy me .
it is a very cool product that lets u watch video and play music but the only things wrong with it is no bluetooth or wire less lan and a very short battery time  .
i have been using this 5g ipod for about 3 months  .
music quality is good  .
volume is adequate but at max volume , it may still be inadequate in noisy environment  .
the included ear buds easily falls out if not inserted properly  .
the screen is great but can get wash out in bright outdoor environment  .
i am having fun with all the accesories that is available with the ipod .
though much better then old ipods , the battary life is very short unless you buy the 60gb model  .
you must have a case so add another $30+ to the real price also you must use itunes , bad software overall try and wait until other companies sumbit competing products , you will get more for your money .
my 2nd music carrier , i'm pretty satisfied with my decision  .
warrenty is worth purchasing as an extra  .
battery life is my only concern  .
word to the wise   a good case is a must when purchansing this item  .
the videos are overrated , but everything else is adaquate .
if you want a legit video player , this is not for you  .
i'm a happy owner of a 3g  .
is not convinced to buy a 4g just because of a better display  .
still not convinced to buy a 5g until it allows me to watch dvd quality and hook it up to a monitor  .
i have instead a portable dvd player with a monitor for my travels .
alright , there are way too many whiners , complainers and idiots that have reviewed this item  .
and you know what  .
it gives no friggin useful information to anyone so let a wise guy give the definitive review here to silence the squables audio excellent  .
no big suprise here  .
all of the ipod series have produced good quality music even with so    so head phones/earphones/earbuds on  .
there are plenty of eq settings to keep people happy , i know there are a few that want manual eq settings but seriously , the amount of people that can hear the difference between the rock setting and if i eased the treble up one notch are few and far between  .
if you can , you should probably go work at bose or something battery life the biggie here  .
its not great , if left running continously , according to cnet it will run 14 hours  .
with the way i listen to , changing songs about ever 7 min or so , it lasted me i'm guessing 12 hours (i had to recharge it after day 3 with about 3    4 hours of listening per session)  .
that is achieved with close to the loudest setting and no backlight  .
your mileage may vary , but whichever way you cut it you can always use more battery life video the culprit of the whole bash sessions i read here  .
i tried the video , and honestly , i'll go with steve jobs here  .
its just an extra damn bonus nothing more , nothing less  .
before y'all get your knickers in a twist , watching a tv show on a 2  .
5 inch screen is already tedious lets not even get into watching a full length feature film  .
yes i know there are other pvp players out there , or mp3 players with video capability and i'll still say the same thing  .
you're nuts if you're gonna watch lord of the rings on a screen , any screen , maximum size of your hand  .
i let my friends try to watch videos on it and we all eventually held the ipod closer and closer to our faces  .
so did it matter to me that with video the battery life gets cut down to 2 hours  .
nope  .
for those who posted on here saying how great some other pvp or mp3 player with video capabilities has made their life seriously , you're watching a tv show/movie on a screen smaller than the size of sliced bread  .
how comfortable is that anyway  .
i agree it makes for pleasant distraction for those who utilize mass transit systems frequently but for those who got the ipod for jogging/studying/easy listening/or drive their car to work i doubt they will give a bunny fart about watching some tv show they missed  .
that being said , watching a music video on it ok  .
watching an episode of sex and the city err do    able  .
watching a ripped dvd/vcd/whatever your eyes will die long before the ipod's battery dies user interface if my tech challenged parents could use it so can you  .
if you cannot , then my friend , you and i need to have a serious talk about your scholastic/academic/mental capabilities  .
jesting aside , it's hopelessly easy  .
you either scroll up or down , press the button (the big fat white thing in the middle) to select the option/menu you want and press back to get back out things i don't understand why cannot apple stick a radio on their  .
i see how it maybe ironic to have 30 gigs of music and still need a radio but who knows right  .
bare bones acessories  .
what the hell is going on here  .
i shell out 300 bucks the least they can do is give me a decent case , dock and charger to go along with it as for the rest who complain about how apple is a great big evil company well get over it cafone  .
either you never took a course in business or your just too stupid to realize the most basic rule of business to make money  .
if you have lots of shareholders , then you must make lots of money  .
of course they are going to change the ipod around at some point forcing other companies to either renew their contract or something  .
of course they are going to pump countless millions in pr to get their product out in the open  .
of course they will charge you money to buy video/music to go along with their products  .
and if they are really competitive they will limit their products to be only compatible with the videos/music they offer you don't like that  .
well tough luck  .
i'm not saying this because i like/dislike apple  .
to quote the godfather on this , it's nothing personal , it's just business whether you folks out there like it or not , microsoft , apple , creative , iriver , samsung are all about making money first  .
do you not think , that given the chance , creative or anyother company would kill to do exactly the same thing  .
but sadly apple is the one company that beat all others to the step and finally , to quote a previous reviewer most people want to be able to plug their mp3 players to their computers and have it sync without extra configuration  .
ipod does that  .
most people want to get videos on their ipod by just plugging it in  .
apple does that  .
most people don't care whether it has video streaming , bluetooth , wifi , infra    red , manual equalizer , dolby digital , pim tools , mpeg 1 , 2 , 3 , 4 , 1098354 support , wma , ogg , rma and god knows what else  .
all they care about is that its easy to use and it works  .
apple does that  .
yes you can smirk with your all knowing smile thinking that 75% of the people out there are idiots for buying an ipod  .
you can smirk till you're blue in the face and it wo not change the fact that the ipod , as hated as it may be , is still a very good mp3 player  .
but the truth is , in the end , will your superior wonder gadget be obsolete within 2 years , most definitely  .
will the ipod  .
yes  .
so whats the difference really  .
this is the best and most freaking complete review so far that is unbiased  .
so i better not see anymore of you pezzanovantes come up with another smart remark about this subject  .
that's it boys , watch your backs and keep your noses clean .
i have been an ardent fan of cnet reading almost every other available and trusting them blindly if i want to buy something new but i dint really udnerstand how cnet rated ipod video as 8  .
3 with 2 hr battery life  .
you say battery life is sick and u rate is 8  .
3 thats almost flawless in most of the other reviews cmon james kim are you listening  .
moreover apple is tyiing up everything to its popular product and trying to make money much like defamed microsoft  .
people comlained about ms as they are shipping ie with windows  .
but apple has taken a step ahead its asking customers to buy quicktime to dump videos and itunes is only thing that can be used to interact with ipod why not wmp  .
apples going down one days .
i will start by saying i do not own this model (yet  .
i own a g4 ipod  .
also i am not a sheep who has blindly jumped aboard the apple    cart  .
i actually did alot of research into mp3 players before purchasing my g4 ipod  .
sony , dell , rio etc all had some good qualities and some (battery life) better than ipod  .
but for me and my purposes the ipod is the best choice and i love it  .
as for the new ipod (and notice i didn't call it the video ipod since that is not what apple is calling it either)it is just that    a new ipod  .
an ipod with a new feature    the ability to play video  .
when you go to buy an ipod you won't choose between video or non    video    its just the ipod  .
yes perhaps the archos is better as a pvp since it has a bigger screen  .
but it is also bigger all around , twice as thick and twice as heavy  .
if you want a pvp get a psp or an archos , but if you want a device that you can really carry with you all the time that plays all your music (and also happens to show photos and video) then the ipod is great  .
instead of everyone complaining about how apples marketing have forced people to buy ipods    why do not you go buy some apple stock and take advantage of their brilliant marketing .
i dont really like it much at all  .
the 30 gig for $300 looks good but in reality all the stuff you want and need to make it a more functional mp3 player costs alot  .
and i dont like the smaller click wheel or the incredibly weak battery life i would go with the archos or the zen vision if you want a video player  .
they offer better battery life and more features archos even offers a battery that lasts 15 hours for video and creative offers one that lasts nine  .
and that my good friends , is amazing .
i is very excited about this product  .
i couldn't wait to watch shows on this unit  .
but after downloading one episode of the office , i is disappointed  .
the video playback doesn't flow very well  .
it almost has a split second lag at times  .
forget about watching content with lots of fast    moving action music player is great  .
it's easy to navigate , the equalizer is nice to have , and of course , there's itunes  .
there are times however , that a track wo not play unless you shut off the unit and turn it back on after a minute or so it's nice to see that they're offering games on itunes now 30 gig is enough for me  .
i did a quick calculation , and figured that it will take about $6 , 000 dollars to fill    up the balance of my memory , with 99 cent itunes songs overall , i think you'll be happy with this product .
this is my first ipod and i'm a fan  .
however , i have had problems with buttons sticking/not working  .
at one point i had to let my ipod completely drain itself because i couldn't get it to turn off  .
i do not know if this is an issue with newer versions  .
overall , i am happy with the unit .
