i am a bricklayer in minnesota  .
that does not sound like a big deal except for the fact , these programs will automatically start and you cannot prevent that from happening  .
they kill your battery and take up precious cpu resources  .
i can barely make it through the day without the need to recharge on minimum use  .
the onscreen keyboard and slideout keyboard are its saving grace and one of the reasons i chose this over the hero  .
before i recommend this phone to someone sprint or samsung will need to release a patch to enable the removal of programs that start automatically (even after you kill the process)  .
or a way to permanently turn off selected programs .
this is a great phone other than the battery life and i cant seem to find how to delete ringtones and stuff but overall i love the samsung moment  .
i like this phone but feel it should have far fewer problems than it does phone sometimes has problems hanging up , touch interface is sometimes sluggish/laggy (iphone is flawless with it's interface speed)  .
it should also run much faster , considering it's got an 800mhz processor  .
the slide out action starts to feel not    so    solid after about a month of frequent use  .
internet youtube performance somehow decreased when i connected to the starbucks wifi  .
oftentimes while in a call , the screen would go black right as i is trying to enter numbers for the automated system (which are already frustrating enough to deal with  .
) , sometimes hitting the numbers while in a call had no effect , thus ejecting me from an automated system and causing me to pull hair out  .
samsung needs to fix all of these real    world issues with a software update  .
and hopefully android 2  .
1 will solve the rest of them i'm a pretty hardcore samsung geek , with two lcd's for my dell , a samsung laser printer (with a dell logo on it) , a samsung 52 hd lcd tv and a samsung blu ray player  .
this was not at all intentional i've just found these particular products the best value  .
and the samsung moment is probably no exception  .
it's their first android smartphone so they need to fix the issues that users experience multiple times each day  .
and fast  .
okay phone if battery life is anywhere important to you this phone is not for you  .
if i could exchange my phone for a new one i definitlely would .
check out other options  .
if i were to do it all over , i would look closer at htc phones  .
this is the second samsung i've had and i thought they would have improved over my last phone , at least on battery life  .
(old phone is an instinct)  .
next time going to wait  .
not happy with phone solely because battery does not last .
it is not worth the money , good idea but terribly executed .
this phone is extremely sluggish  .
it's drives me crazy trying to make a simple phone call  .
it force closes all the time  .
while on the phone it is continuously muting itself (and i have the updated software)  .
it's very frustrating  .
the speaker phone does not work at all  .
i have yet to have a conversation on it  .
everyone tells me that i sound muffled and that they can not hear me  .
my screen has shattered twice since i have owned the phone (3 months) from , like i said , simple , light falls  .
the glass is way to sensitive and should not be shattering so easily  .
my nieces phone has shattered once already as well  .
she has this same phone  .
i have owned many phones and have never , ever had my screen shatter the way this one does so easily  .
i seriously think something is really wrong with this phones screen as what are the chances of the screen having to be replaced three times in one family from ebing shattered  .
i am normally not hard on my phones  .
i've only had this phone for 3 months and i already want a new one desperately .
not a road warrior phone / business user phone  .
would like to keep an android phone with pull    out keyboard    but battery and usability in car are deal breakers  .
i prefer a battery that can last a few days with moderate use of sms , and checking email via mobile web  .
having to unlock the phone every time the screen goes dim is annoying  .
(android issue / not samsung)  .
will have to downgrade to a dumber phone i'm afraid  .
very sad for me since i'm an e    commerce executive trying to use current technology curve .
watch out where you buy this device or sign up for a sprint plan  .
we (me and my family) signed up at an authorized sprint dealer  .
authorized by who we ask  .
we began having these problems with the phone within one week  .
when we returned to the authorized sprint dealer they could not have cared less , sending us to exchange the phones at a sprint corporate store  .
we get the a local sprint corporate store in a mall , and they check out the phone affirm it is defective , then ask us to go to the radio shack three doors down in the mall  .
huh  .
we go to radio shack telling the store manager we were sent by their neighbor sprint  .
radio shack store manager asks for the phone number assigned to the phone looks the number up on his database , then goes to the back of the store and gets a replacement samsung moment  .
he explained that radio shack owns the kiosk in sam's club where we originally signed up  .
problems with the phone persist  .
frame freezes and the phone mysteriously goes into airplane mode which stops all incoming / outgoing calls until you take the cover off , pull the battery and reset / reboot the phone  .
sprint corporate reps tell us to wait a few more days , your 30 day period has almost gone by ; when that happens you can get full sprint customer service  .
well , 30 days came and went  .
the sprint full customer service rep tells us we need another new device  .
we tell the sprint corporate reps that we have been patient and tolerant enough already with these problematic samsung moment phones , we would like something more reliable whether it cost more or less , we do not really care (if less , keep the money , just provide us with something reliable)  .
here's the real smack in the face   sir , your 30 days has expired , now we can only replace with the same model , the samsung moment  .
ok , we are patient , cordial , and tolerant of the unreliable device for just over thirty days and now we are stuck because of our patience  .
corporate policies be darned (not the word i is looking for) , what about simple and reasonable customer care  .
lesson   ask plenty of what ifs no matter who you are buying / contracting with .
phone needs improvement , its just a copy of tmobiles g1 , same everything but for sprint and the worse part , if you are on a phone call you have to worry if your face clicks on something , this problem is never done with iphone but then again , iphone has no keyboard  .
had i known the phone is this bad , i wouldnt have sign extension with sprint to get this phone  .
i love the fact that this is a good business phone  .
i get my office emails and calendar from outlook , which is great  .
unfortunately , i need bluetooth and wi fi as well as text , etc  .
if i try to use all of these programs the phone lasts 6    8 hours  .
if the only answer is don't use them , then why do i need the phone to do everything  .
if there is a hard shut off for programs , i cannot find it in the manual  .
i also cannot find how to synch my phone with my personal computer outlook calendar through the usb  .
maybe this is a sprint problem and not a phone problem , but the gps does not seem to lock on unless i'm outside making google maps and places directory useless  .
it took me fifteen minuted to find a hair cuttery , and i finally gave up  .
if there is a better way to use the phone , then the directions should explain that to you  .
i'm just praying this gets better and i learn more before the two year contract is up  .
otherwise i'm getting a iphone .
i purchased this phone the saturday before its official release  .
i must admit that the phone is very nice  .
the screen is beautiful , the physical keyboard is great , the app store is awesome , and you can pretty much customize the phone to your liking  .
however i returned the phone because of its battery issues  .
if you want to prove whether i am being truthful about the battery issue just do a google  .
after unplugging the charger once the battery is full , the power will jump from from 100% to 80% after touching an app on the phone  .
you will have to charge this phone at least twice a day with minimal use  .
this is a known issue and it is hard to believe that people are giving this phone a 5 star  .
do not listen to these people saying just download task killer and everything will be fine  .
i downloaded task killer , turned off gps , set email settings to check once a hour , and every other thing suggested online and this just do not work  .
i think an update is needed to correct this problem  .
so i returned the moment for a htc hero on wednesday  .
i really wish i could have kept this phone but it is useless because unless i is able to stay by an electrical outlet it is a waste  .
i hope i have helped someone to make up their mind concerning this purchase .
the android and all its apps , have more relevance than the billion apps found on the iphone  .
if your looking for true efficient ergonomics the samsung moment will freeze time and enable you to escape onto the highest peaks of the world of mobile telecommunication  .
sliding the screen back and accessing the keyboard filled me with the same satisfaction i recieved when i first loaded de_dust 2 in counterstrike or the pure bliss of turning over the fourth card in a magic the gathering booster pack and finding a mox lotus  .
in summation buy google phones  .
i have to take the battery at least once per day  .
i'm on my 2nd samsung moment  .
the first one i returned to sprint because i is certain the phone must be defective  .
the 2nd one is just as bad  .
often the phone rings and i cannot answer because the buttons are frozen .
this phone just doesn't give me the feeling of security and reliability  .
it just does not work the way it claims  .
should have stuck with my blackberry .
switched to this from the motorola cliq and is met with a myriad of disappointment  .
it would seem that this phone is rushed to compete with already available competition by offering features not previously available , however in the first week i became vividly aware of all of the bugs and qwerks that differentiated this with other android offerings  .
first off the well known issues are of amongst the worst , enabling wifi will in most cases either immediately lock up data on the phone or at random , this is a known issue that samsung refuses to acknowledge or remedy  .
i is pleasantly surprised to realize the potential of evdo on the device but it seemingly struggles holding onto an evdo connection and often reverts to 1rx without warning or provocation  .
the phones hardware seems more than capable to handle tasks previously unavailable to mid range handsets but menial tasks such as pandora radio instantly crash or function poorly  .
the overall firmware issues involved with the phone have drove me to the brink of reviewing the source code and re    writing large portions of it  .
needless to say out of box performance is abysmal and has easily deterred me from considering samsung in future for android based devices .
online forums consistently reenforce that the phone has some serious bugs which have not been fixed  1  .
airplane mode  .
will turn on at will and shut down incoming calls , 3g , and outgoing calls  .
you have to manually reset it (which means you could have been unable to receive phone calls for hours really bad if you use this phone for any kind of business application)  .
3g does not work well , or sometimes at all  .
reception on the phone can be unreliable , and not even as good as the $20 phone you picked up for your little nephew to chew on  .
the moment has issues getting on , or staying on wifi  .
my little itouch does this seamlessly , but with the moment i am always checking to see if it is connected , then trying to convince it that there is a wireless signal , and to get on it  .
kind of a hassle i would classify this as a smart phone failure  .
it would be better to use an itouch (for cool apps) and an old beater phone that works , then have a new android phone that only works half of the time if you do not need a reliable phone , and want an android (google os) , then this phone is for you  .
if you need something that is reliable and consistent , then by all means , do not get this phone  .
this phone is a disappointment  .
i am sorry i bought it  .
i thought it would live up the hype it didn't  .
do not get me wrong , there are some wonderful features on this  .
the games apps are nice and you can actually see what you need to make this work  .
youtube streams wonderfully and has given me quite a few moments of fun and laughter while waiting for appointments and at the dmv the phone is a relentless butt dialer , even in the case made for it , some how the screen rubs and comes to life and it's off and dialing  .
not unusual for this phone to send random texts and e    mails  .
the camera is mediocre at best and the video camera is more useless than the camera on my lg rumor  .
all in all i am very disappointed and am looking for a new and different phone .
i think this could have been a good phone if they spent more time trying to make it a good smartphone  .
again , why mute on the main screen  .
why , why why  .
their are so many why did they do this it is not a very good phone , i am very dissapointed and wish i would have gotten something better with some of the same features , but now i am stuck  .
on top of it my provieder sprint is not very good themself , so i have two big problems  .
i use my phone around 6000 min  .
a month for business , so i depend on my phone , so i am veyr upset and dissapointed about my ability to constantly drop calls , people cant here me , people say i sound bad , the complaints go on and on and on  .
i just wanted a really good phone , but i got junk that dose not work well  .
, that is unless you want music , camera , apps , email , but for a phone , no  .
bu something else if you want a phone not a good phone at all , a waste of money and will drive you crazy .
would not recommend this phone to anyone  .
theres so many other choices  .
calls don't always come through and it doesn't say missed call on the phone  .
it rings when it wants to even though its on loud  .
lastly if you get on the internet a lot or text message a lot the battery is not for you  .
yea they sent out a software update twice that is supposed to help these problems but it did not  .
if you do buy the phone i would say make sure your in a good area to use it even someone from sprint support stated that when i called about the issues .
specs   sph    m900 , upgraded android from 1  .
5 to 2  .
1 , eclair  .
de03 , linux kernel 2  .
29 rooted  .
if sprint is looking for a motorola droid competetor this is certainly not the answer battery life   i purchased this phone with android 1  .
the battery life is fine for the first few days  .
about a week later it would go from a full charge to 80% in about 30 seconds  .
maybe that's why they call it the moment , cause it only really stays on for a moment or two  .
it did not matter if you were running 1 program or 50 , with wifi and gps on or off , or even in airplane mode  .
i researched the issue , and the battery life on this phone is terrible for 3 reasons , first there are communication issues between the battery and the phone  .
your battery can be fully charged but your phone reports it about 20% lower than it really is  .
second , 800mhz is a hungry processor  .
lastly , the cpu has problems idling  .
sometimes it idles sometimes it runs at a full 800mhz , even in standby  .
and when it's not idling it gets hot to the touch  .
heat destroys lithium ions (moment's battery)  .
so , it's a vicious circle  .
upgrading with the cl14 update and later to android 2  .
1 did not fix this issue  .
some experts say that washing the battery (full discharge and recharge 3 times) will solve this problem  .
this would be fine if it were a nicad or a nickle cadmium battery , but lithium ion batteries should never be washed  .
it litterally cuts their lifespan in half how i fixed the battery life   i rooted the kernel , deleted all of sprint' bloatware , and downloaded 2 programs from the android market   setcpu    which allows you to control your cpu to the t , and spare parts , which allows you to change certain settings in power usage  .
with these fixes and a fresh new battery , i went from average 6 hours of battery life with heavy use , to about 24 hours with heavy use look and feel   at first glance the phone is nice  .
it's a little bulky but it doesn't take up too much pocket space  .
the screen along with the resolution are a huge plus  .
it is able to run mobile youtubehd which is great  .
the keyboard is great  .
not as good as the htc touch pro was , but it's a close 2nd and it puts the droid's keyboard to shame in terms of ease of use and overall feel performance   the phone does perform though , when it's not crashing and force closing apps  .
one problem i've found and heard from many other users is the phone just shuts off  .
for no reason at all , it will just go into a hard shut    down  .
receiving a call  .
sending a text  .
too bad  .
the moment doesn't care  .
the android os provides for much of the moment's functionality so i'm reviewing the phone not the os  .
however , when i found out that the moment did not have native live wallpaper support in the 2  .
1 update , i is very disappointed  .
it does however support live    wallpapers with a manual configuration features   whoever thought of the standard headphone jack on this phone should be promoted  .
genius idea  .
who wants to pay $30 or more for a micro    usb to audio converter  .
i do not  .
honestly , this is the best feature on the phone usb connectivity is an absolute nightmare for anyone who's not computer    savvy  .
even i had some problems  .
i should not have to download 100megs of drivers for this to show up on my pc  .
some skeptics will say this is windows' fault but it's really samsung's when it comes down to it  .
it took about 4 hours and 2 computers to finally get it recognized on a computer conclusion   i do not understand why cnet gave this phone such a rave review  .
my guess is the person who reviewed it had the phone for about a day  .
if i had this phone for a day and had to reviewed it , it would receive 4 stars too  .
the moment is just a mediocre phone  .
it's a great device if you only use it as a phone  .
it looks great on paper , but when you actually sit down and use it for a while , you'll quickly realize its shortcomings  .
honestly , look at the market values  .
why do you think the moment is down to $69  .
99 and the droid is still $199  .
the problems of the moment had a negative effect on its popularity which , in turn , increaded its refund and return rate which decreased its market value frankly , the moment is a poor to mediocre android phone    woodhammer  .
updated  .
on may 19 , 2010  .
would not recommend  .
the phone has a super cheap feel to it and the os isnt streamlined in any fashion  .
do not buy .
i wanted to keep this phone liked it for it's apparent features but with the technical issues i went thru , i just had to change to another brand at my phone service provider  .
i switched to the htc hero totally pleased now updated  .
on mar 15 , 2010  .
