i read a lot of reviews and did a ton of research on gps's  .
plus , there is no background noise filter  .
then if i get out of the car with the gps on and i have a call coming in , even if i click [activate handset] , the gps will keep taking over  .
then i sit there wondering what happened like the at t commercial  .
granted , the gps is smart enough to shut up when i'm on the phone , just giving text directions rather than voice , but it's still annoying also , the detour feature that is available only actually gives one other alternate route lastly , whether you pick shortest distance or the shortest time directions , they're usually the same  .
yes , the same stupid route that no local person would ever take  .
it gave me directions from jacksonville , fl ro atlanta , ga  .
it turned my 7    hour trip into a 9 1/2 hour trip by taking me through all these country roads where i is stuck pickup trucks traveling 40 mph below the speed limit i would have given the nuvi 360 a worse rating except for the fact that this is the best for your money  .
but , i would not buy this again .
if you are planning on using a gps in your vehicle only , there are better units to be had  .
satellite acquisition is slow , as is recalculation after missing a turn (which could be a problem in i need a route now situations , and pre    turn warnings often left me on top of the street and having to make fast lane changes there are lots of bells and whistles (downloadable car icons , an mp3 player , travel kit , etc) , but all of the positives were overshadowed by one issue with the one i bought       the speaker quit working as soon as i would plug it into the vehicle mount  .
it turned on again when it is taken off , so i'm sure it is just a bad wiring job inside but as with other electronics , i've learned if you get a bad one out of the box , find something different  .
the qc just is not there personally , i'm going back to my streetpilot 340  .
i have now had the unit for a few days , and realized that it is useless beyond car navigation i am very disappointed that it cannot do some of the basic gps functions  .
i upgraded to this gps from another garmin one , focussing on the high end features , but did not realize it is poorly executed on the low end , i probably would have chosen something else  .
what i miss    .
tracks and log files       these are indispensible for any portable gps , i find it very disappointing that this is not included  .
as this is meant for travel , on the go this is indispensable  .
bluechart compatibility   this is the perfect unit to take on small runabout boats i don't understand why bluecharts are not supported  .
it is not waterproof , but users can take the responsibility    more configuration options       it seems like you made it easy for the masses , but forgot the interest of other gps users  .
i think an advance page could have easily been added to make it customizable as the older gps were  .
specifically , the poi do not become visible until you are very zoomed in , it would be good to be able to program at what zoom level they become visible , similar to your older gps  .
many other configuration options are missing as well  .
compass page       not as big of a deal as above , but would be nice , especially for hicking    bluetooth   i would have thout it would be tighter integrated , allowing you to do downloads + other mapsource interraction without using the usb cable  .
only used for phone  .
nmea incompatible       i do not understand why it is not  .
eapecially with bluetooth , this would have been a great feature overall , i thought garmin would continue to add features to their gps rather than drop what has made them succesfull in the past  .
this is a high end portable gps unit , and as such , it should have the basic features  .
i am very disappointed in the software of this unit and the limited capabilities  .
it could have been a great gps unit , but turns out to be a bit of a dud .
i is interested in this gps for a long time , i waited just for the right time to buy it after reading all the great reviews on the cnet  .
i am not going to go in details about the pros because it has been mentioned in the previous reviews but the i usually park my car in a garage and when i turn on the nuvi , it took a full 10 minutes and 20 times around the block to pick up a signal i put in the restriction of avoiding toll routes , but it still lead me on a tolled route when i know for a fact that theres is an untolled route out there when i went to nj to visit my friend , it is great on the way there , but on the way back , the navigation blanked out and calculated a route for me to take to go back to virginia when i live in ny sometimes when i follow the navi's directions , it will suddently recalculate to and give me another direction  .
very confusing there isnt any detour option or road block  .
based on other reviews , i had similar positive experience out of the box until unit would not turn back on  .
called garmin , after 20 minutes on hold , they were guick to agree my unit is defective and offered to arrange repair under warantee  .
i opted to return to on    line store (shipdog  .
com) who is quick to respond with return authorization  .
will give it one more try as i seem to be an isolated case based on user reviews  .
maps were good , but as you might expect , not up to date in areas of new constuction  .
i had not fully researched how often garmin updates and policy to obtain updated maps yet  .
other than defective unit , my only two complaints were that some routes left you scratching your head as not at all what you would select from reading a map and not ideal at all  .
recalculate function corrected pretty well to route you were taking , but no ability to save the preferred route when you would take it again  .
the second complaint is that maps would add side detail , then not list names of roads  .
so , i knew where the parks , lakes , malls , golf courses where , but not the names of the major roads near and across my route  .
did not have functioning unit well long enough to explore settings and map displays to see if this is correctable  .
my rating would have been higher , had the unit not died on me .
pretty fast acquiring signal and calculating route  .
but not much other than that  .
bluetooth worked for about a week , poi database not accurate , had to return it .
having used a tom tom 1 i would rate this garmin way behind as navigation aid  .
after calling tech support is informed that poi only show in 2d view  .
you are unable to zoom in enough to discern the icon when a cluster appears  .
i could have saved $$$$$ if i had only selected the tom tom 1 that a friend let me use  .
don't assume all gps work alike  .
i too had read reviews but if your going cross country do not waste your money  .
reset does not work  .
the advertising is false  .
the mp3 player will not broadcast on an fm channel  .
the unit will only hold a few files , and jpg files take away music file space the blue tooth option would not even set up the software had bugs and i had spend fours with garmin tech support to get the unit working , and had to download files to get it going  .
it is advertised as bluetooth compatilbe , but when i tried to buy the option directly from garmin tech support , i could not find out if i need a seperate mike for the phone input or now if one gets off main highways , the unit gets lost  .
there is no correction methods by gamin  .
if a bad map is there with many mistakes , there is no way to update the first time i tried it to navigate from my home which is on a state hwy , it took me over every pig trail nearby , when in the fast or close mode  .
one pig trail crossed a creek with no bridge it has turns in the state highway which have never been there gps data from google earth is up to date , yet the gps data loaded into the device does not match  .
the location is off by as much as a mile in some places all the time , so it is not the gps satellite fault my only reason for keeping this unit is that i will be charged a 10 per cent restocking fee for a return , plus shipping , and yet the  .
average consumer seems to put up with this bad quality , so i probably cannot find one any better i pray that it will at least be accurate on interstates and old established cities , so that i can navigate my rv and show trailer to shows without falling into a creek the avoidance options are a joke  .
the unit does not avoid dirt roads that have been that way for 50 years , and are marked on the most simple road maps and by google earth as dangerous the only plus factor is that if i do not plan a route , i can see the cross streets coming up on the screen so i can read a road map and not have to look for street signs in the dark of the night and one last fault  .
the method of entering a rating on this poor unit is poor  .
not use friendly .
bottom line , this is an electronic map with out of date maps  .
no excuse for this one       they have current maps and should available as free download  .
it's a compass that cannot tell north from south .
not worth it    confuses , no accuracy , take longer time than other maps my recent purchase of 360 gives me pain than benefit , it never gives better route (fastest and shortest) that provided by google or live maps and it take longer time to reach places  .
i is traveling from kingston ontario to # fairstreet , oneonta , ny , where this devise took me to different highways and local road (faster mode) which i have waisted an hour compare to live and google maps  .
it also doesnt know how to reroute the routes , during my trip from oneonta to philadelphia one of the locals road is blocked which is the only one route (according to nuvi) that can take me to the highway , it give me wrong directions that it asked me to go to different roads that all eventually comes back in the same place where the road is blocked , i had to drive 40 minutes to find a town where the local people guides me to the highway which nuvi didnt know  .
i noticed it cant give the direction fast when a point where highway/road is divided in to different routes from a single road or highway  .
my search for a closest home depot gives me following where i couldnt find a home depot when i is in westwood , nj  .
home depot , 577 winters ave , paramus , nj my opinion get the map from internet and relay on that more than this , i trusted the reviews when i bought this but now i think it is a marketing strategy where they paid to write the review .
i ordered the garmin 360 based on reviews of the 350 for my husband's birthday  .
it arrived and he opened it  .
he actually read the instructions first    he then turned it on and chose language etc  .
the first thing you notice is that the manual is for the 310/360  .
the instructions did not match up with the accessories that were included in the box  .
so they did not update it so great , well it is made in taiwan  .
but when he went to put it on again , it is deader than a door nail  .
we called tech support and were blown off  .
nasty    really third rate won't give out last names  .
we gave then ours  .
jack could not be found when we called back  .
no email addresses for supervisor  .
why do they hide  .
called corporate put into voice mail  .
bet you can count on them for service after the return time to amazon  .
we will follow up    glutton for punishment asked for replacement .
Clear screen; accurate directions; decent speakers; bluetooth capable; The highlighted route blocks nearby POIs
ease of use, availability of extras; USB charging
Nice styling, small, TTS, ergonomic mount; Missing features, doesn't come with DVD, poor user's manual
Good least time and distance calculation; Needs least fuel route calculations
Form Factor, Start up speed, Accuracy, Ease of Use; Limited off road functionality.
no external volume control; nothing so far
don't know as of yet would open; nasty coustomer support poor instructions
Fast Routing/Rerouting, Accurate, Tons of Points of Interest; No External Volume Control, Pricey
Bluetooth, Compact, Sharp Screen, Great Response Time, Fabulous Information about POI's, Tracks Travel Data; MP3 player is useless since there is one speaker only.
design, size, user friendly; fold up antenna, need improvement in some functions
Splendid consumer design. Powerful, very useful.; None so far - just got it today
Got everything you'll ever need and more; low speaker volume
small, loaded with features, accurate; Bluetooth connection, mp3 player, keyboard
out-of-the box usable; cost a bit steep but price getting lower with time
Size, Garmin name and interface; outdated maps and bluetooth connectivity
Fast loading, AAA is great!, Super Accurate, Bluetooth works, Long Battery; uhm none at all.
pocketable, light, traveller convenience, fun; screen light not auto adjustable, sound not as loud as it should be
no signal lag, audio car input, accurate directions; mp3z player can lag when calculating a route..
Auto adjust night light; no Fuel, rest areas, or other Points of Interest unless in 2D View
Very user friendly, only 1 button, hands free phone works in my loud diesel pickup truck; Maps could be fresher
I'm very happy with the purchase. It works well with my Sprint ppc-6700; It's a bit pricey.
Fast calculation, Bluetooth integration with phone; no built in FM transmitter
Good device for a layman; not compactable with Mac
Size, TTS, BT, mapping info, POI integrated to BT, etc; None significant
Compact &#38; Portable, nice screen size &#38; clarity; Need to purchase Europe map separately
accurate, text to speech, built in maps; windshield mount
Compact design and crammed full of features; Outdated maps, short battery life, and annoying Bluetooth
Great directions, music is a nice bonus; Speaker phone feature didn't work well in my car.
Ease Of Use. Long Battery Life. Nice Handsfree Phone.; Speaker Volume could be louder for a music lover like me.
Ease of use, bluetooth, POI's; A little on the pricey side, but worth it.
Bluetooth Functionality, MP3 Player, TIGHT interface; None to report
Ease to learn; ease to use; portability; Speaker needs to be louder
User friendly, truly "plug and play". Bluetooth enabled; Some features I don't need: mp3
Eay to use, accurate map; lacks some advanced features
good directions; AUDIO stopped working completely!!!! have to buy map updates?
Sleek unit, nice user interface, good for car navigation ONLY; misses all features that would make it usefull in non-car situation (ie hicking, boating, Geocaching, etc.)
Very Accurate Easy to use; Screen washes out in intense afternoon sun
Very user friendly, lots of extras, includes many accessories.; Battery life was lower than advertised, information is not always accurate
Compact, portable, nice display, accurate maps, announces street names; No external volume or display controls, bluetooth connectivity a challenge, battery life could be longer
Ease of use, bluetooth, rechargeable battery; no fm transmittor for the mp3 player
navigation, maps, user interface, touchscreen, size, bluetooth, features and functionality!; haven't had it for long, so none so far...
Long battery life, very light, attractive; Turn instructions arrive too late at times, needs key to immediately return to active map after scrolling elsewhere on unit
User Friendly and Portable; Viewing Angle Limited, Difficult to remove from Holder, no Video Support
Size, weight, functionality, Bluetooth capability; Some POIs outdated, no ability to teach better routes
Street name voice directions; Volume could be louder, Feet to turns a little off
Dont think it worth for the money; better to get maps from google or live
User friendly, Portable, Long Battery Life; Bluetooth causes unit to freeze, Expensive, X-tra $130 for FM traffic
Bright Screen, Bluetooth, clear audio, good maps.; No software to type in Favorites from your computer, too long to charge battery, battery life overated
Small, well built, clear screen, very good routing engine - A Garmin; It froze on us once on the highway, while navigating - had to press reset on the back
Small, portable, very intuitive buttons, able to save favorites and; Got lost!!! recalculating when going the right way, complicated directions, no alternate routes, long time to recieve signal
Easy to Use; Audio not so great for playing MP3s but who cares
Light, small, good screen, easy to use; bluetooth has some problems, reset a couple times by itself, pricey
nevr loses connection, very detailed map, play MP3; have not found yet, aha, need to pay extra for extras
got me right to my dads door in Texas all the way from Phoenix,AZ; sometimes u have to be careful u dont go over mediums in the street.
Easy to set-up, Easy to use, Fast processing speed; Map dragging slightly difficult, and too many roads on certain "zoom" map settings
Great travel directions, info and audio, easy to operate. Very small and lightweight. Screen resolution and brightness is awesome.; Battery life short
Easy to use, small and lightweight.; None that I can See !!!!
small size, easy to use, excellet accurate, Bluetooth; price, does not work with ipod like TOMTOM
simple to use, smart and user friendly; perhaps a small screen size
Clear graphics, so simple to use.; I really don't have any. If I had to write something, the sreen is small.
-to-speech, user-friendly, battery, and bicycle mode (assuming since 350 has it).; Bicycle mode nearly useless without mounting bracket, and they "don't really recommend mounting it to a bicycle." Bluetooth hobbled.
Easy to hear (if back is exposed), bright, intuitive menus; Small, expensive, full of features you might not use
Large, sharp display. Easy to follow map. Clear voice commands.; Maps are incorrect. Unit requires $99. upgrade out of box. Preinstalled maps are over 10 years out of date. Unit often confuses north/south. Shoddy construction (my windshield holder broke causing unit to fall in my lap while driving).
Small, compact, easy to use.; Bluetooth phone has trouble staying connected sometimes. Simply restarting GPS and disabling then re-enabling bluetooth on phone resolves the issue.
easy to work and paly with; Treo with Blue tooth can not upload the contact list
Bluetooth for safer driving. Pronouncing street names. 3-d map. Very easy to use. Very portable.; Low volumn on voice-over while bluetooth too loud. Truncated descriptions may lead to mistakes. Battery not replaceable
Announces street names, poi appears substantive, blue tooth nice feature; Voice is awfully low which means I can't run radio and listen to gps at same time. Sometimes gives really goofy directions in my area.
so small, so easy to operate; I wish it did not have the music/photo features
Instantaneous Directions and Recalculations to get you out of tight spots. Fits in my shirt pocket.; Bluetooth is useless without accessory head set.
Quickly recalculate the positions. Has locking feature. Windshield mount is very convernient. I had to take it off quiet frequently &#38; it was very eay to take it off &#38; put it back on.; Expensive. Speaker are not good at all.
Simplicity, easy to view, clear graphics, window mount; As others have commented - no external volumn control and it is a bit pricey
good POI directorory, nice carrying case included, nice map interface; Overpriced at $289, annoying antena that you have to pull out each use, does not have an arrow telling you which way to turn next until the very last minute
Truly portable (smallest size out there); Very accurate; Bluetooth and Traffic work great.; To back out of functions, you have to hit Back button many times, which is a pain; that's it.
Flat profile allowing you to stick it in your pocket when leaving the car; bright screen, good speaker sound; Power cord plugs into unit instead of vehicle mount, leaving you with a dangling cord when you take the unit off; No external volume control; Permanent, non-replacable battery
Touch screen operations were easy to use. Window mount easy to apply and very secure. Day and night display and ability to run that auto or choose. Easy to enter where to, allows favorites.; Unit died after one week of operation. Would not turn on. I am returning for exchange. Some routes are poor selections. No ability to save prefered route.
Routing seems accurate, size is great, very portable, nice looking maps and routes, POIs I have searched for are available, is fully charged right out of the box! That's a first for me.; Having a few quirks with bluetooth, a lot of features I'll probably never use, expensive
size is perfect for in car use and taking it hiking. great feature set for reasonable cost.; speakers on the back so depending on how you mount it in your car listening to an audio book can be difficult over road noise though on the seat beside me at about 90% max volume its fine.
Size, Size, Size... Very User Friendly... Tells you the actual street names to turn on... Bluetooth Technology; (1) No external volume control (2) sound quality is a bit lacking when it comes to listening to your MP3s, (3) only plays MP3 format, (4) the map is not as realistic looking as the Tom Tom
Great size, well made/durable, fast satellite acquisition, strong signal, extremely easy to use, good mounting hardware, decent battery life; The digital keyboard for entering addresses and data is not QWERTY (it?s alphabetical); when used in car, the unit cannot be ON and charge at same time
I love that the female American voice sounds annoyed when I don't make the turn that I'm told to. :-). Small size, I use a friction mount &#38; I can hide that under the seat &#38; throw the unit itself in my purse.. Easy to use with many poi's loade; If I'm making frequent turns, I keep the 360 on text instead of the map. The reason? There's no arrow on the map showing you the direction of your next turn. So I read the text to see if I have to go right or left, especially when traffic is heavy.
