this cnet review is based on the old tomtom one  .
what should have been an 11 hour trip turned into 14 hours  .
a new road had been created in the past year , along a route it chose , and it kept scrambling to find a new direction for 20 miles  .
tomtom boasts a certified map correction online database from users that you can download , but everytime we've tried it , it seriously messes up any direction the unit provides  .
it tells you roads are closed when they are not , it will request you make u    turns on major highways , it will ask you to do circles in intersections (seriously  .
, i'm not kidding)  .
i'm sure users who are submitting are playing jokes on others but we checked the option to have corrections only certified as correct by tomtom  .
they need to do their homework you can not rely on this thing at all  .
you have to have a map or google map printout to confirm your destination when putting in an address destination or alternate route it will on occasion provide multiple listings of the same street with the different zip codes behind it  .
who knows off hand the zip codes of a town you're only visiting for the day  .
you have to guess which one is the right one and  hope  you picked correctly or it will wisk you 20 miles off in the wrong direction  .
it has happened to us buy a different brand  .
i despise my tomtom one i find it amazing how much hate i can have for such a little item  .
here are the reasons i just want to blow this thing into a million pieces    .
( ) the avoid roadblock option is buggy  .
i used it tonight and it detoured me by having me drive in a big loop that ended at the same point i is at when i told it to detour me  .
as i is driving thought it felt like a pointless loop and it was  .
( ) it will go out of its way to create inefficient routes  .
on this route i needed to travel on a road parallel to the one i is driving on  .
it had me needlessly pass a perpendicular street and travel to another perpendicular street further away for no reason  .
since i didn't know where i is going i didn't realize it is planning such a stupid trip until it is too late to save the time ( ) i live near orlando  .
whenever i want to travel to the central    east / southeast coast of florida it sends me up an interstate running northeast to daytona beach then south on i    95 to my destination  .
there's a pair of highways running directly east that this device stubbornly refuses to use and when i do it cuts a huge amount of time and distance from the path tomtom chose  .
i know tomtom is buggy in this way so i ignore its directions when i'm leaving the house , but when i'm coming back from some destination i'm not entirely familiar with i would like to know i'm heading back the right way  .
i have to wrestle with the thing for about 5 minutes until i can force it to change its path to one that makes sense ( ) this thing usually harasses me with a nag screen telling me that the path involves unpaved roads  .
unpaved roads  .
why does it always tell me unpaved roads when there is no paper jam er unpaved road  .
(sorry , i channeled office space there for a second) and yes , there is a time when my path really did have an unpaved road and it didn't warn me ( ) after you enter your destination you will never see it again  .
say you're heading to 1575 main street , after about 15 minutes on the road you might forget that house number  .
keep it around on a piece of paper because the tomtom will not allow you to see the address once you're heading to it  .
how stupid is that  .
( ) the gps module is junk  .
after turning it on it will sometimes take 4 minutes for the device to figure out where it is  .
(it has a timer displaying this duration so 4 minutes is not an exaggeration) you'll learn to leave it on so that it does not lose its position but ( ) the battery is pathetic and will drain way too fast and shut off anyway ( ) if you update your map the favorites you have entered will be erased  .
this is confirmed as a bug on one of those times i got to speak with tech support ( ) the mount device is awful  .
awful  .
it rarely snaps on right and you'll settle for it being on good enough  .
then you touch the screen and it pops off and slides around your dashboard on the plus side the device is small , the screen is easy to see , the voice clear , and the screen easy enough to navigate with and , yes , i am actively looking into buying a new one from a better company .
cannot recommend until customer service improves .
i received the tomtom one as a xmas gift , and after inspecting it , it seemed very impressive , is i ever wrong  .
i checked out their site and it is suggested that the unit be updated , so in doing so through the automatic updates 3/4 of the way through the garenteed latest maps the unit showed and error and thats where it stayed  .
a total of 16 hours on the phone with tech support trying to fix their software , with a quarter of that time on hold  .
i went through all of their online fixes for their software problems and still coulnd not get it fixed  .
i wasted two solid days online with trying to fix their software problems to noavail  .
i is supprised to see that there were alot of reviews with software issues of similar nature  .
and after doing some extensive reading on the tt1 , the bottom line is if you want a gps with all the frills and bells and whistles with questionable operability the tt1 is for you  .
but , if you want a gps of better quality that has a better reputation for not letting you down go with a garmin , which is what i ended up going with  .
been using it for a while now with not as much as a hiccup  .
i just wish i could have known about tt1's falty software issues before i bought it  .
i could have spent that time with my family  .
talk about learning the hard way  .
good luck to all updated  .
on dec 26 , 2008  .
my wife and i decided on the tomtom one based on a recommendation from friends  .
they had just purchased one and used in it italy  .
we were going to italy a month later  .
the tomtom one worked wonderfully on our vacation  .
when i went to use it a couple of months later , i found that the battery is dead  .
i charged it fully and then when i attempted to update it , i got error after error  .
i spent a few hours in the phone with customer service  .
i will definately say the the cs staff have been helpful and kind , but to no avail  .
they will eventually tell you to send back the unit for an rma  .
well , i've had to do this 3 times  .
i recieved my 4th unit just the other day , and wouldn't you know it , right out of the box with cs on the phone it fried just the same as the others it erased and made unformattable my sd cards , made my computer go all wacky and require re    boot , and showed mulitple errors  .
i didn't touch anything without being walked through it by cs  .
now i'm waiting for corporate to contact me so i can once again argue my case for them to send me a new , upgraded (i  .
not a one ) unit they have a habit of not calling back when you are told  .
so at this point i've had 4 tomtom one's in a little over a year i've only had a useable tomtom one for a small part of that time as i have said customer service technicians are friendly and helpful but there is only so much that they can do if you've got a crap unit one time a corporate guy said when there are 1000's of units out there , you're bound to have a few with problems but as i said , can one guy get every lemon  .
do not get a one  .
this is the letter i am sending to their corporate office  .
you be the judge  .
let's hope the gps genre improves majorly asap  .
february 28 , 2008  .
to whom it may concern at tomtom ,  .
i like many other americans received a gps tomtom 3rd edition  .
having gone to an accredited college and majoring in graphic design , i have a lot to say about the overall functionality of the device  .
i also have experience working for an international housewares company in their product development and marketing department it is a relief to have a directional device to use in the car  .
however , i have many crazy stories and i understand i am not the only one  .
my doctor says he doesnt really rely on his anymore  .
here are my experiences    .
turn the unit on   the button is recessed , so it is hard for me to stick my finger in the hole and press down  .
i have to hold the button down for approx  .
10 seconds  .
annoying  .
it could be like a digital camera power button  no problem 2  .
i spend 30 minutes planning my route , trying to make alterations , trying to take alternate routes , trying to take well known streets i know , and   i cant even save the info so i can use it again  .
gone  .
so i have to waste my time again and again  .
my passengers say ,  just forget that thing and lets go  .
i want to have saved routes  .
i want to be able to tell it the way i want to go  .
not this , look at the details , make an alternate route , recalculate , start over , blah blah blah  .
time wasted  .
i would like to plan my route maybe on my computer , on the device , then have it recite it to me as i go  .
if i use an alternate route and use the map to do it , it erased all the other streets i wanted to take and takes these crazy ways that no one in their right mind would take  .
i want a nice map to look at for my area  .
i dont want to have to go to yahoo maps , or google or mapquest , print the area map , then go back to the gps  .
blah , blah  .
i want to zoom in and out on the gps easily , pick the streets i want to take , write down the streets  so it needs to be able to keep my map zoom level , then program that into the gps  .
easy  .
fast 6  .
how the heck should i know what town or city the street/cross section i want is in  .
ive never been there before  .
in a state there should only be one place where two streets meet  .
or even better  .
i should be able to zoom out of the map , pick the zone i want to be in , then input my cross streets  .
easy , simple  .
i is trying to go on a trip and it always asks , what city  .
they are small farm towns , how should i know  .
what if i went on a long road trip  .
how should i know  .
this is the really bad experience  .
i planned a route  .
my dad and i went to a benefit in chicago at the science and industry museum  .
not downtown , on the south side of chicago  .
this is a very mixed area  .
bipolar if you wish  .
extremely poor , extremely rich and a college is there too  .
right off lake shore drive  a major motorway  .
at the end of the night  late , my dad and i were tired  .
he said , well , let the device take us home  .
im tired  .
okay , well i let it do its thing , fastest way  .
never heard of the streets it wanted us to take  .
even my dad agreed  .
we were like , we are right infront of lake shore drive , where the heck is this thing gonna take us  .
so , i asked it to take us to the shortest route  .
here comes the not so funny funny mayhem    .
a disclaimer appears  .
i is like , what is this  .
disclaimer   sometimes the shortest route is not always the safest route  .
me   excuse me  .
maybe it is just trying to cover its back and be overly cautious  .
my dad is like , dont ask me  .
doesnt sound too good and its late at night and we are not in the best of areas  .
me being an optimist , i said , well , it looks on the map of the route pretty simple and straight  .
i did not look at the text  .
oh god  .
we started off  .
hmm , its not taking us to lake shore drive right infront of us  .
hmmm  .
we are going parallel to it  .
dad , turn around and get back to the museum  .
naah , maybe there is another entrance to lake shore  .
dad  .
mmmmmm , this doesnt seem right  .
so , we enjoyed the lakeside view , the awesome chicago architecture , new and old , jessie jackson lives here , mohammed alli , barack obama , nice and not so nice  .
time goes by  .
gee , why isnt it taking us to lake shore  .
turn here curve here , straight ahead  .
then  .
uhhhhhhh  .
s t o p  .
ohhhh  .
god  .
my dad  ahhhh  .
what are you stopping for  .
get us the hell out of here  .
yes , my heart sunk  .
major housing project right infront of us  .
uhhhhhhhhh visions of gang shootings , car jackings , murder , car theft came rushing to our heads  .
my dad  get us out of here  .
i didnt want to floor it or keep going into the the bad hood  .
so i looked about and saw a gas station and turned around  .
that is nearly the end of the crazy journey  .
then , we get downtown  .
i tried to get to an expressway i knew  .
then the gps tells us to turn down a one    way street going the wrong way  .
if i didnt have my own plan , i would have turned that way cause it is dark and i dont know that area  .
my dad is like , jesus  .
what the heck is this thing crazy  .
its trying to kill us  .
then , it started to get a little adhd  .
turn here , turn here , turn here  .
uhhhh  .
i got to the expressway , then it started saying , turn left , turn right , turn left , turn right over and over again  .
i had to quote star wars  han solo referencing an out of control cp3o shut her up or shut her down  .
my dad tried to , but as i mentioned it is nearly impossible to find the button cause it is recessed in the device  .
where i cant find it , where  .
lets see   dark in a car , on a motorway driving fast with a device rattling off , right , left , right , left  .
so i stuck my hand out , leaned forward , slid it across the top and waited 10 seconds as the gps shut off finally  .
now , envision this   i am familiar to some extent with the city of chicago and so is my father  he is raised and lived 60 years here  .
what if i is my sister who has no sense of direction , what part of town is good or bad and no way to find her way back  .
she just trusted the faithful gps  .
this has happened before , she would have had to call us for help and come get her  .
she could have been murdered , robbed , hurt , afraid  .
hence the disclaimer warning i see and you know i saw a guy driving with a cell phone , with a paper in front of him and with a gps on driving like a turtle 20 under the limit , driving like a drunk  .
i would like to go on    line , update maps , save my routes , share routes with my family/friends , get popular routes to places  .
maybe even scenic routes to places  .
some other girl i know had a garmin and she said the sales rep told her the military uses its satellite and it is better  .
she also could scroll through a ton of fast food restaurants  .
i would like to maybe enter my own places restaurants and hotels and see them on the map  .
maybe appear as a nice little icon i can choose  .
like i could scroll through a lot of cute colored icons for libraries , bars , shops , etc  .
even the map colors are dull  .
i like the night green and blue  all the time  .
easier on the eyes without glare when you say , personalize your gps , im like oh , yea  .
i can add a lame voice to my device  .
i can update my map by a few streets  .
how thrilling  .
how boring  .
it could be so cool if tomtom only opened up to it  .
maybe it will in time right now , i feel like it is useful for when i already know where i am going  .
i would not recommend this to an older person like my dad  .
he wouldnt know how the heck to use it  .
he wouldnt waste his time  .
how bout old people that have troubles getting around and they used it  .
heaven help us all  .
my mother spent good money on this thing  .
i would rate it a 2 out of 10  .
perhaps this will be insightful for you  .
perhaps you will file this in your cabinet  .
at least i got this frustration off my chest  .
we shall see how gps evolves  .
we will see if you remain at the top of the list tomtom respectfully ,  .
the driver  .
tomtom one 3rd edition  .
i purchase a tomtom for my spouse in september 2007    used it three times  .
when it automaticlly selects a route it said that unpaved roads were part of the route , even though they weren't    contacted support and they informed me that an updated map is available for download for $79 and this will fix my problem    this is the answer to fix my problem    spend more money and hope i do not have another bug or that this will fix the bug i do have .
foreign made    lack of support    had to download manual online    has to be reset often the longer i own it    have to have a fine sharp item to reset going down the highway  .
after my purchase other friends purchased different gps and comparing they are not experiencing poor outdated maps  .
must be due to foreign creators  .
after 6months both a friend and i have to reset our tomtom's often notice now its slow to load  .
please do more research before you buy this one  .
buy usa  .
to update my map it will cost more  sigh   .
i bought one of these and loved it  .
three days later it simply stopped working  .
i took it back and got another  .
that one worked for less than 30 minutes before it stopped working  .
i contacted tomtom which gave me a run around , did not solve the problem , and never got back to me after the initial contact  .
i am on my way to take this one back and get a refund  .
if you want a pretty paperweight , then buy this , but if you want a working navigation unit , find something else .
i thought this would be the ideal first gps for me since i just want the basics , no fancy bells and whistles  .
and when it would navigate to a small town nearby , it worked fine  .
but then i tried spokane (unknown) and seattle (ditto  .
) tech support said , yeah we get a lot of complaints about that from your state , so we're thinking about adding those cities to the next update  .
incredible  .
the tech glitches (would not navigate back to my home , etc) were possibly because it's a refurb  .
i returned the piece of crap and will replace it with anything but tomtom .
i'm not beginner when it comes to gps  .
so on that note i think the tomtom one is horrible  .
it seems asthough this gpd is only designed to sell at a cheap price  .
i key point is that you can not just view the map and your location in its entirety  .
you are stuck in navigation/destination more where as the nuvi 200 you can click stop and display your current position on steet level without the prompts still going  .
and the directions suck big because you get redirected to make u    turns and circles around streets when you go off route instead of redirecting you from your current position to the fastest route to stay on time the garmin nuvi does that wonderfully  .
how about this , when setting up my home as a destinition of return , it is almost 500 ft off .
i had borrowed my brother's garmin c330 a few weeks ago so i had to get a gps  .
i chose the tomtom one because it is on sale  .
after a week of use , i found out why it is on sale for such a low price  .
it is horrible  .
it would call out wrong st  .
names for the exit and sometimes would stop working  .
i since exchanged it for a garmin nuvi 200 and couldn't have been happier even though i had to pay the 15% restocking fee for returning this garbage  .
do not buy it  .
buy a garmin .
i purchased the tomtom one 3rd edition from the local walmart  .
they were still unloading it and putting it on the shelves  .
the 3rd edition has the software pre    loaded and does not come with the disk  .
i got it home , programmed about 20 locations and then went to tomtom's website to download the home software  .
that is when it went bad  .
when i first hooked up the usb connection and attempted to download home i is greeted with an error message that said my software was not compatible with that version of home  .
nice then i tried to look up the faqs on their website in regards to this error and found that the 3rd edition one was not even mentioned there  .
after the error message , i discovered that i had lost all sound on the tomtom  .
the sound folder is empty when i browsed to it , but i had files in the voice folder , but alas , no sound  .
i sent support an e    mail asking for advice since no software download is available on the website  .
i got a reply a day later telling me to try reloading the software  .
hello  .
it doesn't come with any softare  .
then i called support and got the world famous tech support advice of the hard reset , which i did and still had no voices  .
two days later i received an email saying that since they had not heard from me they were considering my problem as solved  .
technically , they are right as i returned the defective pos to walmart and purchased a magellan  .
problem solved .
never managed to get gps signal  .
apparently the new software (v  .
50) problem  .
support desk is no help at all    following their advice caused the device to stop working completely  .
remember to make a backup before you do anything they say .
the reason for my abysmal rating is because three times now i is in a strange city and twice i could not find my way to the hotel and once almost missed my flight  .
the only reason i bought a gps is for it to help me get around  .
this tomtom failed in its one and only purpose  .
the first time this happened i called customer support , and they got it to turn on  .
the second time it happened , i reset everything to the factory settings and that helped too for a couple of days  .
the third time it happened i called support again  .
they wanted to troubleshoot  .
instead , i asked for another model or a refund , since i cannot afford to wait for the troubleshooting process  .
the problem with troubleshooting is that they make a change and i see if it helps  .
in the meantime , if it does not , my safety is at risk if i'm lost in a big , unfamiliar city , or if i'm rushing to find the airport so i can get home to my family  .
do not buy this device  .
it does not always turn on  .
unless you're willing to troubleshoot for who knows how long to see if the troubleshooting helps  .
in the meantime get yourself a garmin just in case .
never touch tomtom gps  .
updated  .
on apr 8 , 2010  .
bought it at staples , it has no clue a 4 lane us highway is near me , or that it is even there  .
uodated still no highway , paid $50 for update service and new maps  .
still no 4 lane us highway  .
called tomtom    no help no refunds  .
should have bought a garmin , well , ebay is just a click away  .
it's a great product when it works , but i cannot trust it to work when i need it  .
support is helpful , but i need to call them way too often .
i received a tom tom one xl s as a christmas present  .
in the one month that i have owned the unit , it has quit working 4 times  .
each time i have contacted tomtom and they have asked me to reinstall the app  .
i'm still having problems and rather than send me a new unit , tomtom told me i am out of luck updated  .
on jan 26 , 2009  .
the unit came with out dated maps from 2006  .
i have been trying to buy a new map for over a month now but tomtom is saying they are having problems with their servers  .
contacted their customer service and have been getting the run around  .
fyi the updates us/canada map will cost you $74 .
santa brought me a tomtom one ver 3  .
opened in on 12/25 and set it up for the trip to christmas dinner  .
once in the car i turned on the unit and it displayed a white scree  .
pressed the reset button and it worked  .
one the way home from christmas dinner the unit again powered up to a white screen  .
the next day i called tom tom and described my problem  .
they said they have duplicated the problem in their lab but cannot fix it  .
the offered to send me a new unit once they received mine i took it back to target and got the $  .
who needs the poc tomtom is 1st on the s list  .
if i could give this product less than one i would  .
i had a tomtom one for less than 45 minutes when it stopped working  .
i phoned their tech  .
after several hours on the phone with them they admitted many of the systems are flawed and basically the unit i had is fried  .
they suggested i return it where i purchased it , they do not take their product back directly  .
i contacted the online store where it is purchased  .
they said it needed to go back to the manufacturer  .
i carefully wrapped every piece back into the box along with the manual , etc  .
mailed it back to tomtom  .
yesterday i received a plain cardboard box that contained a used tomtom unit , 2 usb cables and one holder to stick on the windshield  .
no manual , no case , just junk and i do mean junk  .
it does not even work  .
i phoned tomtom this morning , spoke with melinda for almost one hour  .
she said she is very sorry but i should have phoned them to get a number prior to returning it to the company  .
they told me they would not accept it back now she said i should have phoned them first before returning it  .
i asked why they did not offer me a return number in the first place  .
she again apologized , took down my work number and said someone would get back to me today  .
guess what  .
no call  .
save your money  .
this company not only lacks in a quality product but their customer service lacks horribly  .
spend it on a product that works or is from a company that stands by their product  .
just spent an entire day trying to set up the unit  .
it would not detect a signal and kept re    booting itself  .
support rep tells me to send it back as defective for a replacement  .
why did they send out a refurb that they obviously did not check  .
no returns accepted on refurbs check the fine print before you buy .
i had purchased one of these for my birthday and it worked for one week before i needed to download the backup file i created with the included software  .
then it quit working again , and again , and finally would not accept the software at all  .
i then mailed in the unit for repair and received a refurbished unit that is not the original one  .
as soon as i received that one i started to explore the options and it froze , shut down , and restarted  .
then it is used for an 800 mile road trip and quit working again after only going 300 miles , this is 1 week after getting the refurbished unit back  .
tomtom is and is only willing to do the very least to make a customer whole again after the poor product they make fails  .
i recomend that nobody buys this unit .
this product is very unstable  .
for the price youd thing they would include the paperclip to get to the reset button  .
had it for 2 hours and already hat to do a reset  .
do you think that would be safe when you are driving  .
nice try  .
how about making a product the public can really use &  .
do yourself a favor and stay away from this unit  .
unusable right out of the box  .
used it once , to see how it works straight out of the box  .
then wanted to program a route  .
after a number of calls to tomtom  .
you find out the software , packed with the unit is not any good  .
down load the new software  .
retry to program , that software gets you a big red x on the screen  .
it must have erased the internal memory  .
another call to tomtom  .
unit now is useless unless they do a heck of alot of work to make a better product  .
i'd stick to a garmin  .
used my garmin for years , never had anything like this happen  .
i'll be shopping for a new garmin today  .
EXCELLENT ACCURATE NAVIGATION, CLEAR SCREEN , VOICE IS GREAT AND LOUD; WOULD HAVE LIKED MORE POI'S BUT YOU CAN ADD THEM AT LEAST AS YOU GO!
Works great, quick setup; Won't connect via bluetooth with my phone
small,very intuitive; customer support sucks
Interface, easy mount, helpful directions.; Map updates should come through software automatically.
nice looking devices; horrible customer service
Great Interface; Battery life
service dept. first class; some rural house #'s not available
Best BUY no problems; NONE None at all
Don't know - it never worked.; It never worked.
Nice interface; Outdated maps bad customer service.
Accurate, Simple, Inexpensive; Menu shows features not available in US
Compact, good GPS reception; No SD slot in latest version
nice concept; Tom Tom wouldn't even turn on - low battery
Simple operation, Durable, Nice Design, Very Functional; Poor internal battery life
Easy To Use; Low Battery Life
Small and light; Unstable equipment
small size; no text-to-speech, very short battery life
I have bandaids; What is wrong with cardboard?
Advanced Navigation Features; Battery life a bit low
Inexpensive; Doesn't work -Support stinks- company doesn't even acknowledge the 3rd edition
user friendly and detailed map; some road/highway names are confusing
Nice interface - lousy support; No support for bugs, just buy $oftware/map updates
Small and Bright; Volume not accessible, default menus annoying, missing streets
Great Screen, Easy Navigation; Calculated driving time is excessive
fast recalculation of route; It breaks down every other day!!!!
Ease of use, appearance,; TomTom Home
Customizable graphics; Highly unreliable and TomTom does not stand behind their product.
Great form factor and great software; The Maps Stink!
Poorest serice in the world; Make you confused all way while driving.
WAS great for about 2 years then...; update crashed the unit.
Best price on the Internet; None if you buy from WWW.SDCOMMODITIES.COM
it sort of works; terrible maps
Clear and accurate voice commands; If you dont own one you will waste your money with another brand.
Lots of neat features. Very functional interface. Great Potential; Fatally flawed mapping software
Price, software options; POIs (really!,) software needs to be tweaked
It works sometimes; Maps outdated in USA, Lack of Manual, Tech Support Poor
Great Price for a Great TomTom One at www.SDcommodities.com; Cant think on any - Just Great
Small, light and nice looking; CNET isn't doing well explaining the minutia
Size, Portability, Ease of Use; love it all
Nice functionality and design; Volume could be a bit louder
ease of use; Appalling customer service
small/fairly cheap; lacks functionality of other units priced the same
Gets me to where I need to go; Window Mount
Cost, reliable GPS, bright display; No text to voice
Accurate,easy to use.; No home charger, must use USB.
larger 4 " screen; Tomtom is reluctant to stand by there products
No-glare screen, ease of use, accurate, clear speaker, customizable; Included windshield mount very stubborn, unit sometimes locks up.
Very easy to setup; Doesn't recognize all addresses
new OS offers v3 capabilities; tech support has a lot to overcome
Nice interface. Clear voice comands.; Only gets you to general area
Great UI, SiRF chipset, price, good mount, great voice quality, lots of options, multi-destination routing; Tele Atlas mapping not as good as NAVTEQ
Bright, Clear, Easy Set-Up; No Computer to Unit Data Entry
Very easy and intuitive interface; GPS never gets the signal
Ease of use and price; Poor POI database
Looks Nice out of the box; Doesn't Work out of the box
Cheap. Slim.; Not a good product. Displays wrong st. names. Not even close to Garmin.
very user friendly, thin, good maps; no text to voice
TomTom GUI interface and quick recalcs; Out of date maps and poor mounting bracket
Easy to read (when it works); Missing major cities like Seattle!
Beautiful interface. Fast processor, Bright screen.; Map library is sub-par at best. Need to pay for updates.
Fairly easy to use; "Preloaded Maps" are at least 5 years old
Simple to use; easy to set up; easy to teach; battery only lasts 2 hours
Accurate mapping, good screen, clear audio.; Will not find stores. Hard to figure why they made it like they did.
ease of use, size, volume; out of date in the box
Price is right; Documentation is sparse; lack of off-screen controls for loudness and brightness handicaps single occupant operation.
Looks good, feels good, easy to use; Doesnt get you to where you want to go
Everything you need in a GPS for $150.00; Nothing, may be the battery
None. It would be nice if i could get my money back!; Junk, right out of the box!
Adequate for navigating and is compact in size.; Power cord plugs in the bottom making top-of-dash usage nearly impossible. Included windshield mount is much too short for convenient reach.
Customizable; Portability; Excellent Value; Quick Satellite Read and Adjustment, Maps and POI fairly accurate; Doesn't always plot the most direct route, Battery Life could be better, Traffic and Weather feature only work with select phones
Easy to use; breaks after a few hours
Easy to Use, Itinerary planning from pc to unit, blue tooth enabled for free traffic; No text to speech; only turn by turn
Good visibility. Solid Mounting. Turn by turn directions are good.; Never quite gets you to the door step.
Easy to follow menus; A REAL pile of junk
Easy to use the device.; Updating the device requires unintuitive, unstable software; poor documentation; hard to reach support.
Address Entry For Final Location Works well, Rotary Knob on suction makes Mounting and Un-Mounting Easy, Good Battery Life, Unit and Mount are small; Mount is Short, which can make mounting the unit low on the Windshield difficult.
The Price is the only pro.; Not user friendly, to much navigation to get to certain settings!
Easy to use, intuitive; Battery life a little short.
Great navigation, simple to use, 3D view, very portable, super quick start up, map sharing, easy to add pois.; No restaurant categories, no text-to-speach
Small unit with large screen, very easy to use; None that I can find
Clear, readable text; great screen, very easy to use; Euro-centric for add-ons, support
The battery life is deceint.; Screen is not bright enough, no text to speach, poor mounting, poor POI database, no external volume control dial.
easy to use and accurate; Can't get route summary unless you navigate
Easy to use and intuitive; Doesn't support automatic on/off
Easy to Use, Good Text-To-Speech Quality, BlueTooth Capability; PC Software Quality, Lack of Support for Sprint Phones
None! Caused more grief then helped!; Never turned on without a fight, sometimes it worked sometimes it didn't, and the warranty is not real. There's always a reason why the product is not covered under warranty.
Ease of use; Has no idea of where to take you
* Small. * Durable (trust me, this thing will anger you and you will toss it around). * Clear voice; * Inaccurate directions (this should never happen). * Inefficient directions (it makes some major, very time consuming mistakes). * Buggy: Inaccurately warns of unpaved roads, erases favorites after updating map. * Wish I mad more space...
The 45 minutes it worked it appeared to be a great instrument; Product is flawed, company does not stand behind it.
easy to use; you need good eye sight to identify small point of interest markers
A lot of features for the price---programmable screen; Two defective units, inaccurate speedometer and maps, customer service sucks, won't stay on window
Easy to use and great value; Case is extra. Longer battery life.
Got it on sale at Christmas for Cheap; What is good about this one? Inaccuracy. Very minimal Points Of Interest. Extra charges for everything. No map updates. Very cumbersome &#38; difficult to make personal corrections.
As advertised, out of the box and operational in about a minute; Mount a bit awkward but functional
Large screen, easy to use; Small font of status bar, very long wait to acquire satellite signal, horrible at locating addresses, horrible at route-finding
Sleek, exceptionally functional, ready to go out of box; Lacking "multimedia" features (but, did I want to buy a navigation GPS or an iPod?)
When it works, it gets you out of many jams....; They can't seem to send me a working unit.
Great Price and Easy to Use; Better Method of Mounting
A Breeze to use out of the box; It from the British for gosh sakes
Easy to use, no frills, usually gets the job done.; This sounds funny but sometimes it does not know the easiest, or best route.
Easy to operate out of the box, finds location very fast.; Blue tooth does seem to connect to E815 Motorola phones.
Easy to use; I get lost using it 2 out of 3 times
Interface with the computer; I was excited about this product since it wasn't expensive and I liked the interface with the computer. Then I went out of town and the thing did not turn on. For the past 3 trips (I travel weekly) it sometimes works sometimes doesn't.
Easy to use out of box, no frills, CR best buy; Slow to switch on, battery life, POI database, sometimes confusing directions
Intuitive user interface, ease of use, cool info display (speed, heading, ETA, smooth moving map), power by USB, price for features; TeleAtlas maps for Canada, Unit activation no good if you want to sell it, windshield holder
Easy to use?; Out of date maps and bad customer service
No frills, simple to setup and use, changes on the fly as needed.; Does not automatically adjust for night viewing; map zooming is temporary.
When the unit did work it was easy to use; unit is not reliable, customer support is limited in knowledge
I have used it many times in the 2 months I have owned it. It has proven itself useful many times. Best feature is the quick reroute response time if you miss a turn it will reroute you if possible.; Has every road so if it's on the map you may be routed onto a gravel or even a dirt road. many rural areas have old roads that are still on the maps even if new ones have been built.
Simplicity, easy to operate; Has a little trouble in the heart of Boston with the tall buildings, POI is a little tough to navigate
very easy to use; lots of built in memory; good GPS Signal; Small screen; Needs a better speaker; PQIs are kind of out dated
Thin compare to any navi's I have seen and very affordable; It doesn't turn on 80% of the time
The TT One is extremely user friendly (Anyone can use it no matter their tech experience), its portable, and has some of the most detailed/accurate maps of the US following the recent TT map update.; No complaints
Easy to use and very versatile!; Customer service is horrible and the unit is basicall throw away after warranty. There is no factory supported repair process.
easy to set up directions are loud and clear screen is easy to view never a problem with glare or anything like that; battery seems to run down a little fast when not in charger
Great navigation for a semi low price; Well if the unit breaks after 2 years you have to go buy a new one the company will not back there product in anyway after 2 years
Use it out of the box. Directions so far have been very good; Sometimes takes a long time to power on, even with a fully charged battery. POI's not great.
there really was nothing; Never really worked right, so I let it collect dust on the shelf. 2 yrs later I called TomTom support to try and get it working &#38; after their 'help' now I have a completely non-functioning device. Thanks a lot
Easy to use and there is no need to put it on the windshield when I'm driving.; Had to get help to set up bluetooth
Compact, bright screen, nice user friendly interface.; Battery life, onscreen keyboard is for the hands of a troll, maps need to be updated.
i am new to this device, and after purchasing it, it seemed to be an impressive unit that is untill i tryed to upgrade it.; POOR customer support. falty software with no "easy" fix. preloaded map is way out of date.
I love the user interface, not as dumbed down as Garmin's, POIs showing on the navigation map is a nice touch, more information available to user on one screen than comparable Garmins; The maps simply are not as good as the NAVTEQs, only can see POI phone # when "browsing map", no auto switch from day screen to night screen (3rd party freeware fixes this)
Nothing, nothing, nothing.; I had to have the first unit replaced twice and it never did work. The third time they sent me a new one and it is now sitting dead on my desk. It wont turn on or charge.
Great GPS with easy interfacing.; When something goes wrong, dealing with TomTom UK is a complete nightmare. The web-based contact system continually fails. They need to make it easier to report and address problems - my device is less than 1 year old and the memory needs replacing!
I love everything about the design and software of this unit. It's compact, light, very easy to understand, vibrant and clear screen.; - US Navigation maps are outdated/incorrect. The routes suggested are often not the best way to get to the destination.
Have had this unit for about 3 weeks now and just took a trip to Oregon. The unit worked extremely well and the directions we very accurate. I also bought a Garmin Nuvi 265W and in my opinion the Tom Tom blew the Garmin away; No text to speech on this unit which I did not find to be a problem.
quick and easy for those who dont have lots of time to figure out just one more thing in this life; I believe there should be short cuts when doing a search for food or things along the way, they maybe such a thing and I dont know about it?
With basic inputed direction, user can be guided to their destination. I like the standard voice option. The 2D View is easier and simple to see.; It looses it's sense of direction. It sometimes goes berzerk. It may tell you to go down a one way street the wrong way. You can't save your inputted directions you spent a lot of time on.
Maps are accurate, map share keeps them up to date. Fast recalculating of routes, gives ample lead time for directions. Easy to use. When it works, I like it a lot!; Occasionally freezes up, sporadically cannot find GPS. Sometimes reset work, some times its a service call. 7 service calls and 2 RMA's in the first year. Help desk is only open until 7:00 eastern, so be prepared to call during work.
