would highly recommend to anyone  .
i cannot see apple staying on top as long as phones like the evo keep being put out by htc and droid .
i've used an iphone for the past two years (most recently , 3gs)  .
what interested me , frankly , is the amazing low monthly contract price for 4g service  .
so i is expecting to give up some iphone glitz to save more than 100 per month per month on phone charges (made possible by integrated mobile hotspot on the evo       i can toss the $60 per month mifi) but i am feeling zero no iphone pain  .
this thing rocks  .
the big screen is awesome  .
the browser is awesome  .
the processor is snappier than iphone , and even on 3g this thing can do amazing stuff (life watch tv for instance  .
) the best part is the openness       tons of interesting apps on anroid market and also       yeah  .
i feel like i'm out of the apple ecosystem prison  .
apple's refusal to play openly in order to protect simplicity and market share       and charge you more for being in the closed system       that finally just started to irritate the crap out of me  .
android is wide open and it's a refreshing experience  .
every time i read a story about someone who could not get their app approved i felt like i is living in a soviet gulag  .
go to a sprint store and play with one of these things and check the contract price , you'll be amazed .
the phone is fun  .
android operates smoothly and the look of the phone is very elegant .
love it  .
so glad to be done w/ at t and all the dropped calls .
EASE OF USE IS SO AWESOME. FAST DOWN LOAD SPEEDS, THIS PHONE KEEPS ME FROM CARRYING A LOT OF EQUIPMENT. TOP OF THE LINE FEATURES. THIS PHONE IS SO GREAT POSTING MY REVIEW EVERYWHERE; THE GOOD OUT WEIGHS THE BAD.
su pantalla su procesador el sistema operativo la red de sprint que funciona muy rapido y vien con evo; bueno la bateria creo que quiere una mas potente
Big vibrant screen. Great call quality. Fast. Big. Fast; Battery Life. Not many accessories out yet
Gorgeous screen, 8 megapixel back camera, front facing camera, HTC Sense, very fast, 4G.; $10 mandatory fee.
really big beauiful screen perfect for typing. Great network better than at&#38;t. Sorry iphone; Nothing perfect phone.
8MP Camera. Tons of Apps. Frequent Updates. Big Android Community. Big Screen. Kick Stand; Battery Life. Weak Wifi. Weak 4G. $10 extra
Fast, fast, fast. Great coverage (with Sprint mainly used in Colorado).; Need more apps Android
Great Applications,; Battery Life is very week.
It's a phone, internet &#38; GPS in one; None for me
Durable, Great photos, Great sound, Stylish, 2 cameras, fast processor, big beautiful screen, very customizable, Sprint network; $10 premium data fee
all around good phone; have not found anything to dislike
Customisation, screen size, apps, battery life, fast processer; Nothing at all
1. HD, 2. Speed, 3. more than apps one at a time, 4. wi-fi 5. ergonomic; 4G not everywhere
Massive, crystal clear screen, blazing fast, good battery life, solid construction.; Only comes with 8 GB memory, Limited Apps.
Wifi, video chat, HD screen, 4G; The battery can always be better.
Fast-Outlook Compatible-HTC interface is very user friendly.; Have yet to find any.
The screen size , 8mp camera , 720p video recorder , 1ghz snapdragon processor , kickstand , screen sensitivity , front facing camera , 7 home screens , heat sensitive buttons , dual led flash.; screen separation, sometime's the dual led's are too bright
talk quality is much better than my old BB; battery life-no auto off/standby feature
very responsive, excellent camera and video capture, surprisingly powerful voice recognition; battery life
huge screen, fast, responsive, customizable, Sense UI, MS exchange, solid, sleek; Slightly heavier than I'd like, wish the CNN app from iPhone was as nice on Android
Size, useful apps, fairly easy to use (Android 2.2).; Terrible notifications bar (tells very little unless you drop down a special window. Lame).
Everthing about the phone is great.; Cant think of any.
Mobile wifi, fast 4G speed, does pretty much anything; Poor battery life, photo quality is disappointing
Fast, smart, high quality, multifunctional; Slightly heavy and big (but you get a great screen in return)
HDMI, Camera on front and Back, Large Screen, Removable Battery and SD card; Wish It had an optional physical keyboard like the droid.
Phone n service is beyond amazing. apps truly enhance experience fast, easy to use, simply great; needs longer battery life
Call quality, display, processor speed; $10 fee; easy to make mistakes on keyboard; battery life; 4G may have to be turned off, then back on to acquire 4G signal.
Too many to list, great flow. awesome customization. oh and free apps.; was the battery, but it got better after the last update.
everything about this phone from look call quality to speed to operating system just awesome.; none after weeks of using this phone i found zero cons.
* Huge bright screen. * 65,000 Android apps. * Fast processor. * Removable battery. * Expandable SD memory. * HD Video player with YouTube HD. * 8MB camera with digital zoom. * HDMI output - EVO acts as an HD receiver. * 4G; * Only 8 - 14 hours of battery life under hard use
quality of the phone, the apps, the large touch screen,; battery life is challenging
everything about this phone is great!; The battery life could be better
Great fit finish, large screen, nice Audio and video, FAST, great apps, great customer service. Unlimited data plan, you can buy an extra battery.; None no issues this phone rocks.
Everything!!! I don't need a net-book anymore. Well, did I say everything?; Not having it since first day. Every time I went to the stores they said: Sold out!. (Until Best Buy made me happy in 070310 yeah!!!)
It's everything that I ever wanted, thought of or did not even thought possible that a phone should be.; Battery life
Widgets, UI (Sense), ease of use, large nice looking screen.; Haven't had it long enough to find negatives. There is a bit of transition getting used to Android/Sense.
It does everything, and does it pretty well.; Will have to wait for the 2.2 upgrade since it has htc sense on it.
Size of screen, speed of processor, 720p video, Android, camera and everything else.; Battery life is short, which is obviously expected of such a device.
Ease of use, lightening fast . . . from simple calls (clear on both ends) to pics to vids to the size of the screen it's just the best phone I've ever owned.; Haven't discovered it yet.
Sprint has very good plan prices.. Front Face Camera. Good Charger Location. Zoom and Align Text when clicked. 4G Network. Good Sound Quality. Sprint Navigator Free. Easy to find phone contacts. AutoFind when Searching for Application at Market; Battery Life. No Camera Button like Droid. No Swype. No Skype. No pre-installed 16 GB Sim Card like Droid
So Much You Can Do with it. Too much to List !; Took a long time with Sprint to tell me how to tether with it . I spoke to over a dozen reps before 1 rep could help me out . I even exchanged my 3 day old evo for a new 1, because they couldn't figure ot error 67 was .....
Great camera HD video recording front facing video camera Android customization and HTC sense Kickstand huge screen without being not usable and cool under battery cover coloring; Wish the screen was an AMOLED like the droid incredible
everything this phone do is more then what you expect from a very smartphone; none so far after 2 weeks of heavy use.
-Screen Size. -Cameras. -3G and 4G speed. -Consistent Software Updates. -Android Platform. -Multi-Tasking. -Video Chat; -Battery Life could be better (I keep an extra battery around just in case, $5 on ebay). -$30 for hotspot (I did not buy that)
Big screen, video calls on WIFI, 3G or 4G. Google Sky app is awesome! Unlimited text, internet and calling to any other moble phone.; $10 charge for 4G service.
Great display with fantastic resolution; fast microprocessor; fast downloads; Android Navigation rocks; no issues with battery life; works fast on 3G and 4G networks; Internet is almost as fast as Cox's cable's home service.; No cons with this phone;
It does everything and it it does it well. Scree /Keyboard is big enough for my mitts to type accurately; indoor and low light pictures are grainy;movies are not enough frames per second; plan to buy extra batteries and cords to keep you going
Gorgeous display. Android 2.1 (hopefully getting froyo soon). large screen. kickstand to prop phone up on desk. 4G; only con is the battery life
- Screen is awesome, multi-touch, HD. - Cameras, yes two cameras!. - Sprint has some great "included" features, such as Navigation by TeleNav (go price it yourself), SprintTV.... - HDMI out. -User defined Scenes - Work &#38; Play!!; - This phone did not come out sooner!!. - No 4G in the phoenix....yet. - Additional cost for hotspot feature ($30/month)
Screen, operating system, processing speed, possibilities; Battery life could be an issue, but definitely competes well with iphone battery life, and has major option lacking in iphone -- get a back up battery!
Mobile Hot Spot, 4G for my area, full Google integration, personalized home screen, Android O/S, 30-Day Money Back Guarantee with Sprint, unlimited data, Android voicemail, Android notification; Battery life, if it switches to 3G while running as a hot spot, you have to reset to get it back to 4G
FAST, great voice quality, awesome camera, huge screen, slips easily in and out of jeans; Slightly too big, battery life could be a tad better
Processor Speed (Never Lags). Screen (Absolutely Amazing Color and Size). Internet Speeds are BLAZING (Even in 3G they're fast). Good Quality Feel (Firm and Substantial). Unlimited Android Apps (They're free too). Great Browser. HD YouTube!! (Awesome); Battery only lasts 6 hours with everything turned on and lots of 4G usage. (Lasts a full day with moderate usage and Mobile Network on).
Wonderful performance overall, Hotspot feature, Clean HTC Interface, Customization options, Camera quality, Video recording, Kickstand convenience, Glass touch screen, loud speaker, Bright screen, Very little to no lag, Battery life; External buttons are incorrect size and placement for large phone, Battery door flimsy, Not shipping with 2.2 OS, 720P video recording is pixelated, No BT voice dialing, On-screen keyboard is lackluster and no auto space,
Design, Fast processing, Sense UI, Connectivity, 4G speed, bright/clear 4.3 screen, quality 720p HD recording, HDMI, rear (8m)/front cameras, Wi-Fi, hot-spot, bluetooth, VPN works well, synch and exchange data easily, powerful browser, multi-tasking.; No cons. Battery drains fast when you have such a powerful smartphone (a mini tablet PC with extras). Bought a back-up battery and other accessories online.
Screen size,Sprint's cost plan,HDMI,2 cameras,sleek and very attractive looking,android os; work around the battery issue. froyo not available as of yet so waiting on full flash support.scary as hell to drop this thing.
I love all the App, on the facebook &#38; teeter account, it add all my friends facebook pic into my address, &#38; all my friends birthday's into my calendar. Wow! The 8Mp camera is awesome it let you adj ISO, zoom in &#38; out, change the pic color...e; I am stiill waiting for the 4g to work
Large screen, responsive, excellent gps (turn by turn), great call quality, wonderful notification system, sleek, sexy, great speaker, overall it is just a great phone.; Trying to find one that doesn't have any flaws (i.e., screen separation, dead pixel, and missing SD card).
not many cases available yet. I need one that clips on. I am waiting for the otter box case.; great phone, battery life could be better. i have found that if i turn things off when not using them, phone battery last great. go figure!!!
It pretty much does it all. Big screen. Very fast. Competent. Navigation kicks butt. There hasn't been anything I haven't been able to do, see, or hear using this phone.; Battery life can be bad if you don't research what needs to be done to extend battery life.
Much better looking than any phone out there (sleeker than the Droid X, iphone). gorgeous screen. minimilist design with the kitchen sink inside. cheapest plan. thin. fully customizable. replaceable battery. can replace a netbook and easily better than iPad; battery life. back cover is weak
Unlimited data for hotspot, Hotspot can work on 4g and 3g up to 8 devices, kickstand for video chat and watch TV plus Movies, Don't have to be on wifi for video chat, Monthly fees, customize however you want; Haven't found any yet and I've had it since day of launch.
fast 4.3 inch htc sense video shat camera amazing pictures video on this phone really amazing.; battery but for a super phone what do you expect just buy extra battery and you are set.
Android 2.2, 4.3" screen, fast performance, 8 megapixel rear camera, front facing camera, good WiFi (a/b/g/n) performance, excellent GPS performance. excellent touch calibration. I can't think of anything more that one would want in a mobile phone.; Wish it came with the Swype keyboard.
Everything this amazing phone does, it does fast and flawlessly !; NONE ! Some are saying the size is a negative, but this is part of the attraction.. $10 extra fee? no problem....still worth it!
Blazing browser speeds, easy to use once you get the hang of it, beautiful quality screen, front and rear camera, 8 meg rear camera! Text to speech (which is the best!); Blue tooth activated calling won't be out until Android 2.2 is released
7 screens to save apps on. Big screen so you don't have to squint to watch movies or work apps. Front facing camera. 4G Network. Slick design. Very clear graphics. Links to Google account. Over 100 more apps.; It is very wide. I actually carry it in my back pocket like my wallet.
It's just fun. The screen size, the smooth operation of apps, large keyboard space, cameras and I like Sense over the OS; I just want more accessories.. a specific car mount and I do wish the stand would work in Vertical- and that it had been placed in the middle...
everything; I had to downlod a couple of power management apps now the battery life is about the same as my iphone
everything about this phone easy to use great sreen fast call quality and android market a plus.; battery but i new battery from amazon and I am set to go.
Highly reliable Sprint service, and the ability to customize the UI.; I really haven't experienced any glaring issues with the EVO. I don't have access to a 4G network, so I can't speak to that, but the phone just flies over 3G, so I can only imagine how it'll perform over 4G.
I like everything about this phone, but the color depth of the screen could be improved. Compared to the epic, it is a dream come true!; I like everything about this phone, but the color depth of the screen could be improved. Compared to the epic, it is a dream come true!
Sprint plan is so much better for me.. I pay $83.27 for none stop text, web, and mobile calling. (I get a nice discount). The screen is super nice.. The speed is outstanding.. The camera is nice.. The kickstand is a nice touch.. And tons of other features.; The speaker phone sucks!!
screen size, clarity, processing speed, ease of use, applications, look, feel, responsivness.; Battery life....but in a machine like this, the alternative would likely be a thicker and heavier phone...I'll take the one I have and cary an extra battery
4G, the only (true) 4G except for Epic. (sorry T-mobile, HSPA+ is not fast enough) The phone is so nice in your hand, and its so customizable and user friendly. Video chatting! Live uploads to qik!; Battery Life. No skype 3G/ 4G Video calling.... yet.
The large screen is great. The operating system is the best! I should have 4G in a few months here in the L.A. market; You need to keep a spare battery if you use the Evo a lot.
Very snappy hardware. Screen is amazingly awesome, very crisp and clear. Plenty of apps to choose from. Battery Life is pretty good, since I began using task killers.; The background tasks are horrible. Its good that there are task killers to ultimately save you battery life.
4G. Gorgeous screen. Lightning fast processor. Good camera/ HD video camera. Unmatched customization. Video calls on 3G/4G network to phones or computers. Sense UI. Google's apps. HQ Youtube. Great call quality (nice to see on a smartphone nowadays); Mandatory $10 add-on (I have no 4G where I live, so its kinda bogus since I'll hardly ever use it, but it does insure you 100% unlimited data use period, so its not too bad)
The common responses are true: Screen size, multitasking capabilities, camera continues to impress, internet speed, Sprint specialty; best call quality. Coming from an individual who's purchased a countless number of phones, this phone rocks!; The problem isn't necessarily the phone itself, it's the Android OS. I understand that the developers are always improving: Yes, but they need to filter out more often, the senseless, inappropriate applications on the marketplace. Only Con!
Huge 4.3" make navigating and everything else a little bit more fun and easier to use. Sprint has great coverage in my area. It's not an iPhone.; My back cover isn't smooth out and had a little bump. 4G is not that strong where I live (GP, TX) but I do have signal.
This phone is really a great device, perfect size and weight, blazing fast, an all around great PBA.; Battery life is short (as expected) but you can get the 1800MAH battery for it and works great!
Gorgeous screen, awesome rendition, gorgeous screen, and gorgeous screen!!!!. Mobile Hotspot works well, even in 3G. Easy to use. Gives the impression of a technological marvel; It's big, but it really is true that it doesn't mean much once you start using it.. Compared to other phones, it's cons are pluses!!!
Large and vibrant screen. Fully customizable. Android Sense and Froyo make a great UI experience. Form Factor - Feels nice in the hand; Battery life is not the best. You will either have to get an extended battery or constantly monitor applications and radio dials to preserve battery life.
Screen size. I DO use it as a multi media device to watch TV and videos while on breaks and lunch. It feels strudy. The kickstand is a top idea.; Battery life could be better, the should have used at least a 2000mAh battery.
Call quality is far superior to my Blackberry; Best Internet browser with top speed; Screen size and stunningly crisp visual display; Customizability; Photo capture quality; HD video &#38; effects options... and the list goes on and on!; I thought battery life was a con until I changed some settings, and tweaked my my new gadget to perfection. Now I haven't a complaint in the world.
love the apps, screen is awesome, speaker is awesome, alarm is swesome, settings are awesome... it was all so good my wife got rid of her iphone and wet with the EVO... fun great phone, and I like the sprint service ans customer service... so far; battery, battery, battery....... everything you hear about the battery is true. get losta chargers or upgrade battery
Screen size, it's super Fast when opening apps. 8 MP camera takes sharp beautiful pictures, the second smaller camera takes pretty good pictures too. Mulitasking and total customization of most aspects of the phone.; None so far, I am already used to battery issues on phones like these thanks to my iPhone (home charger, car charger, work charger, battery pack), I will just have to upgrade all my chargers for this new phone.
the power to do more then you ever imagined with a phone. internet browsing just beautiful on the giant 4.3 inch screen vibrant color HD camcorder capture the best video and picture HDMI to watch videos. Sense UI customization the android market.; I found no cons even the battery great after 2 week your battery problem fade away and you start having a very good battery.
everything two days in and not even close to finding everything yet buy buy i phone you had your run now your done; battery life could be a little better put they are working on it already and it on the way
Screen is large and spacious. Processor runs great and will be even better when they update it to 2.2. Call quality is good. The Forward facing camera works better than expected. Records in 720p. Never locks up. On screen qwerty works well.; The only con if you can call it a con is the battery. It lasts me till 9-10 PM.
4.3" Srceem, 4G, App Store, Removable Memory ok a 32gb PNY card only 69.99 at walmart web site fast phone very smart with spech to text wow and nav for free 10000 of apps video chat on the go with out WiFi hey make your own WiFI out the blue; ok the batt 1500mAH still got 2.2 ver that don't mean the iphone have the same probls that new usb mini port wood be better with a mini A
Great screen size, almost perfect, i like the camera, fast with regular 3g, FASTER with 4g, cool applications, why it took them too long to make it.....nice reception, i call it the "SUPER PHONE"..GOOD JOB HTC....; I hate the 10 bucks data MANDATORY CHARGE, the battery life is NOT that great, have to minimize the applications that use the battery energy to make it last longer,freezes sometimes for a microsecond..
-Rooting is available to those who want to take full advantage of a handheld, pocket-sized linux based computer.. -Games look amazing, given the cap on the FPS. -When available, 4G is a speed demon...1134kBps!; -Graphics Cap @ ~30 FPS. -It seems that you need to be stationary when using 4G in Houston.. - Touch buttons for Home, Menu, Back, and Search are easily pushed and therefore sometimes problem-matic.. -Not a one-handed phone by any means, see above con. -
pretty much everything. love the screen size, how easy it is to use. Text messages are easy, its basicaly IM's. Camera is good. 4G is really fast, about as fast as my Wiifii on my laptop connection for comparison. Kick stand is cool and useful.; Sprint really needs to market better, no wonder why they are losing money. Most of my friends hardly know anything about the EVO.
4G! - music storage (you no longer have to deal with iTunes), hotspot, good camera and video, Sense supports virtually every full version web page for browsing, touch screen works great, awesome display, large selection of apps to choose from; You need to manage power savings options to preserve battery life, but what do you expect for a phone that can do so much?
Screen - cameras - video chat - apps. Blazing fast w/ 4g and snapdragon processor - faster than my laptop at loading pages.; Tweaking to get the battery right - but it is manageable - With this much power, and this many features, can't expect to have them all on all the time and not drain the battery. Already seen pretty big improvements - expect full day.
8mp camera, video conference per wifi, 3g, 4g and so on.can overclock this phone to 1.25 processor. thats sick !!!! unlimited memory, free wifi hotspot if rooted or use pda/net there is so much to do on this device your imagination is the only limit; battery if you dont know what to turn off, or you could root this phone and then you would have no problems at all
So many Pros! FAST. SMART. The touchscreen is incredibly responsive. Startup is a lot faster. The 4G speeds I have not yet experienced and I am still extremely impressed with the functionality. I use the wifi hotspot for my iPad and its great.; Talking with it to my ear can be uncomfortable at times. I just haven't found the right way to hold it I guess. I think it is my ears fault to be honest.
It does everthing well; Sprint $69 all inclusive package is the best deal period. EVO vs. iPhone 4: Its bigger, has a better network, fast built-in hot-spot, more features, 8 gig HDcam, has 4G, cheaper &#38; better plan. etc. iPhone 4 users r switching!; Ear piece area gets hot. Battery life is not that great when using wi-fi and other apps but there are ways and programs to work around or fix that issue.
Switched from Touch Pro 2 to HTC Hero to HTC Evo 4G. Super fast processing speed. With 4.3 inch screen watching youtube, mobile TV, browsing the web is totally amazing. Speech to Text. Micro HDMI. and Best of ALL the Color is Black with Red accent!; The phone is big, but the speech to text definitely help. the phone build quality is good. but many users, including myself notice the "Light Leakage" on the bottom of your screen, a less than half of mm crack that causes the light to shine out.
The first thing that I noticed switching from the iPhone was the "openness" of the device. I can change backgrounds, add widgets, each app is customizable, anything can be a ringtone. It is sturdy, beautiful, fast, "it just works," 4G is amazing.; Video calling app needs some work (not a fault of the phone). Periods are entered in text/email composing so the keyboard (while great) has been a pain in this area. Hard to find many legitimate cons with this device.
I love the size. I had the Hero before this phone and I found that one to be a little small for me. Easier for texting, easier to see the text. A very fast phone w/ the snapdragon processor. 8 megapixel camera, high def... awesome!; It boasts the hdmi connectivity to your tv, but doesnt include the cable. I found one on ebay for 6 bucks. So if others are selling em that cheap brand new, why doesn't HTC just include one in the box? Power buttons a little hard to find sometimes.
Has am amazing processor, still learning tons of the features that this phone has. one touch contact info, then 1 touch to call/text/email/share photo with. 4G is almost as fast as my home cable connection... ALMOST!; Poor battery life, if you are updating apps, battery life is only about 3 hrs. normal use 6 hrs the batter is in the red. Facebook app works "boggs'' down the phone.
It has an app that will build you a private island, then it turns into a jet and will fly you there -- not really, but it's darn close!; Nope, not the battery life, see below...the only thing I have against this device is: it's not necessarily an out of the box solve all your problems slice of wonder bread -- you have to actually take a bit of time and figure out how to use the thing.
HUGE screen, 4G, WIFI, HOTSPOT, 8meg camera (crystal clear) HD VID, expandable/swapable memory card; Battery is not great. I have quelled this by limiting my running apps and turning off wifi, bluetooth when not needed... when you use the phone like a computer, expect the battery to drain like a computer.
too many list but the noticeable speed and ease of use; battery life I can see being an issue but i bought a car charger and a charger as well at work and one thing a lot of people don't realize is when it does get down to the lower part of the battery it winds up lasting for a while because it conserves
Video Calling is great, Beautiful Screen Resolution, Android 2.2 coming 08/03/10, Kickstand, Thanks god this phone is not with at&#38;t, 4G data speeds are off to a good start and will improve, App Count on Marketplace is on pace with the iOS App Store; Sprint future transition of 4G from WiMax to LTE , 4G speeds need to improve (wifi over my home's internet is faster), Device availability shortage such that customer needs to get on a waiting list, Voice Dial over BT missing until Froyo gets here
Lots of pros...screen size is great and LCD looks great even though its not AMOLED screen, fast and responsive, kickstand, 8mp camera works great (i have taken lots of pics on 2 different trips and they turned out great)...lots more!; Battery life is not the best. I have found that with the over the air update and with time the battery life has improved. I can now go all day without charging.
The specs and performance on this phone are amazing. I've had it since launch and still find something every day that's useful compared to other smartphone OS so I cannot say enough about how well the Evo, Android, and Sprint work together.; Battery use is high, but that will be improved with the Android 2.2 update
Love the HUGE screen on the phone, actually feels like im carrying something in my hand when I talk, Love the FAST processor and the Ability to Overclock it if you "Root" it, love that I can Customize almost any part of this Intelligent phone; The 4G "Premium Data" that you have to pay regardless if your in a 4G area or not... Other than that.. must Say its an Iphone4 Killer
Droid system, 8mp camera, HD video camera, huge 4.3 inch screen, kickstand, 4g capable, charges incredibly fast, dual flash, incredibly accurate touchscreen, blazingly fast internet, one touch gps, wifi, bluetooth and 4G...; The battery could be better but this one charges so fast and there isn't a phone with a better battery out there anyway. 4G could be better too but no other network has 4g yet and I'm in a wifi spot most of the time.
Htc has outdone themselves with this flagship phone from htc. I love the 4.3 inch screen, new iphone still 3.5???? and still dropping calls. Sprint networks is rock solid, this phone is fast and a joy to use. excellent build quality.; battery life needs to be longer. Their is a software update due out next week to address this issue. For the android OS to be out for only 18 months very impressed
This phone replaced my Palm Pre and I love it. Lots of apps, snappy performance, good battery life (14 hours under reasonable use, after tweaking settings, esp. turning off "Enable always-on mobile.."), decent camera, good speakerphone, great design.; Voice quality is not great out of the earpiece, breaks up a bit when the call volume is turned up. Not bad for me since I tend to use a Bluetooth headset for longer conversations.
the evo is fast, big and packed with cool android and htc features.With sprint i get great service, unlike AT&#38;T which can extremely spotty and i am able to put my itunes on it, which eliminates my ipod. and the internet is great for any webpage.; Once in awhile might freeze, but only for a second, youtube app could use a little work, but these dont bother me at all, the only thing i wish they improve in other gens is it being a little thinner, i think it would look nicer and better battery
Great build quality and I love the monster screen. Not too big not too small and it can still fit in a pocket. Camera is excellent and video is not bad in daylight conditions. Video chat is Awesome and beats iPhone 4 WiFi only limited capability.; Haven't really found much to not like about this phone. Call quality is amazing and I can actually hold the phone anyway I want without dropping a call. Contrary to some other phones on other networks! So NOTHING bad to report at this time!
Large Screen- great for typing, viewing web pages, and watching videos.. Kickstand- I use it all the time to view videos and scroll through webpages.. Camera- I use my phone as my point and shoot and video camera and have no complaints.; Android takes a little bit of effort to learn. It is not as easy as iOS, but is more customizable. I have had the hardest time trying to easily download a feature movie to my phone. It was easy to go to iTunes by a movie an then load up to 3gs.
The EVO is absolutely a revolutionary device in the smartphone market that is second to none. I can use it as a mobile hotspot. Easy to customize and add apps. The HD video recording is outstanding. The 4.3 screen makes it enjoyable and easy to view.; Battery manufacturers need to keep up with technology. With all that the Evo is capable of doing to get full use you have to tweak the battery. It's not a deal breaker and I have learned rather quickly how to use my mini laptop to it's full potential
The screen is AMAZING!! It's clear, crisp, and beautiful!. The Android software is also out of this world. It runs so smoothly (partly due to the 1ghz processor this baby has under the hood)! I also love the app store!; The phone does go through its battery faster than many other phones. But I haven't found this to be an issue, since I charge my phone every night. The battery lasts about 10 hours with HEAVY use. But it will last much longer with light-medium use.
I like the big screen the kick stand comes in handy i absolutely love the UI of the phone its easy to navigate and text on its also super fast for me not to be in 4g coverage; There is nothing that i dont like i dont have a problem with my battery like alot of other people
I love the huge 4.3 inch screen, it makes texting and typing a lot easier. Also the spell check feature is a plus, awesome camera quality amazing service there are no internet browsers that I could not access so far. Loud speakers.; There are so many awesome things to do and not enough battery so just buy a back up like me, I have had a few smart phones and honestly battery will always an issue so it would be wise to invest in a back up of some sort.
Awesome screen with optimal resolution and size, super fast processor, android 2.1 now gives me 99% of what I need, Google Nav &#38; Sprint Nav are both fantastic, video chat, removable battery. Didn?t think I would use it, but kickstand is very handy.; Big screen equals big phone, size takes some getting used to. Battery life is short if you?re using 4g to download lots of data. Turn 4g off when you?re not using it and the phone uses 3g and has the same battery performance of any other smartphone.
Blazing speed. ANDROID!! You can "root" the phone to get free wifi hotspot and bypass Sprint's costly $30/mo. hotspot feature. Big, gorgeous display (different from iPhone's "retina" display, but just as nice IMO). I have 4G, which is FAST.; Battery drains pretty quickly, but, unlike the iPhone's battery, it's removable, so at worst, you can buy a spare OEM battery for $30 on amazon (not ideal, but the perks of this amazing phone make it worth it). The HD video could look better.
Large screen, many applications to choose from and very fast internet with a flash player that plays many videos from sites that other phone cant play videos from. Easy to use keyboard and text prediction is wonderful. I does EVERYTHING you need.; battery life on the phones tends to die pretty fast and you may experience some delays in response of turning the phone in the horizontal position. I sometimes have to shake the phone a little to get it to respond. But not often at all.
