one low price and no add on fees or taxes  .
she said she did not even call , they'll just say the same thing i is pissed , this moron had me standing there waiting and she did nothing  .
i told her forget it  .
just cancel the sob , loud in front of caustomers and stormed out of store  .
i personnaly have had t    mobile pre    payed for about 7 years  .
very few problems and they have actual customer service  .
i checked their plans and they have a flex pay plan that almost matched metro  .
got my 13 year old on their plan (called customer service to ask questins and got an immediate resonse)  .
she has the main thing for her unlimited texting (14  .
99/mo  .
) 300 anytime minutes , free weekends and 5 favorite unlimited friends  .
total cost 54  .
00/mo    metro is 45  .
00/mo  .
for 9  .
00 more a month she has a real cell phone provider with actual customer service and coverage when we go down to south ga or the gulf coast  .
i hope more people check out the t    mobile flex pay program , n credit checks or contracts  .
great to d business with someone who actually cares about their customers even if you have a problem .
the call quality is poor  .
1) the samsung messenger phone screen went dead 3 days after the metro warranty went out  .
they did not have insurance available until a month after i bought my phone  .
i don't know why the screen went dead  .
they said pressure damage but their is no damage , just a dead screen  .
i went to both their authorized dealers with no luck  .
they accidently cancelled my service and then could not restart it because my phone had a dead screen  .
it is like a catch 22  .
so they had a solution for me   screw me  .
go buy another phone  .
i am retired , fixed income  .
my son bought me the phone  .
i have been without a cell phone for a few weeks now , even though i am still paid up  .
i feel that metro is unfair , ignorant , and undeserving of our business and support  .
take my advice and stay clear of this outfit , they will rip you off  .
it's not all it's made out to be  .
i could not get reception in my own house or inside buildings that were within the coverage area  .
the customer service is a joke , a bunch of people giving you the run around not knowing who does what and hanging up on you , i even had one person tell me there is no corporate phone number i could call to report the idiots  .
they gave me a refund a month and a half after i canceled my service  .
bottom line is just stay away from it , no wonder they're service is so cheap .
exremely poor customer service  .
thre clue is the three stooges intro ,  .
wow , they must look for call center workers that have been fired from other places  .
i cannot do anything on the website  .
i have yet to receive a call on my phone as all calls are forwarded and i cannot turn it off  .
i have tried conditional forwarding  .
if you take 2 of their customer service reps you will be luck to find a combined iq over 200 , you will probably hit the 150    180 range  .
i had 3 hang up on me tonight their mo is , can i put you on hold while i get the answer  .
after 80 seconds you are disconnected  .
find another service if possible .
worst cell carrier i have ever delt with  .
had many since 1984  .
from dropped calls , system busy and limited calling area in the 'tampa bay' area in florida  .
currently with 't    mobile' and are quite happy with t    mobile's service and call quaility .
in conn  .
and tried to make a call to home just 40 miles from home in ri no service i'm getting rid of it at sucks only had it for 10 days not at all happy with it and the customer service suckes also  .
all of metro's phones seem like they are behined every other carrier in the u  .
whenever they get a new phone they loose a phone and they only have about 20 to choose form  .
the plan that i have is good but the service sucks  .
i rarely have full bars on my phone and when i text at school under my desk it goes down to 1 bar  .
i thought it is just the classes but i tried it at home and it did the same thing  .
they only have 2g service but it's so bad its like 1g  .
all there phones are made of what feels like scrap plastic  .
they have phones that no one has herd of (of brand phones)  .
they recently got a 4g phone , the samsung craft , the 4g service is only in dallas and las vegas  .
if you travel do not get this company  .
if you want to get cheap plans with good service and good phones get virgin mobile the monthly plans or boost mobile .
i opened a metropcs account because i is tired of paying verizon's exorbitant prices ; after less than two weeks , i'm counting my blessings that i haven't dropped verizon's service yet  .
reception is spotty (in nyc , for heaven's sake) , with frequent dropped calls  .
apps do not work properly (i have been unable to back up my address book since i got the phone customer service is beyond horrible  .
there is no email support , and it takes several minutes of literally fooling the computer to get a live support tech  .
the only way to get it to put you through is to deliberately keep repeating nonsense (monty python's splunge works well) when it asks you what you want to do ; after about six times of telling you it's having trouble understanding you , it will finally give up and put you through to a tech  .
this does not help much , since the techs are clueless , and unable to resolve any problems  .
avoid this service at all costs , it may be cheap , but a comparison between this nonsense and verizon has definitely reminded me that you get what you pay for .
you should stick with a different company  .
the trouble is not worth it  .
when you call them about issues they basically rush you off the phone  .
they're rude and the service are horrible  .
within months you may have issues even with insurance you will be stuck with a broke phone  .
i do not like the customer service given by some of the metro pcs representatives  .
i is asked to leave the store located in mesquite , texas by joe (rep) when i returned to asked for representation from a manager and not him after he failed to successfully transfer my phone service to new phone  .
i is treated rudely by joe who accused me of requesting my second line's number transferal to my new phone  .
this is not the case , the second line's number is already active to my daughter's phone and is not the issue  .
he literally screwed up and blamed me  .
after speaking to the manager and getting everything corrected this little creep had my second line suspended  .
i cannot prove that he did it but i know in my gut he did  .
is not the customer always right  .
when you upgrade your phone and change your mind it is not returnable even if you return it the next day  .
to me their misleading return policies and bad customer service is enough to cancel my plan even if they are the cheapest  .
they ripped me off $220 for selling a smart phone that isnt so smart .
choosing metro pcs is the worst decision i've made in a long time  .
buyer beware  .
they charged me for international texting it did not work they told me the overseas provider hadnt signed up what nonsense is that  .
when you pay they charge you an extra 3  .
00 to take your payment  .
save your sanity go elsewhere there are many providers offer unlimited service for a few dollars more  .
basically the phone company is you get what you pay for  .
yeah its dirt cheap , but you get dirt cheap coverage and customer service  .
also do not ever get their insurance or even bother taking your phone up to a metro store if its messing up  .
one lady messed up my broken phone even more and reset a password on a old phone and forgot what she made it so i cannot ever turn that one on again  .
i highly reccomend you to invest more in a real plan that use this pathetic excuse of a phone company  .
save yourself , pay the extra 50 and go with a major carrier like verizon or att , although quality will vary based on location updated  .
on jun 22 , 2010  .
customer service at both the store and the number to call refuse to help  .
the person at the store could not get the apps turned off and had me call customer service who told me they could not help me that i needed to contact the store  .
by the way in order to get around the computer answering service who is bent on not letting you talk to a live person , you have to call them from a non pcs phone  .
i finally talked to a manager who assured me she had fixed all my problems and i would not be getting these pop ups from them any more guess what , i get 3    4 a day which are still locking up my phone until i notice it and remove the battery  .
not the kind of service you want if you depend on knowing someone is trying to call you , because you wont while the phone is in the frozen state .
i wasted a lot of money on a cell phone that i do not recommend  .
do not get metro pcs  .
i only had metro pcs for only 2 months they charge you a lot of money for no reason  .
one day , i remember i had exactly 105 dollars in my cell phone balance  .
when i checked my balance , i had 100  .
43 dollars  .
and they kept on cutting at least 5 dollars every week  .
so i recommend everyone to stay away from metro pcs  .
after being with metro pcs for so long , i decided to go with t mobile because of the following reasons listed above  .
although my plan is suppose to be $40 for unlimited text , talk and web , my bill would always be between $50 and almost $70 a month  .
also , when i went out of town (still in my home state) , i had no metro service and to top it all off ,  .
i is lost and needed directions to get to my sisters wedding in winter garden  .
their so called smartphones are a rip off  .
the applications are very limited and you cannot download anything outside of the metro applications without paying for them  .
i do take that back , i did use myxer  .
com to download ringtones for free but i couldn't still download a lot of things still very limited  .
i saw a commercial where metro advertised that their network is 3g ha  .
my signal to connect to the internet ran so slow , i could go to work and it would still be loading and half of the time , the connection is out  .
the only time their service ran at top speed is if i stood outside  .
a lot of people that i know who have metro knows this  .
try watching a youtube video on the metro network  .
it takes forever for it to work and even when it's running , the people may be talking but the image is still  .
there were times i purposely ignored phone calls and is left a voice mail which i would receive about an hour or 2 later after the person has called  .
the customer service is so bad are these people competing with sprint for the worst customer service title  .
i've switched over to t mobile after a friend of mine sold me his broken my touch 3g for $20 which i took it to be repaired for $70  .
i took the phone number that i've had with metro for so long rather than get a new one  .
the people at t mobile were so friendly and gave me free headphones for my phone and a carrying wrist band which i like because it helps me from dropping my phone also , i paid nothing walking into the store and my bill will not be due until the middle of next month and it won't even be the full amount  .
the coolest thing about it is that i'm not under contract at all and still get all the same benefits as if i were on a plan  .
look at the tmobile website for their even more plus plans  .
the network is real 3g and the phone that i have , i can download free apllications from games , music , tv shows , watch youtube , bid on ebay , etc from applications in the android market  .
my phone has replaced my computer in a way  .
the only time i really use my computer now is when i see my friends on skype  .
i can go anywhere now and not have to worry about going into an area with no service , receiving bad service , paying silly fees to pay your bill , paying for old phones , misleading ads , differently priced bills  .
for the price i paid metro , i now pay through t mobile but , i can reach a customer service agent 24/7 on the phone talking , computer or mobile chat with them from my phone  .
i almost forgot to mention that i purchased a cheap $59 phone called the kyocera laylo for a relative for their birthday  .
i thought that all i had to pay is the $59 plus tax  .
well , the total came out to $74  .
why  .
well apparently , metro has come up with another pathetic way to rip you off this time they call it an upgrade fee  .
an upgrade to what  .
the phone my cousin had before is a simple , basic phone  .
no qwerty keyboard , no watching videos or listening to music with an sd card just a simple flip phone made by huawei that i think he may have paid $50    80 for  .
i is very upset at this point and told the woman that i is so glad that i'm not with metro anymore  .
why put up with all of their abuse and still pay metro every month so president of the company can live better  .
you need to remember that they need you , you do not need them  .
there are other companies out there who can offer you what you want  .
why complain and still throw your money away because metro is convieniently every where and because they are cheap  .
i'm not going to take their crap and make them rich  .
i suggest that you go phone carrier shopping and let them know that you do have options  .
i'm never ever going back to metro pcs never ever  .
i pretty much dislike the whole product , though the price is awesome  .
this is best for the young crowd , such as young teenagers  .
and for parents who worry about overage fees , metro pcs is the way to go  .
today i purchased their product , and when i said hello hello hello to metro pcs , i had to say bye bye bye the very same day  .
slow network , could not call out to other us locations kept getting a message that i need to buy a phone card to continue  .
in my mind , i is saying why  .
my plan is unlimited  .
it includes all the features  .
also , when dialing a number , it takes about 8 seconds for me to hear the ring ring  .
i would probably wait until metro pcs decides to upgrade their network , and improve  .
especially catch up to the new 3g/4g networks  .
in order for them to compete , they must be in the same league as the popular carriers  .
still offering the same great price .
metropcs has never been highly regarded  .
of over 100 reviews here on cnet , the company has garnered a whopping 2    star review on average (out of 5)  .
metropcs hail    mary response is one of desperation    most recently using an advertising campaign that seeks to get cheap laughs by mocking indian    americans  .
if this were about east asians with a buck    toothed   saying me so sohhy over and over again , it would be pulled immediately  .
instead , they've wisely chosen a community which rarely fights back  .
nonetheless , its hard to avoid the conclusion that metropcs resorts to racist humor in order to push a mediocre product  .
mocking the indian accent for its ridiculousness may get a rise from the tv and radio audience , but its hardly a long    term strategy for a cellular company that has had consistent cell tower issues and limits you from calling out of town .
supposed to get free international calls (to most land lines) with my phone plan but i cant even connect to any numbers abroad    free or not free  .
maybe international calls to mexico and latin american countries are possible since thats where their customer support is based , but to not be able to connect to the uk    thats absurd they want me to buy and carry international calling cards as though this is a third world phone service  .
i would not even give them 1 star and to think i switched from sprint for this    at least sprint overcharged but gave you the ability to make phone calls  .
urgh  .
stay away from this company .
so i purchased a samsung caliber at best buy  .
the phone ended up being defective so i returned it an got my money back  .
that same night i called metro to get a refund for the plan charge ($50) , when i got to a rep i explained the deal , she looked over my account and had me on hold longer then she actually talked to me , when she finally came back on she said , i confirmed with my supervisor , and your going to have to go to a corporate store to get your money back , i felt like this is bull , being that i paid over the phone with them and not at a corporate store i went to the store the following day (sat) , i explained to them what happened , and they looked at me like i is stupid , you didn't pay thru us why would we refund you but they were nice enough to direct to another dep  .
called billing matrix which weren't open till monday , i finally called today (mon) and the rep there said he couldn't do anything for me that i needed to talk to metro , so back to the original dep i went , there a rep told me that the service is active and that they couldn't refund my money , so basically i wasted all this time and i still lost out , but she had a brilliant idea , why did not i just go out and get a new phone so i could use the service at that time i asked for her supervisor , i went on hold for ten minutes for her to come back and say , my supervisor looked in to your account and it seems this line has only been active for 6 days so you qualify for a refund i hate there cs so much  .
took me 4 days to get my money back , and just to go back to the same dep  .
where i had asked for it originally .
if you are planning to get metro pcs service be aware that you will be dealing with problems for hours  .
there is absolutlly no way of explaining the level of incompetence in their staff , it will blow your mind  .
they do not do test calls on your phone so if you run into a problem you have to hang up and call your own phone and call them back as many times as necesary , i did that 8 times , for 2 hours , to activate my phone  .
so good luck  .
i dont like the service bcoz it keeps repeatedly got out of service on me not even a 1 min of conversation i am so disappointed  .
even if you talk to person with the same service it still get cut off updated  .
on feb 20 , 2010  .
in the three weeks we've had metro pcs , we have hated them  .
firstly , in the first week my husband had his phone , he could not call me (i m on a sprint network)    there is a problem with metropcs cell towers  .
when he needed to call me , he had to pull over to a payphone to call me  .
his employee , also on metropcs , could not call me on the sprint network  .
on the 8th day , however , they fixed the problem  .
then my husband went to washington dc and annapolis and could not get a signal at all  .
metropcs's response  .
well , maybe he should try roaming , at an extra charge  .
i said but you're supposed to work in that area    their response oh well , too bad  .
thirdly , all this time he has not been able to use call waiting  .
when he pressed the talk button , he cut everyone off    which is most frustrating and he lost customers because of this  .
he finally took the phone back and surprise surprise , they said it's faulty    so they are ordering a new one  .
he asked if he could upgrade to a better phone , and they said sure , but we will not give you any money back on this old phone    it's used  .
he said but it's faulty    and after all the problems we've had , why cannot you help me    i want to pay a lot more money and get a better phone but you must give me some credit for this phone    they refused  .
i spoke to jose fernandez in the store in hialeah    a more useless cretin you could not find anywhere on this planet  .
i told him all these problems , and he said i'm so sorry , so i said that's nice , but what are you going to do about this  .
and he said nothing  .
they could not care less about their customers  .
they have a good monthly plan if you don't mind dropped calls and terrible reception and no signal when you leave fort lauderdale or miami    but they are just awful  .
the worst customer service in the entire world    definitely the worst experience i have had  .
i remember the very next day after my husband first got this plan and the new phone    we were unhappy with the phone and we wanted to take it back    and my husband had used 1 hour and 12 minutes of talk time    and they said no way  .
you cannot return this phone , you only have 59 minutes of talk time to use before it becomes a used phone and we will not take it back  .
seriously , i cannot use the language i d like to use to describe the services of jose fernandez and his boss , richard , at the hialeah store , more useless , non    caring , impartial , pathetic people you could not wish to meet  .
i rue the day we ever switched to metro pcs and will be canceling at the endo f this month  .
avoid avoid avoid  .
i have to say i love sprint    but i wish they had a cheaper unlimited talk plan , then my husband would switch to that , but as it is , they are too expensive  .
you get what you pay for  .
metropcs is cheap and 80% of the time does not work  .
i do not know why anybody would want to exist with this kind of service perhaps its all they can afford , but they can go prepaid for the same price and at least get better signal service from one of the 'big guys' the equipment is flimsy and lacks performance i am getting my old verizon equipment out and going back to page plus cellular (uses verizon towers)to at least get a decent reliable signal with tested equipment want to waste $3    400 , give metro a try updated  .
on sep 3 , 2010  .
unlimited plans , especially unl  .
international , is way oversubscribed  .
i is unable to get through after the first month  .
suspiciously appears that the line may be de    prioritized  .
only new customers can get through  .
you still hear a ring tone , but the call never goes through  .
how deivous is that  .
do not be fooled by their ads  .
they should be thoroughly investigated by the fcc  .
enterprise customers will never use them  .
only the schmucks on the street sign up with them , and then you're stuck if you paid for the $200 phone  .
that's why their super cheap intro plans can only be applied for a new account with a new phone purchase  .
buyer beware  .
i work for metropcs not a corporate store but an authorized dealer  .
customers always tell me that in ohter stores besides the one im in that they treat there customers like 5h  .
so i decided to go pay my bill in of the corportate stores as soon as i entered the store theres a huge line and alot of people are mad  .
when it is my turn (which took around 15min) i told them i wanted to pay my bill they told me that they wiont do it because this the employees where busy  .
they where on outside smoking  .
so i tried calling there customer service line for a customer omg they made the customer service so that you wont be able to get to an agent  .
over all im highly dissapointed with them even though i work for them  .
their prices will tempt you to see what they are all about  .
once you see what they are all about , you'll be happy that you stuck with your $70/month plan at at t , t    mobile , or verizon .
so , they have this new phone the samsung freeform  .
around thanksgiving we go there , they are advertising for it like crazy , so we put our name down for one and they promise it'll be in for us in 2 days  .
on the second day we go back ask , they say that they still hadn't received it , very sorry etc  .
etc  .
this is fine , things happen  .
though this repeated itself around3 times , us going in and coming out empty handed  .
i call them on december 11th , and they say that they have 1 left  .
i asked if they could put it on hold for us , and the guy said sure , just make sure to come in 24 hours to pick it up  .
today december 12th we go back to the store , very exicted (new gadgets are always fun  .
) , we go in , we tell the guy we are here to pick the phone up , he looks at us like we're crazy and goes to look for it  .
comes back empty handed  .
asks who we speaked to , and says that the guy should have put it on hold for us call's this other employee up and asks about it , and he tells him that he sold it a few hours before  .
he tells us the news , and we are like what the heck  .
we need a good explanation  .
he says that it is our fault because it has been sitting in the store for 7 days waiting and they need to sell it in 24 hours  .
we told him that we could the day before around 8pm (at that time it is 5pm) , he is like , we ll no you are wrong finally he accepts it is his fault (very snottily a yeah well fine , ok i believe you) , and tells us there is a new order coming in the next day  .
we are we ask him when  .
and he says he doesn't know  .
in the end we decided never to come back , they were far from their 3rd chance to make it up to us , it is like the 6th the bottom line , they have horrible and very offending customer service , maybe that is why there plans are sooo cheap  .
very bad company will never recommend to anyone again , please do not buy from them , you will just run into problems  .
this is in the holland , mi store (northside) if anyone cares to know .
i have numerous accounts with several companies for phone service , my family lines    work line and  .
private lines for emergency use only    as a business owner i cant be bothered when at work period  .
thus my reason for many phones   every line is important to my work , high pace , intense pressure and  .
enough deadlines to bury a person without these crucial lines my work number is with metro pcs    through years of dropped calls and missing texts  .
i did my best and i bought everything they suggested to remedy my problems new chargers , batteries and even standing in places i might have better reception    this is the most  .
ridiculous suggestion by far from the manager of the corporate store  .
no one wants to fix my phone let alone touch it  .
i have all my paperwork    i bought all the extra insurance and warrantys    bottom line    .
even with the receipt an original papers and box in hand    .
standing face to face  .
they claim everything i paid for is expired  .
i asked how can this be    the phone isnt even  .
my purchase of 09 is tampered with changed to 08  .
i qualify for nothing    so they simply say give it to us and purchase a new phone my phone is 8 months young  .
not even a year old  .
i buy the newest of phones to keep up with  .
technology to better produce in my line of work  .
i feel deceived , hoodwinked into spending money i thought  .
would keep taken care of worst of all    .
no place to report these fraudulent people , no number    email    nothing    just a flat  .
waste of $300  .
00 plus dollars for something that failed to properly perform you want advice    .
avoid metro like the plague , these people are crooks     .
you think hey , i need unlimited minutes to be able to do my job right    keep the masses updated and buy into the hype  .
pass  .
you get more trouble then its worth especially if you need inportant information and the call drops  .
your damn phone says it has good reception but still drops call after call    useless  .
nextel is my family phone , 6 years and ive never had an issue  .
if anything whent wrong i is helped  .
for the same amount of years i've been a metro client and noticed a trend in what they call upgrading  .
i feel like the send viruses or something when something is close to expiring just to make you think you need  .
a new phone like i stated in the beginning    .
with high paced jobs , raising a family and having zero time to make any sort of adjustments in schedule  .
how on earth can you compensate lost family time when you're chase'n these crooks to fix defects in  .
a phone  .
or worse    not being able to go cancel or do much of anything because of being so busy its a hard comprimise .
okay  .
i've been w/ metro for a month and a half now  .
i am so ticked and i'm ready to switch providers asap  .
they are soo aggervating  .
i live in a big city near atlanta and i have had dropped calls left and right since i have gotten my phone w/ them and the service  .
i mean what if i have a business call and my customer gets hung up on  .
that is so messed up  .
you do not get what you pay for  .
the internet works when it wants and sending mms messages takes all day  .
i'm going back to page plus  .
they are on the verizon wireless network  .
goodbye metro  .
feels like false adviretisement  .
i have worked in the wireless business for the past 11 years  .
i am very surprised metropcs has made it this far in the game  .
i gave them a shot and activated 2 lines of service  .
well the whole activation experience kept me laughing and scratching my head  .
i had nothing but trouble getting a new line of service activated  .
the 800 # cust service rep kept talking to me like he is a gangster in east la metropcs is an embarrassment to the lone star state  .
first , they lied to me by selling me a phone they told me is new  .
found out it is used next day after shut off due to others non    payment  .
not working properly after 3rd day of owning it  .
dropping calls , rings while actually on phone , heats up after short time  .
brought back to store and refused to repair or exchange after i had purchased insurance on it  .
spoke with regional manager    told me to take it to rhode island to get repaired , and would cost me another $40  .
so disappointed    thought this sounded like a great plan  .
now i am stuck with a used phone that does not work  .
this is a ripoff  .
they could care less about their customers  .
suckkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkiiiiiiing service and phones and company  .
metropcs targets and attracts people who are either strongly adverse to cell phone contractual service or , and most predominantly , whose poor credit gives them no option (prior to boostmobile)  .
as a result , they appear to be completely indifferent about the quality of service they provide i cannot speak to the type of phones offered , but heaven help you if you have trouble with one  .
products are replaced from items in the back room , unboxed  .
i think they take someone else's returned phone and give it to the next person their sms service is also unreliable  .
i am a t    mobile customer and never have issues with sms delivery except to my friends with metropcs service  .
there seems to be no rhyme or reason to the delay in message delivery (other than it always seems to happen to the most important texts)  .
messages have been delayed anywhere from 20 minutes to 12    24 hours  .
while that might meet their contractual obligation , consistent sms delivery delays are basically non    existent with any other service that i know they suck  .
i say , do not go there .
brought a phone took all features includng call fowarding call forwarding didnt work called customer service does not get to the persons tried and tried finally got to one  .
he said service refereshed wait 15 min and try not working  .
called again same answer not working again tired of it went to store some lady came to me after speding 15 min with a guy she says call forwarding only works for local numbers only of that area code only and cannot be forwarded to other areas i told her that i needed that feature even if costs me money  .
she said she cannot do it i told her then take back the phone but she said she cannot take the phone back as i exceeded more than one hour talk time on phone i told please check the call log as all the time i is trying to get customer service she said she does not have a way to checking call log but can check total phone usage time she said that she cannot take back phone  .
i asked her for written note on that as there is nothing in print that she has that says metro pcs cannot do a call forwarding to different area code  .
she asked me to leave the store that is what is in a nutshell my experience with metro pcs  .
i posted a payment have the proof and they suspended my account / and will not give the money back / suspened and account and makes you pay for the service you did not receive  .
then wants you to make a payment again/ i quit the service and wanted my money back because i did not receive and service and they told me that i can not have it back  .
i dont know about you or not / but do you want to pay for something you dont receive  .
they will not even give you the corp office phone no .
NO CELL DROPS(USES VERIZON TOWERS) OVERALL IF YOU TEND TO STAY IN YOUR STATE METROPCS IS A GREAT CHOICE; LOUSY CUSTOMER SERVICE. BUT YOU REALLY DONT NEED TO EVER CALL THEM.AS EVERYTHING IS HANDLED ONLINE AND SINCE ITS UNLIMITED YOU WILL NEVER HAVE "BILLING ISSUES"
ITS NOT SUCH A BAD PRODUCT, THOU THEY NEED TO CHANGE THE PLAN FOR PEOPLE WHO DONT USE IT MUCH.; WELL THIS IS THE WORST CUSTOMER SERVICE EVER. THERE TRAINED TO SAY YES MAME. IM SORRY. BUT THEY DONT HELP YOU. AND YOUR LUCKY IF U CAN GET A REAL PERSON TO TALK TO YOU.
THE ONLY THING I LIKE ABOUT METRO IS THEIR RESONABLE PRICING; MY MESSAGES WANT SEND IT FREEZES UP KYOCERA SUCK. AND SO DID THE MAN WHO DIDNT HELP ME TODAY
Fixed priced plans. No surprise charges.; Phones are NOT portable. Oversubscribed. Overloaded. Under provisioned.. Service, connectivity, stores, tech support, pretty much everything else.
- price doesnt fluctuate. - truly unlimited. - simple handsets; - not a national carrier
Amusing TV ads which lets us laugh at minorities...; Racist outfit. Poor service
same bill, unlimited mintues; phone features disabled (no mp3s), no AIM IM
Convenient, economical; Horrible customer service
plan seems good . no ctracts; phone coverage sucks. phone suck
nothing nothing nothing its full of ****; suuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuucking service
Many plan options, good local coverage,; Choices of Phones are limited
Service is GREAT!. Good coverage; customer support needs some help.
fixed price, no contract, text free, unlimited.; They need some smartphones with big screen for option.
no contract. cheap; you get what you pay for
one flat rait unlimited everything; not that great of reception
ok phone, unlimted minutes; Customer service hangs up on you, bad coverage
Good Price- Sounds good where it can be used; Features don't work, no support, network always down
Unlimited incoming, outgoing, and texting; Type of phones offered
No contract; poor customer service
Unlimited Talk, Data, Text Messaging, etc etc; Severe limitations on what you can do with your phone
The price $50/month includes everything- calls that drop, very sloooow text messaging and voice mail.; Every call drops.
PRICE...PRICE...Few dropped calls..PRICE Free 411; Have to live in a Metro area.. areas have expanded.
Nice looking red Samsung Slider phones. Unlimited minutes/text msgs.; Zero customer service, bad phones that rarely get a signal.
OK, The Phones are awesome and the plans are cool and the best thing is, NO contacts; TROUBLE SENDIN MESSEGES, PHONE BREAKS EASLIY, SHORT BATTERY LIFE!!
Cheap plans...; No real web browsing. worst customer services - if exist. No online mangemnet of your account except bill pay. Very rude store people. Limited coverage
unlimited service everything. no contract no credit check; limited to major cities
Good phones and plans.; The service ends up terrible.
The monthly payment plan but they get you in the end; POOR CUSTOMER SERVICE, bad recepten, bad apps,, bad web browser
Unlimited minutes, flat-fee texting, simple pricing; Plans restricted to local originating area, out-of-area calls are really expensive (10 min. call = at least $4.90!!!!), call quality poor, no live agents
No brainer service, no hidden charges; Service areas limited, charges to make payment, staff education and politeness under par
There are no pros about this service; told most of east cost is covered not true
Low price, reliablility, simplicity, unlimited voice/text/pics/internet; lacking 'flashy' phone selection, and not a single smart phone option.
really poor customer service. its cocisedered ghetto service, called getro! really bad customer service. whe works, it ok.; kyocera is a crappy phone. k.312
Be carefull of positive reveiws, I found the post listed below on Yahoo PCS stock message board. This is most likely an employee trying to rig the poll.; Be carefull of positive reveiws, I found the post listed below on Yahoo PCS stock message board. This is most likely an employee trying to rig the poll.
No Pros- Unless you like to Waste Time, Money and Enjoy Hours of Stress.; Non Existant Customer Service, Fraud and Audacity To Suggest Buying into More Defective Merchandise!
Unlimited For a low Price Without alot of BS; The Choice of Phones and The fact that u can;t access your account online
Inexpensive service, great phone (Code) features, outstanding so far.; None yet, well maybe...battery life seems a little low on the Code. Will just keep car charger and spare home charger handy
nothing nothing nothing; everything new phone had to be changed 3 times dropped calls missed calls works in one room and not in another
easy to navigate and not too difficult; finger navigation is awkward and would love a better speaker phone
calling plan OK; Reception very poor. Customer service sucks. Are forced to pay bill by phone to charge $2.00 for this service. MetroPCS SUCKS!!!!
Unlimited everything. no contract to worry about; customer service is retarded, but where isnt it?
The price only, but does not worth it!; Very limited coverage area, spotty quality, and a HORRIBLE customer service.. The store never answer your call.
A great concept for service.; Not much more then a great concept, the service was horrible and the "customer service" was worse.
The low cost of the plan. Unlimited everything is spectacular.; 1. The service. 2. How slow the internet is (still glad to have it though).
absolutlely nothing!; Cheap phone for $80.00. Didn't work after 3 days. They refused to repair it or let me exchange even after I purchased insurance on it. Poor customer service.
NOTHING!!!; 1) THEY CHARGE YOU MONEY FOR NO REASON!. 2) it takes about 1 minute just for the text to send (with good coverage). 3) it took me time just to get to customer service. 4) slow internet (with good coverage). 5)COSTUMER SERVICE IS BAD!
For $103 per month, my husband and I have unlimited cell phone service; Limited phone selections, customer service sucks
Nothing.............can't name one! They desreve -0 stars!; Terrible Customer service. Misleading ads (Everything for $40 a month and 3G Network). Discontinued phones at outrageous prices. Phoney smartphones. Bad coverage. Upgrade fee....................for a phone that wasn't even an upgrade
Truly unlimited calling and texting for a good price.; Very limited coverage area, spotty quality, and a poor excuse for customer service.
Unlimited Text, Unlimited Picture Text, Unlimited U.S. calling, Unlimited Web for $40 a month. no contract; cheap phones for expensive prices, horrible (2G) service, bad customer service, and everything else
It's not too pricey and let me do all the talking and texting I want.; The plan I payed for did not provide all of the services listed
MP3 player on phone works well.; Literally everything besides the MP3 player. Apps don't work (including address book backup!), drops calls, poor coverage. Customer service is the worst I have ever experienced.
cheap plan. no contract.; no signal where there should be, like Washington DC and Annapolis. TERRIBLE customer service. Faulty phone, call waiting NEVER worked. They would not refund or let us upgrade to new phone. Unable to call sprint from metropcs.
Metro pcs is top of the line quality for sure, you cannot beat the quality in cell phone service.; The cons are rather insignificant.
Good reception. Simple billing. No contract; My experience signing up for service at the MetroPCS store in Hazel Park MI was awful. Network is not quite as seamless as Verizon
nothing i like about this service i dont even care about the cheap bill anymore; i dont like the service anymore and its only my 3rd day using it, i fell like i want to throw this celphone if it wasnt i buy the blackberry!!!!!
The flat rate plan concept for unlimited is use is great.; Limited unreliable coverage. Dropped calls, delayed sms, certain websites are blocked, terrible customer service, slow web access and poor call quality. Blackberry is crippled.
The price is fantastic, wish all cell phone companies can add the fees into a low monthly payment.; Slow network, I just purchased with them. Though, I had to return the phone the very same day.
technical sounding name that disguises a brutally miserable network that is customer unfriendly; Forget about any support, service, or even contacting the company by phone. Yes, you will reach a computer that will challenge you at every step but no human being.
No contract required.; Their customer service on any front--whether in-person, online or by phone--is abysmal. The phone products appear to be below par and forget warranty service; it's non-existent.
I pay 50 dollar for my samsung code with windows mobile love it, i stay in the coverage area so its perfect for me. well i put money on my metro connect when i'm out of area.; They need more smartphone to take the major out of bussiness.. needs more nice phones.
No contract, no surprise charges, tallk, or text all day, and now a family plan for up to 4 phones, for $100. Husband traveled to Texas, and was still going strong. No additional charges to pay...What a deal; Phone selection is limited
The unlimited Everything. My family uses it for every day work they say that they love it they don't have any dropped calls but there are some areas that don't get very good service; Friends say that there are some areas that don't get good service
I'd really like it if they would simply go out of business because they suck.; Wow, only 150 characters to type what I *don't * like about Metro PieCe-of-Sh*t? Aren't you the optimistic one! I wouldn't even give it 1 star, but that's the lowest rating you have. You need a stick of dynamite or pile of cow manure we could use.
Great price on calling plans, but as soon as you walk in the door...; I went to two corporate owned stores in Nevada. Both stores operate exactly the same. As soon as you walk in the door, you'll get the incredibly BAD service from employees and management.
No pros at all now that ATT has unlimited talk and Text for $60.00; Customer service is set up to prevent contacting an agent!
