perfect for taking photos on vacation  .
the subtle upgrades (not major by any standards    realistically) are welcomed , but im not so sure that the price differential for the new unit is worth the extra cost  .

(see review at http  //www  .

dpreview  .

com/) the picture quality is definitely outstanding when outside in well    lit areas , but there are some problems with indoor shots  .

i have adjusted various settings and read the manual extensively , but still the problem persists with indoor low    lighting shots  .

the other major issue in my opinion stems from the fact that the straight edges of objects at the telephoto end of the spectrum tend to be wavy in pictures  .

this is not an issue with the s2 is based on experimentation with both units  .

at full zoom , i took shots of a vehicle license plate , and the edges of the plate were very wavy (almost distorted in appearance) on the s3 is version but perfectly straight on the s2 is version  .

similarly , i took a zoomed shot of a street sign and the same issue is pronounced when considering the s3 is unit  .

i contacted canon regarding this issue  .

the representative asked me to turn of the is and take the shots again using a tripod which i did for both the license plate and the street sign  .

the same wavy    line anomaly manifested in the s3 is pictures  .

i called canon to discuss this issue , and i is told that there would probably be a firmware upgrade to deal with this issue  .

as of the date of this writing (08    18    2006) , no firmware upgrade has been announced  .

if anyone reading this review doubts the validity of the information shared in this review , i implore you to conduct your own tests to confirm the problem with the s3 is  .

irrespective of this unfortunate glitch with the unit at the telephoto end of the lens , the s3 is produces excellent pictures in well    lit areas  .

so , if youre using the unit outside and in well    lit areas for the most part and not really using the zoom capability , then youll love this camera  .

on the contrary , if youre going to be taking many zoom or low    light shots , then youre going to be a bit disappointed  .

regardless of these issues (which will hopefully be addressed in a firmware upgrade by canon) , i would have to recommended the camera for purchase based on my own experiences with getting high    quality images  .

the colors are on the mark , the sharpness of the images are on the mark , and there are no noticeable problems with fringing or softness on the edges of images  .

in closing , i would like to state that i do not feel this unit is worth the extra cost given that the s2 is produces equivalent images on all points aforementioned  .

best of luck to all in your search for a good camera , and i hope that this review proves beneficial in your decision    making process regarding the canon s3 is .

canon's entire line of s_ is series cameras were by no means low cost cameras  .

inexplicably , they do not have a date/time stamp option  .

this is very annoying as i used to use this feature all the time on a kodak camera i bought about 5 years ago  .

why do higher end cameras like these lack such a basic feature found in very inexpensive cameras  .

does anyone know why  .

canon salespeople have no explanation  .

i have owned an s1 is for nearly two years , and is always pleased with it  .

naturally i thought that the s3 would be a quantam leap above the s1  .

i is going from a 3  .

1mp 10x optical to a 6mp 12x , not to mention all the other improvements and modifications  .

the first day i owned the s3 i took over 200 photos  .

i had run up 6902 pictures total on my old canon  .

i had expected a massive increase in picture quality with this new model , but what i got is something far more modest  .

i developed 30 of the new photos , and saw no visible difference between these and my dinosaur 3  .

1mp  .

i thought it is just me , so i asked for a second and third opinion  .

i took in the new photos , and stacked them alongside the old to show some co    workers  .

from two different people , i recieved the opinion that there is virtually no difference  .

they were only able to succesfully pick out the photos from the new camera 8 out of 25 times  .

i should note that these photos were the same tpye (landscape) and taken under the same conditions as the ancient s1 other than the seemingly lack of image quality improvement , the camera is obviously far ahead of the s1  .

the stabilization seems better , the movie mode is much easier to use , the grip is easier to handle , the media used is better (the old s1 used cf) , and obviously the mp have doubled since the dino camera s1  .

when i look at the s1 now , i am actually wondering if i needed to upgrade my camera  .

it is a fine camera for it's day , and still is if i compare the s3 1s to other cameras in this price range , i would have to say it is better feature for feature  .

i considered the new sony h5 , but have read there is no continuious shooting mode and only 24x total zoom  .

other cameras have similar shortcomings and so the canon wins in the category of a new mega    zoom point and shoot .

i know i'm going to receive ridiculous comments from those of you who are canon apologists (and employees) , criticizing this review so save your breath  .

this is my third canon camera (owned two digital elphs before  .

i also own the canon mp810 printer (which is fantastic) so i do believe in the canon brand  .

i'm not a professional photog but more of a hobbiest so wanted to buy something that could take quality photos to hang up in my apartment  .

i decided to upgrade to what i thought is a prosumer camera but is very disappointed in the s3  .

for the $400 dollar price and 6 megapixel specs , i expected the photos to be crystal clear  .

anything but  .

the camera has problems focusing correctly in indoor situations where there are multiple lighting conditions (e  .

grand central station in nyc)  .

the flash is little help past 5 meters  .

the night shots are atrocious  .

even at the highest iso , there's a tremendous amount of noise  .

example    i took 150 pics of a lake scene just after dusk to capture a small amount of natural sunlight at various settings  .

none of these photos were usable because of the digital noise  .

the 2 inch lcd is of little use in the field to pick up the noise and any flaws in your shots  .

many of my pics look great in the lcd until i get home and download them to my 20 inch lcd where the defects are apparent  .

my digital elph 450 actually takes crisper , and more natural looking shots  .

is a big fan of the canon brand but very disappointed in this product .

we own two powershot s3 is cameras which were purchased late in 2006 (one we purchased and one we received as a gift)  .

one month ago the lens on one of the cameras jammed while retracting  .

yesterday , the lens on the other camera jammed  .

neither camera had been abused in any way this is apparently a fairly common problem it is unfortunate because we had been generally pleased about the performance of the s3 is model prior to the failures  .

the camera has excellent picture quality and we were also pleasantly surpised by its video capabilities  .

the camera also has enough advanced features to keep a serious hobbyist fully engaged  .

in other words , it is a camera that one could grow into , without having to spring for a digital slr the only real cons to the camera , other than the serious defect described above , is its somewhat slow shutter speed (we have an 19 month old and miss quite a few pictures while waiting for the camera to take the picture after the trigger is depressed)  .

also , if you are looking for a simple point and shoot camera , the s3 is may prove to be too bulky and weighty for your needs .

i like the camera but indoor shots are very important to me  .

they seems to either slightly blurry or the color seems just a bit off  .

in september i upgraded from my olympus c4000 which takes awesome indoor shots  .

if anyone has suggestions i'm open to them otherwise i'm thinking of purchasing a used panasonic fz5 to use for indoors .

i use this along with my nikon d40  .

that camera is great , but the lenses are prohibitive , so i purchased the canon for long shots  .

between the two i have everything i could want .

i is an owner of the canon s    2 and from what i can gather the s    3 is the s    2 in black with a larger screen  .

i found the s    2 to have all the bells and whistles , but the camera let me down when it counted    focusing and quality of image  .

the s    2 is not my first digi    cam and i have been involved in amateur photography for most of my life  .

prior to the s    2 , i had a konica minolta z2 , and prior to that the s    2 failed in auto    focus in hazy condition  .

a three day trip down the yangtze required me to use manual focus for nearly 90% of the images  .

the canon would just search and never find the focus  .

the quality of the images also were not nearly as crisp as with the older z2  .

they were down right soft  .

i ditched the s    2 on ebay and bought the sony h    5 canon spent too much effort on the video mode , sacrificing the basics of the camera .

owning the s2 almost a year now it just jammed 2 weeks ago for not specific reason    being hit/dropped etc  .

look up e18 errors on all canon units here    .

http  //e18  .

bitnet  .

cx/comments  .

php  .

then consider if this great camera is worth the chance  .

i think i am looking at sony  .

believe it or not , this camera will not print the date on the picture  .

i used this camera for couple of months here are my observations 1  .

fast focus lense 2  .

fast operation  .

cheap construction  .

poor grainy pictures  .

blurry , outof focus pictures 6  .

battery compartment cover is really cheap  .

almost unusable (even with flash) in low light situations i finnaly sold it on ebay and bought the panasonic dmcfz50k which is much better digicam this just my humble opinion  .

i am sure there are people who will disagree with me .

i bought the s2is three months ago , near christmas , as it is coming down in price  .

i could smell something is coming up but being a rational consumer , it is a good buy since it is far less expensive than when it first came out  .

at that time , i knew that there is nothing better than the s2is and i is right i find that to use the full features of any camera , memory is the most important thing you will need  .

i have taken top notch pictures that are nearly 3mb with the s2is so you can do the math  .

unless if you have a large budget for extra memory (even possibly needing faster memory cards) for the 60fps video , and the extra mp this camera provides for a little nudge in resolution , it would be a waste of money  .

if you like shooting widescreen movies , an extra 0  .

2 larger screen and additional shooting features (which could be reproduced in photoshop) , this is more ideal for you  .

higher iso speed is handy but to me not a priority as i said , being a rational consumer at this point , i would consider what the utility of a few extra features are for an extra $100 to $150 dollars and taxes  .

this camera has not caught my attention as the s2is first did when compared to the s1is .

so those who have a s1is wish they had waited for the s2is and now those who bought an s2is wish they had waited for the s3is  .

very small improvements basically the same money  .

i do love my s2is but i'm really hoping that with this black body on the s3 that canon is now making their converters in silver instead of last years black  .

cannot you just imagine that the creative folk at canon will make next years s4is with 12x zoom , 7 megapixels , and 1000 iso  .

i wonder what would be wrong with getting it right the first time and sticking with it  .

ohhhh that's right , marketing i almost forgot updated  .

on nov 10 , 2010  .

i found this camera to be a waste of money and replaced it after 12 months use  .

the camera suffers from an identity crisis , not good enough to be a dslr replacement and not compact enough to be convenient  .

i am an experienced photographer and thought this might be a useful addition to my kit  .

now i struggle to find a use for it as it does nothing exceptionally well  .

the camera is not for people with sizeable hands , buttons and knobs are tricky to operate quickly and badly placed  .

using the zoom is a major pain as you cannot zoom and keep your finger in the shutter release at the same time so often you miss the shot  .

the lens cap is just ridiculous and falls off frequently  .

image quality is ok but autofocus performance is poor  .

build quality is not good , drop this camera and the soft plastic will scratch , crack or break , overall the camera just does not feel like its been assembled to high standards  .

i have owned 8 different canon's over the years from compacts to slr's and am frequently left dissapointed by them , this will be my last .

i urge you to do research on canon cameras before you purchase  .

had i known the vast number of people complaining about them , i would have never bought this  .

currently mine is being sent back , yet again to canon  .

they have had so much trouble and outcry with their lenses , there is even an e18 error website www  .

e18error  .

com  .

e18 is the error code that pops up when the lens cannot extend or retract  .

in closing buy a fuji  .

i had a 2 mega pixel camera that made descent 8 x 10 enlargements  .

i wanted something that would give me 20 x30 enlargements , roughly 3 times 8 x 10  .

so i went with a 6 mega pixel camera  .

at almost 80% of 11 x14 (about 9 x12  .

5 ) it did not do the main thing i wanted it to do  .

make my best pictures enlargeable (if that is a word) i'm sorry to say i will be returning it tomorrow it just seems odd that you can do no better than 80% or what they tell you , you should expect .

i'm very upset that my camera broke within one week  .

i went to turn it on one evening and nothing happened  .

i tried new batteries designed for high power devices like canon recommened and still nothing  .

now i have to send back my new camera , my new batteries and my new battery charger  .

they'll have it for about 2    3 weeks  .

i'm not happy that i paid all that money and i'm having to send it in to get fixed already .

i think you are very biased toward canon products    makes me wonder if some kind of insentives are not involved from canon  .

s3is   small bump in megapixels , no increase in zoom  .

6 megapixels is an improvement over 5 , but not a huge jump  .

if there is no g 6 or pro 1 successor which now seems to be the case , the s3 is seems like that it would take over as the flagship of the point and shoots  .

i is expecting 7 megapixels  .

granted 12x optical zoom is a lot , but 14x or 15x doesnt seem an unreasonable upgrade  .

iso 800 is nice , but this has been in other models for 2 years  .

hardly on the cutting edge .

what can i say , i got this as a mid step between my normal 7mp point and shoot camera and a digital slr  .

i read the reviews and thought this would be a good choice  .

my intent is to start posting pictures for stock photo sites but so far i have had nothing but problems getting the quality of picture that i need to post  .

what i should of done is left this on the shelf and gotten the rebel xti  .

the s3is lacks manual controls , and talk about visual noise in the pictures , even in daylight this camera can not get rid of the noise at the highest quality setting even shooting at 100 iso  .

i did pick up almost every add on for this camera as i really wanted to use it  .

turns out that it is a waste of money  .

this camera should of been posted with a warning that it won't take a good quality picture  .

i have a panasonic 7mp that takes better quality pictures than this and it's a standard point and shoot  .

if you are thinking of getting this or the s5is as a middle stepping stone camera do not  .

just spend the extra and get the rebel xti  .

otherwise there are a multitude of point and shoot cameras that will do a better job for you .

i spent a lot of time searching for the right camera , and the s3 is seemed to have it all  .

i read shining upon shining review , but did not do a google search for specific s3 is defects , problems , etc  .

big mistake  .

i is blinded by all the reviews and kudos i is reading i ordered the s3 from amazon and the problems began as soon as i took it out of the box  .

there is something loose and moving around inside the camera , i went online and saw that several other s3 owners had the exact same problem i put the batteries in to test the camera , and it seemed to be working okay , until i transferred some test images to my pc  .

i have been taking photos for 20+ years and i do not take crooked shots    some of the pictures were without doubt slanted to the left  .

i googled and found other s3 owners complaining of the same problem , which seems to be a factory defect    the ccd is misaligned next problem i found is terrible color fringing , also known as chromatic aberration  .

in areas where there is light/dark contrast , violet and green lines were seen along the entire length other issues i noticed about the s3 and read about from owners    .

focus problems , bad low light abilities , clicking sounds from the lens , mushy buttons , barrel distortion , redeye , plastic tripod mount , 1gb movie limit regardless of memory card size , and a cheap lens cap that can come off too easily  .

some users used their s3 to take dozens of pictures , and had memory card errors wipe out all their photos ; this is not due to faulty memory cards i'm not a professional photographer , and did not buy the s3 expecting professional quality photos    but these are problems one might expect to encounter with a $99 camera , not a $300+ model , and not from a trusted canon the name canon always meant quality to me  .

unfortunately things have changed and companies are cutting back on their build quality and quality control to cut costs  .

because of this brands that used to be the best , are now pumping out some of the worst products ever some s3 owners have no complaints , it seems you have to get lucky , if i want to gamble i'll go to vegas  .

it's frustrating that i now have to go and find another comparable camera to replace the s3  .

one owner told of his journey to several stores to test different s3's  .

in over a dozen tests , only one of them had none of these issues although i love the features , and got a few decent shots with it , i cannot accept all the faults  .

i have packed the camera up and am shipping it back to amazon for a refund hope this helps you in getting the right camera , the first time .

this is my first digital camera purchase and the results were not good i searched the reviews and did my homework before making a decision to purchase the canon s3is  .

based on the feature set and what i read online i decided that the s3is is the camera to buy i took the camera to my daughters soccer game to try it out for the first time and shot well over 80 pictures at the game  .

everything seemed to be working fine and i is impressed with the camera's zoom capabilities , image stabilization and it's ability to capture action shots the next time i got ready to use the camera a memory card error message came up on the screen and it never worked past that point  .

i replaced the 1gb memory card i had in the camera with the memory card that came with the camera and still received the same memory card error when the memory card fails you loose all of the pictures stored on the card  .

fortunately all of my pics had been downloaded to my computer after the soccer game i did a google search on the canon memory card error to see if others were experiencing the same problem and there are plenty of other unhappy customers that have experienced the same problem with various canon cameras  .

according to what i have read online canon is aware of the problem but their customer service is terrible  .

just because they are aware of a problem doesn't mean they will do the right thing if you have a problem with a camera you have owned for a while  .

if you buy this camera get it from a reputable dealer and get an extended warranty that will replace the camera if it fails  .

i purchased a 3 year replacement warranty butterfly photo customer service has been excellent and they had no problem replacing the camera  .

i did have to pay $25  .

00 to ship the camera back to butterfly in order to get a new camera back in time for halloween after reading about the canon cameras and memory card failures online i requested that butterfly send me the new kodak p712 instead of the canon s3is but they do not stock the kodak p712 at this time  .

the new p712 has very similar features and capapbilities to the s3is and it's getting decent reviews i will see how the repalcement s3is works out but i am skeptical at this point and loosing pictures due to mfg issues is not something i wish to deal with .

glowing reviews convinced me this is the best buy   a week away in a game reserve produced nothing but disappointing pictures  .

colours were erratic and often over exposed ; images were blurred even with image stabiliser and the camera had difficulty focussing on the subject  .

the menus proved involved and overly complicated which is an added frustration but despite changing settings our pictures continued to be mediocre  .

compared to our previous kodak dx 6490 this camera is an expensive joke  .

the quality of the pictures is that of a cheap digital camera and this camera is anything but cheap  .

batteries were used up very fast and the lens seemed to be of a v poor quality  .

i is so thankful that i is finally able to take this camera back and purchase the sony h5 which is a brilliant choice  .

rating    two , becaus it's just a marketing hole filler , not visibly better (i tested it) than s2 is  .

as a photo camera s3 brought nothing you couldn'd already find since at least half    an    year in the stores  .

picture quality , stabilizer , sensitivity are rather mediocre comared to sony and panasonic  .

lumix fz7 is as good as the s3 but chaper , lumix fz30 is slightly more expensive but significanly better .

we bought this canon powershot s3 is camera due to your review  .

we could not see clearly in either the display or the peep sight to see the subject we were shooting  .

on computer , it shows an exellent pic , but we were guessing as to where we were shooting  .

returned and were sent another and same problem  .

we must be getting too old to see  .

i is hoping for a bigger screen with more megapixels  .

greens do not look natural but more importantly this model only makes modest gains over the previous model  .

when you look at the competition and they have 3 inch screens with 7  .

2 mp and 1000 iso , it will make you wonder if you actually got the best on the market  .

the sony h5 is a noticeable better product and canon is trying to rest on its laurels .

