better for powerful machines  .
for the use of common applications (office , photoshop , corel and so on) , that'll do fine  .

be careful what you install and make sure that the software is compatible with vista  .

i checked on this website   http  //www  .

iexbeta  .

com/wiki/index  .

php/windows_vista_software_compatibility_list  .

do the same for your hardware and you will not be dissappointed   http  //www  .

iexbeta  .

com/wiki/index  .

php/windows_vista_build_5270_hardware_compatibility_list  .

further more   little changes  .

if you buy a new computer , go ahead  .

if you wanna upgrade on your old computer , make sure he's capable  .

finally   i can agree with the editors review .

the hd spin issue might just be the nature of the best , runs well on combo of both as a user that has going from dos 3  .

1 to vista i have to admit this is the least tropublesome windows upgrade i've ever experienced i'm still playing with it so i'm not yet able to judge all of it's features .

it still has a few bugs but to beleive these poor reviews is like beleiving the 5 star reviews on avg free you find at download  .

com  .

those that tell you nothing about the app at all  .

as to this os , if you have the hardware or are buyiong a new computer , get used to it  .

it's the way of the future  .

take the time to learn it before you try telling the rest of us how bad it is or not to bother  .

those comments were obviously posted by fools , dummys or the poor people who cannot afford to do vista  .

for the less fortunate financially , i feel for you and agree  .

for the rest , get a grip and move on  .

this os is a little slower then a fully tweaked xp system with the same recources  .

i hate that it is , but i'm going to live with it  .

why  .

like i've already said , it's the future and it's time to move on  .

more apps then you think are compatable  .

this os is pretty fast , better graphicaly , smarter and more secure , period  .

get used to it or go with a mac or linux system  .

there you will see how much software has to be replaced  .

it's not perfect but it's only been out for 6 months or so  .

by this time next year , i'd expect to see many revised reviews that were initially poor .

at first glance my thoughts were hell no  .

i bagged it out of the box and decided that tomorrow , id install microsoft xp pro  .

by the time tomorrow got here i is sold  .

this operating system starts fast  .

although getting to the desktop is a little slower , once there it flies  .

it shuts down fast and works great once i got it tweaked and tuned up  .

my biggest surprise is that all the apps i decided to use before my new computer arrived , worked like i hoped they would with one exception , media monkey  .

i spent some time researching compatible apps , so i had a good idea about what would and wouldnt work  .

to my surprise , some apps that werent supposed to work with vista , work just fine my screensaver , marine aquarium 2  .

6 + time installed and works perfectly  .

my one problem is in finding a compatible , free music  .

player other then windows media player  .

although not a popular app , the free yahoo music jukebox is my answer  .

supposedly , the plus version of the player is the only version working with vista  .

but yahoo fibbed in an attempt to sell the plus version  .

lol  .

, imagine that  .

the free player works fine  .

this decision is made after my favorite player , media monkey wouldnt work and the new alpha version of this player grabbed only about 25% of my music installed  .

another favorite of mine , srs audio sandbox works too  .

but the interfaces beating jukebox look doesnt show  .

i can live with that microsoft office 2003 went in without a glitch  .

but i did have to call microsoft to activate the product for the first time ever  .

it is a purchased version , so i is surprised at having to call microsoft all the security apps i decided on work perfectly  .

these include trend micro internet security 2007  .

counter spy and spyware terminator  .

my download manager , adobe acrobat 7 pro andautocad 2007 all work great too  .

my tune    up apps , which include tune    up utilities 2007 and ashampoo win optimizer 4  .

35 (which i use as a disk defrag) , both work like a charm this operating system is much smarter then windows xp  .

the  .

security center is one example  .

it knows if my security apps are up  .

to date and working as they should  .

it just has too many new features to  .

mention them all  .

the system required about two dozen updates total with  .

ms office , instead of ninety plus for xp  .

it looks better , feels better and is  .

as fast as xp has ever been  .

of course , thats not to mention that it requires  .

a better , more powerful computer to run  .

the processor and video card  .

need to be better  .

the bios needs an update for vista  .

older computers just dont have the hardware needed to run vista   .

hardware just needs to be better then whats needed for an xp system  .

hell , i guess microsoft and the computer manufacturers are all making out like bandits with this new os but i like it their is only things wrong with the new vista os  .

one , too many software vendors are still lagging behind in development  .

two , too many pc users hav not got the brains or patients to figure it out and tweak it  .

i got this mostly because my xp system is starting to run slow , and i thought that if i is going to reinstall everything i would do it the right way  .

i like how everything look , it's very smooth looking  .

the requirements are not nearly as high as most people say  .

i bought my computer at the end of 2005 for around $500 , and vista runs great even with aero glass on .

after 13 hours of phone calls , searching for older versions of windows , and changing my raid array from dynamic to basic it's finally installed  .

now the installation of the os is quick , don't get me wrong , but the lack of support for dynamic disks is what held me up for a while  .

the tech support agent i talked to had no idea how to convert the array from dynamic to basic without data loss , but he is still somewhat helpful  .

it was not until after i re    installed win xp that i found an answer  .

microsoft support tools and thelazyadmin  .

com helped me  .

for others in this situation , check out thelazyadmin  .

com for information on this issue  .

i am suprised that ms has not addressed this yet .

overall , vista is what xp should have been  .

its very stable , fast , has no trouble running all my old hardware (including an epson printer manufactured in 1998 , visioneer scanner from 1999 , etc  .

screen resolution cannot be set for each user just like in xp (win98 did not have this problem) , and getting from point a to point b in customizing visuals and program behavior sometimes requires going from point a to b , c , d , e , f , and g before going back to b  .

but once you've used it for any length of time , you'll think xp is from the stone age .

rejection to mac patronizers    .

with vista , sure , there's some features that you can say are copied straight from mac , but why not  .

would you rather not have those good features in a new os  .

don't be stupid  .

just appreciate that it's there also , ppl are complaining that it's a resource    demanding os  .

pcs cost hundreds , if not thousands , less than macs  .

if you buy a new computer with plenty of ram , processing power , and a good video card chances are that you will still save money as opposed to spending money on an excessively high priced mac the simple/efficient taskbar , the separate windows with independent menus , the plethora of programs that function on micrsoft oss ppl are forgetting about the things that make microsoft oss better than macs because the benefits are so simple , and we've adapted to the utter simplicity of windows so , if you want a cool little breathing led light (because you're so easily amused) buy a mac if you want a backlit keyboard (because you cannot buy yourself a darn light) buy a mac if you want a touchpad that can do special wand    like shortcuts (because you don't realize that you can get keyboards and mice that have much    easier shortcuts) buy a mac if you cannot handle crashes that are usually caused by your own error (because you're not responsible enough to backup your own important information , and you do not really understand what you're doing on a computer) buy a mac                                               .

if not , get windows macs are idiot    friendly  .

windows has a minimum requirement that is not listed on the box   intelligence .

overall a very satisfactory experience thus far    have only been using vista os which came installed in my hp pc    for a week now but so far so good  .

it would be nice to have web publishing and word software as part of the  .

vista os as documents written using the microsoft works software cannot be opened (when sent as e    mail attachments) by operating systems that do not have  .

that particular program  .

no major complaints and only minor glitches  .

that have been easily resolved .

overall a good product  .

i understand the need for greater security , but i am the only user and anytime i do anything major , i have to remind it that i am the systems administrator i really like the voice recognition software  .

while it still is very basic in nature , i hope microsoft continues to improve it many people bash microsoft , but when you are the big dog , you got to get off the porch  .

the developers do not seem to be spending a lot of time on the porch .

i recently bought a new computer that cam with windows vista home premium pre    installed and i really like it  .

for media such as pictures and music it is great  .

with integrated apps for download pictures and home movies , as well as media center to play them back with , this os is quite functional without any additional software  .

the new aero look is just great  .

also windows sidebar is cool , but there aren't a lot of good gadgets yet  .

the files are organized slightly different and a simply named (ie computer instead of my computer )  .

instant search is great and you don't need it on the desktop  .

if you press the window key and type and you're doing a search  .

the search in the explorer window also only searches the open directory  .

which is nice (as long as you know that is what it is doing)  .

also with vista you can use a usb thumbdrive kind of like additional ram  .

if you plug in a thumb drive windows will give you the option of using it to make the computer run faster i wouldn't really recommend anyone upgrading to vista right away if they're happy with xp  .

the reason is that vista is not extremely different  .

also there would probably be some problems installing certain hardware or software  .

not everything is vista compatible , but this should be remedied over time , for the most part  .

i like how vista is arranged , but if you have xp ground into your brain you might be annoyed by some of the slight differences  .

the uac can be annoying , but is not as bad as everyone makes it seem overall , i love vista for what it is  .

it is cool looking and fun  .

it doesn't give you major reasons to upgrade though  .

i'd would definitely recommend it for a new pc purchase , but do not upgrade unless you have good reason .

i already bought vista and it is awesome , i would just recommend people to hold off on buying it due to unforseen security issues that might arise .

i think that vista is a very good buy , especially the academic version if possible , 70$$  .

its not a piece of software that you should rush out and buy unless your into the latest and greatest hardware/software like me , just because there is no huge difference from xp  .

just little helpful stuff  .

also many people say there are to many versions , even cnet themselves said that  .

oh cmon guys there are only 4 versions  .

its not rocket science ; spend like 10 minutes doing a little research then download vista upgrade advisior and you should have a very good idea of what you want .

i really like this new operating system .

after sleeping on it since jan 30 , i finally purchased windows vista home premium  .

installation is troublesome first i did an upgrade over xp sp2 , which resulted in slow performance (i knew this would happen)  .

as soon as i noticed i popped in the dvd again and clean installed vista , which resulted in smooth performance ever since the first boot  .

i have used it for about 3 days (to the max) and i've got to say i'm very pleased  .

i run a brand new laptop (with amd turion , ati radeon graphics) , that suffered from one poor hour of battery life on xp  .

as i am writing this , i have the system set on power saver mode (part of the windows mobility center) and its about to be 3 hrs since i've been sitting at a wi    fi cafe , with a 35% of battery life still to go  .

the aero experience is refreshing ; its a nice change from luna , that's for sure similarities with mac osx are obvious at first boot ; the default wallpaper reminded me instantly of the aqua wallpaper , with the exception of the color , which is green/yellowish on vista  .

buried within the control panel is speech recognition , a feature i found incredibly useful and will definitely take advantage of when doing those long essays for college  .

stability  .

solid as a rock  .

security  .

so far it seems worlds better from xp ; every change to a system setting is monitored and must be confirmed by the user before applying it ; windows update has greatly improved (on first boot after clean install , audio driver is missing , and upon my first connection to the internet , windows update instantly showed me the driver for download)  .

to wrap this up microsoft seems to have done a good job so far  .

let's hope we do not have to suffer from years to come of endless critical updates to cover vulnerabilities like those found in xp .

i just got my new laptop with included windows vista home premium  .

it's great software for organizing all your documents , pictures , videos , and pretty much everything else the one thing that really gets on my nerves is how at least half of the tasks i do requires my permission to proceed  .

and on half of those permission requests there is no box to check telling it that it's okay to complete this certain task  .

therefore everytime you do that , it will ask you again this is unsecure , do you wish to continue  .

other than that it's amazing software for neatly organizing all your things .

how can i label both summary , pros and cons all the same way with this os  .

it's because it brings a lot of great stuff to the table and it's a blast to use , and the new media center is simply amazing  .

however , not everything is without a hitch , but that should change fairly soon  .

already i've seen a few things that did not work with pre    release versions of vista fixed  .

it's definitely not the slam dunk that windows xp is when it first came out , but nonetheless , it's worth it .

very very good os  .

a very nice interface , you will never want to go back to the xp interface  .

i have intel core 2 duo , and  .

99 gb of ram , and i is surprised at how fast it is the first time i used it  .

the only thing that takes time to catch up is the search , the first time you use it , it is slow  .

but eventually it gets very fast  .

the only bad things are the slightly annoying security pop ups that need your attention before you do some things , but it's all for your security , and if that's what it takes to keep my computer from getting infected , i'll deal with it  .

compatibilty issues are another problem , when i installed it i had no sound and it did not recognize my sound device (i have a laptop so the speakers are built in) , but microsoft is very helpful in getting them up and working again  .

the one thing i hate is that windows vista is compatible with only some of the major malwarae providers , i had mcafee , a very common security program , and when i installed it before knowing that visa is only compatible with some providers , my computer messed up and i had to boot it in safe mode and uninstall it , then everything is fine  .

so don't worry if you don't have a security program that's compatible , windows one care lets you have a free 90 day trial and you can download it anytime so you do not have to run out and buy one  .

once care is very easy to use and keeps your computer in tip top shape  .

other than that , windows vista is a very fine os  .

you will never want to go back .

after installing vista home premium on my pc , i found it to perform better all around then xp (even networks speeds increased)  .

i recommend vista to any pc/windows user , not only because it looks better , but because the performance and features it offers are great as a video editor , i work with the mac os x software all the time at work  .

i can say that vista is almost a duplicated version of os x  .

which is excellent , because os x is awesome  .

however       microsoft could of been more original within their 5 years of development  .

no doubt that vista should of been better then what it is , but it is still very good and a huge improvement over xp .

i am nicely surprised about new windows vista release (i use home premium)  .

at first i is very skeptical about it but after two days of using it i'm starting to like it more and more  .

be sure that during your windows installation , all external devices are unplugged  .

this could cause the problems with your install most of the drivers (general equipment from known manufacturers) are included in vista release so i did't need any extra upgrades except really specific equipment like thermal ups printer (old xp driver worked fine) some people say yeah it is copy of osx well maybe there is a lot of simmilarities in functionality but iven if it is i'm glad that we have this functionality  .

i always liked it in the apple but i never decided to move with mac because lack of specific software (application i use are not released for apple)  .

world is not only about email and internet and software makers are not eagor to build applications for ~4% computer market share  .

well gadgets    widgets doesn't matter as soon as customer is happy and yes i'm happy  .

vista gave me one more reason to not to think about apple gui now it is time to talk about things i don ; t like about vista user account control (uac)  .

i know that microsoft is trying to secure winsows as much as they can but this could create some problems for end user if they don't know what is going on  .

lets share some details about what i'm talking about  .

i tried to install corel software and vista gave me info that my privilages are not enough (i is on administrative account)  .

after some research i found out that administrative account is not really administrative due to uac limitations  .

so i need to this extra protection during install to allow corel to write into registry  .

i waonder why microsoft did not published any message on teh box or web that thing like that could happen during installation  .

it is not a big deal if you are familiar with computers but some users could be lets say    not happy  .

another thing i don't like is price  .

$200+ for home premium edition is kind of steep especially that i had last xp version but i wanted to do clean install  .

i think that microsoft should update their pricing scheme for the futur and offer full version for previous system owners after few days of working with vista i am really happy about thsi release  .

i did clean install and reinstalled all my apps witout major problems (except corel    stated above) and everything is working fine  .

i even use speech recognition to write this review  .

no typing and speaking about speech recognition , even if this feature takes time to learn and does not work 100% yet but it is definitely a future for any platform .

all i expect of an operating system is stability , speed , and efficient utilization of system resources  .

along with that it is reasonable to expect a secure operating environment  .

on the first two counts i am absolutely convinced that vista exceeds xp by a wide margin  .

only time will tell if vista truly is a more secure os than xp , but we certainly have a right to expect it to be  .

i wish microsoft would forget the bells and whistles they throw in as window dressing and stick to the basics , but in terms of the basics , this is by far the most stable operating system yet  .

keep in mind that mac fans have been thumbing their noses at pc users for years over stability and i do believe the playing field has been leveled with the introduction of vista  .

with that said , an upgrade to vista with a budget system is a recipe for disappointment or worse  .

if you're at the low end of the scale in terms of microsoft's benchmarks for cpu , system memory , and graphics capability , do not take the plunge  .

unless your old system just cannot hack it any more , stick with xp until you're ready to buy a new computer  .

if you have a powerful processor , plenty or ram , and a good graphics card this is a good next step with the caveat that the improvement is incremental and not revolutionary at a price that seems a bit high .

well i purchased an upgrade copy of this for my acer ferrari 4006wmli (with 2gb ram) which had xp professional x64 edition  .

i is tired of the lack of support in the 64bit os so i installed the 32bit version of vista (64bit copy is free if you purchase vista) so i could avoid all the problems and hopefully start using things like my ipod again (apple never released 64bit drivers)  .

the installation took a bit more effort than i thought it would (in part because of the 64 to 32bit change but also due to having to restructure my hard drives  .

once in stalled (a few hours later) i is very pleased with how seemless the operation went from there on  .

it appears to have been a wise update .

i don't know much about the operating system to make an accurate judgment  .

just what i've seen from technicians and the microsoft site  .

i just thought i'd let you all know to please not judge the operating system merely to the fact you don't know how to use it the mad thing is , you're all judging it and it's not even come out properly yet  .

i'm targeting those people who keep putting abysmals here  .

is there any proof that microsoft are putting additional spyware programs  .

or is that just your idea for putting microsoft off  .

also , windows pinching macs ideas ; what if it is windows customers that thought that mac had a good idea here , and decided they wanted microsoft to do the same thing  .

same goes vice    versa  .

ms comes up with a great idea and mac decides to copy it my conclusion is   please do not judge or make snide comments about the operating system until you've got a full feeling of it thanks for reading .

a quick read of many of the reviews here shows that it is impossible for a microsoft product to get a fair judgement from many  .

microsoft bashing is both fashionable and hip  .

folks that bash microsoft think they are sophisticated (especially true with journalists)  .

the same folks who gush over minor firefox upgrades bash microsoft at every turn  .

(i read one review that rated firefox superior to ie 7 because of the placement of the forwward/back buttons    does anyone really care  .

) asking for an open public rating of microsoft is a bit like asking the general public to rate george steinbrenner and the new york yankees  .

the vocal bashers will crawl out of the woodwork it's simply human nature to hate the haves  .

have a nice day everyone  .

vista is great  .

it's the best version of windows yet , and having both macs and pc , it's simply not that different from the mac os  .

this will drive the apple supporters nuts , but feature for feature , it's really not  .

yes , microsoft stole many great ideas from the mac os , and apple is planning to steal a couple from vista , but it's not like we're comparing dos to windows  .

it's one graphical os vs  .

another my feeling is that no one with vista will lovingly gaze into a mac and wish they had one , and no one with a mac would have any reason to consider vista  .

microsoft got it just close enough to close the ui gap , and arguable , vista has more features and certainly supports a much wider variety of software than the mac , for those actually bothering to look beyond the ui as to those who are not going to upgrade because xp is just what they need   vista is microsoft's future  .

people wrote the same letters when xp came out because windows 2000 is perfect and xp is this incremental and unnecessary upgrade  .

now it's the gold standard for windows well , the same letters are now reappearing regarding vista  .

yet a year , perhaps two years from now everyone will be on vista and it will be the new gold standard  .

vista is the future , there is no alternative in the windows world we might as well welcome vista and learn to love it , because it's not going away .

although it took a long time for this release to become available , i think it is worth the wait  .

not only does the os have truly innovative features and functionality in hardware , but the software is of the highest quality ms has put out to date  .

vista is a fantastic business , home and gaming platform  .

many services are disabled by default making it the most secure os from ms to date  .

i have put rtm on 5 machines so far  .

a brand new macpro , a mac book pro , a dell optiplex gx260 , and my two systems at home , athlon xp 2400+ and a athlon x2 4000+  .

all of these machines scream (well , besides the dell)  .

building of the framework of the 2003 kernel makes this an extremely solid , reliable and secure os  .

after installing it on the macpro , i wont even go back to osx except for filemaker dev , apple scripting and xcode dev (rarely)  .

vista home premium is great for the average person , but if you want to see the true power of the os , go with ultimate  .

the beauty of this os surpasses os x by leaps and bounds , ive even used the latest seed of leopard only to find that its another kernel panicking pos like the rest  .

sorry steve , my money will go to bill again but hey , stay smug  .

overall vista premium is a great product it has to be taken care of those who dont think the same are the people who dont know how to take care of it and fill it with crap it can be better than xp just needs it basic requirements  .

im using 2 vistas with 1g of ram and 1 with 3g the first with 1g dosent work as it used to because thats the one thats kinda left in the corner and not cleaned the other two work great because there taken care of  .

microsoft obviously knows just how bad and buggy this os is  .

they should really come up with an , at least functional os and let those who are stuck with vista have the upgrade for free  .

that would be only fair updated  .

on feb 23 , 2009  .

