oh , i want a droid x .
i love this phone although it has glitches sometimes  .
Excellent camera, excellent display, nice touch screen, everything about the phone is nice except one thing; The battery isn't the best but does its what it can since the phone has a lot of features.
A solid Android phone that is amazingly thin considering it has a keyboard. Lots of Apps that will only keep growing.; Small internal memory, keyboard is a bit hard to type on, battery life is average. Android has a few quirks.
Screen res excellent, google maps, GPS Navigation, Lots of great apps, size is nice, real keyboard, customization, email works great, it actually works as a phone!! Unlike the iphone. Great sound quality.; Needs an all caps button, maybe I haven't found that yet...
True multitasking, great external and internal sound, better network, nice size, fantastic screen, voice recognition for search is phenomenal.; Need a separate app to monitor background processes (can get it for free), flat physical keyboard (which I rarely use, anyway)
great screen, like the physical qwerty keyboard, plenty of apps, good interface, fast 3G speeds; interface is good, but took a day or two for me to really learn it
Great screen, fast, great web browsing, so much to cutomize, new apps daily; It slowed down when I installed an anti-virus.... I deleted this and it is back up to speed. I was informed that the anti-virus was not necessary through several sources.
easy to use, takes the place of my old cell, my PDA, and my neuvi! Satellite navigation is awesome. Receiving e-mails on my phone is convenient and google calendar is a great tool. Small profile, fits easily in my pocket.; battery life!!!
Outstanding visuals, Facebook synchronization, open app store, multi-tasking apps, Google Maps, and a highly customizable OS.; The keyboard is a bit flat, and the phone screams 'manly' to the point where it can turn off some people if the default settings aren't switched.
Large screen, accelerometer, supports multi-touch, on screen keyboard (on portrait and landscape) are very responsive, autocorrect works well and is customizable. Takes very good pictures and the best video I have seen on a phone, w/ slideout qwerty; Just a tad confusing at first. Only holds 3x4 grid of widgets on home screen if you keep the Google Search bar there.
Customization. Connectivity. Syncs with my Mac/iTunes. Even plays ACC audio files. Play movies, music, sync email; google, mac mail, iCal through Google. Surf the WEB!!! Connect to Wi-Fi or 3G network. Games are good and getting better.; There are not as many games as on iPhone. You can't initiate voice dialing through bluetooth, you have to use the phone and hit 2 buttons instead of just one. The bluetooth device can dial the last number you called and answer calls though.
Huge screen. Very Responsive. The battery is great. A Hardware Keyboard, Virtual Keyboard as well. Very Thin. Android 2.0; Nothing really this phone is great the keyboard is something that you will get used to the most you use it
It is completely customizable. Everything is at your disposal. The Android Market has thousands and thousands of many and many are FREE!! There are so many things that I love about this phone, it would be hard to name them all.; I can't think of any.
- almost everything is customizable. - beautiful screen. - handy to have the physical keyboard. - multitasking. - fast processor. - nice camera; If you've been using an iPhone it takes a little getting used to the menu design. While not as intuitive, it is a better design in the end. What doesn't take any getting used to is its ability to multitask, faster processor, and better photos.
everything, great apps, customize everything, battery life is good as long as you dont run things all the time such as wifi and gps. absolutely no complaints.; i dont use the slide out keyboard much cause i got fat fingers and they are not textured so really hard to feel what you are pressing.
It's a powerful phone with tones of free apps and rich features. The features seem endless; The industrial design isn't the greatest. The iPhone is elegant, and this one, well, it's just a bit clunky. Motorola should wake up and add a little elegance to their products.. Also, no nice leather holster available! Magnets/sleep driving mode?
this phone is purely amazing. i used to have an iPhone that broke at least 7 times but my droid hasn't broken since i bought it on the first day that it came out.; some of the better iphone apps havent YET been made for android
Amazing screen, best in the market. 5MP camera takes amazing shots. The browser is fantastic and better than my Iphone. You can make you own 'widgets' which is a great feature.; Comes with no manual, hence you have to download one online.
Fast running phone on all functions and apps. Beautiful screen. Great media play. Real querty keyboard, plus portrait and landscape touch keyboards... all methods of typing for everyone. Super google turn by turn navigation. Lots of fun apps.; Keyboard does take getting used to. Would have been nice to have a user guide come with the phone.
Large, very responsive, bright and detailed, touchscreen. Physical qwerty keyboard. Google maps. Easy to use navigation. Google street view. Fast processing. 5MP Camera. Applications galore. Customization, widgets Call quality.; Battery life is okay. Camera can be slow. Not a big fan of the light sensor (for screen brightness being located on the back of the phone).
3g coverage AMZING!. it is multitouch. GREAT APPS that iphone dosent have and many that the iphone has!. MULTITASK! i dint even know what itWAS. IPHONE KILLNER? NO! THIS IS IPHONE WORST DREAM (IPHONE DESTROYER). (I AM AN IPHONE OWNER) 2 of them. hacked)); keyboard takes time to get just2 but u do.. it feels slow BUT ITS NOT it has the same proccessor as the 3GS iphone. icons not soo nice but they are ok.. GREAT PHONE for sure!
lots of apps, stuff you need, and probably never knew you needed. beautifull screen, top notch google GPS built in, emails, calendar, you name it. great sound on calls as well as speaker; none! most of the complaints can be traced back to user issues- apps that are downloaded that chug battery power, snap on covers that block the speaker or mic... things like that. moto will be doing OTA updates to fix other issues- I love that!
Dual Processors, Blazing fast internet, Multitasking with thousands of Applications, Totally Customizable phone, Google Maps with Free GPS, I love it so much!; Battery life is shorter than usual due to dual processors. The operating manual is a joke, only cover basics and leaves you to learn everything else. Data Package to use this cell is additional $30 to your calling plan ouch!
Ive a scripture ap for church. It remembers my audiobook place. The google maps directions, traffic &#38; weather bug (ap) are REALLY handy. It surfs fast as a 'puter &#38; boots faster. This phone does it all: pics, gps, mp3.; My hubby hit it the first time it gave us driving directions because the voice scared him. The battery lasts only about a day but I use it almost constantly. Had to go to ehow.com to get directions on how to use it.
Great device that is versatile and provides the functionality of high-end phone, GPS, and PDA in one. Voice capability was just added and so far it is amazing.; Keyboard is just a little small compared to other phones but with a little practice all is well. Screen is difficult to keep clean, but that is a mix of using it frequently and the touch screen capabilities.
Multi-tasking is a noteworthy feature packed into the Verizon Droid. 5mp camera, fast processors and expandable memory, High resolution Screen, I like the keyboard and it incorporates the best that happened to the internet since the Internet. Google.; Verizon made it cheap 2warm people up 2 a phone that can actually measure up 2 the best Phone they've evr seen not another failed attempt 2copy the Iphone. Its cheap n it shows from a mile away. Apple is a tough competitor Its favored by certain ppl.
Excellent phone - and the hi res screen makes the web, videos, and most other apps awesome. Bargain price for early adopters and the phone includes audible turn by turn navigation and more like a one time fee for an app to tether to your laptop.; Apps still coming. I think I still miss an external phone button but there is already a widget to make speed dialing a matter of tapping the screen once for speed dial #1, twice for #2....
Beautiful big screen. Android OS. excellent sound and customization options. Excellent product that I would recommend to anyone except my grandmother.; A bit heavy for my tastes, but at least it's a direct result of using metal instead of plastic. The battery life could be better when Wi-Fi is on.
I love the slide out QWERTY keyboard. I have heard people complain that the keys are too flat, but you really get used to it after a couple of texts..at least I did.; I really don't have any cons other than currently there is no pinch zoom in the default browser..but that is coming soon..and the cameras shutter is kinda slow so you have to make sure you hold still while taking pics.
More than just a phone, a mini-computer! My first smart phone, and I didn't realize what I was missing.. Google Maps works great. Lots of apps, some that are actually usable.. Great battery life on standby (using task killer).; Some websites aren't viewable, esp those with Adobe Flash.. After leaving plugged in over night, seems to stop charging and goes back into an 'unplugged' mode. So, keeping it plugged in will not ensure it is always charged.
This phone is fast, the screen is amazing, the feel is solid, the soft keyboard is easier to use on the larger screen, the speaker kicks "a" ... Facebook integration.; The hard keyboard is a little small, but I got used to it easily. I don't like the flash on the camera. My volume toggle is loose feeling, but solid, and I wish the charger was on the bottom.
Compared to other smartphones this device definately stands out. The call quality is excellent, which is sometimes sacrificed with other smartphones. The turn by turn navigation with google maps is a great alternative to other native apps.; The camera could be a little more dependable, but this is to be patched on the new OS update. Over the course of time I believe app developers will concentrate more on developing Android centralized programs. I would like to see easier pc link.
The google navigation system is the best in the world. The screen resolution is the best I have seen. I am comfortable with the size. The apps are great, love the browser speed and the phone as a phone has been flawless.; Having trouble with the Wi-Fi, camera takes some time getting used to, keyboard is not the greatest. World Wide phone network by verizon would be nice.
Well the screen is higher res than any phone out there. Google works great and everything runs really fast and I can have multiple stuff open and it doesn't slow down!!! wooooohooo. Plus my company account was super easy to set up; None really. The face book app is kinda just skin and bones but if you use the browser to use facebook...it works just fine
I feel like I have my Palm Pilot back without all the crashes. Love having my calendar and complete address book with me at all times, along with weather at a glance, fun games (Space Physics!), music, great camera and GPS. Great phone!; Touch is very sensitive, am always hitting something that jumps me out of what I'm using. Hate that I can't use an exterior button to make a a voice call.
Freedom to do literally WHAT EVER YOU WANT! loud speakers, great service from verizon, flash 10.1, growing application store, excellent camera quality, and a huge screen to display it all!; application store is behind apples as of the today, when to many apps run in background, the phone can slow up and crash from time to time, but not to frequently to be an issue.
Very fast and responsive. I love the open source and most of the apps that I had to buy for my iPhone are free for the Droid. This is the best phone I have ever owned and I have owned a lot.; Don't care much for the physical keyboard but I use the virtual keyboard anyway.
I was a Blackberry fan for years but. this cell phone "rocks!" Great response with Verizon and truly incredible speed.; This is the first of many to come so it might be wise to wait six months.. I'm pleased to have bought this on the first day of release.
Big bright screen. Fast downloading. All the apps I need for what I do. Easily customized. Lots of free apps, only had to buy a couple. Love Google maps. Speakerphone is sweet. 3 homescreens to organize apps. Good call quality.; Not a con but the weight of the phone took getting used to. Would be lighter without the slideout keyboard.. I kinda wish that it had cut-paste capability when I'm working in the NoteEverything app.
Verizon's great service and coverage area The software is better than the iphone's and the screen is just as responsive as the iphone. Also, the crystal clear screen is huge. The slide keyboard also allows you to utilize the full screen horizontally.; One of the few things that bugs me is the mini usb cable instead of the regular. Also the keyboard keys are a bit shallow and take some getting used to. (which I am still doing)
The touch screen is very responsive. The phone is FAST, making multi-tasking a breeze. Screen is bright and crisp. Many ways to customize your home screens with shortcuts, folders, and widgets. Call quality is excellent. Tons of apps to choose from.; The only thing I don't like is that you frequently turn the volume up or down unintentionally due to the design and placement of the volume control. Keyboard initially is odd, but after a few weeks I was typing with no problem.
Keyboard (even though it sucks it has one). Screen. Fast internet and processor. Growing App center. Battery life. Multitasking (had it to 3 apps and no problems). no droped calls in a long time and works in places I thought it wouldn't work; Camera Does suck but I hear its software not hardware and is going to be patched. I guess its a little heavy but I don't see a problem with that. Apps also crash or don't work with the android 2.0 software conflict or droid phone itself don't know
The call quality crystal clear. The speaker phone is very loud. Powerful vibrator. The screen is very sharp. The browser is fast!! .Google navigation/voice search will blow you away. Physical, and virtual keyboards (nice touch). Just great.; The camera is not good. Pictures are bad for a 5mp camera (update hopefully). Physical keyboard (not the best) takes some getting used to. Had a battery issue. Drained quick. It was going to be a deal breaker. I exchanged battery, all day usage now.
Google calendar, Windows Live mail, and Apps run fast and easy. It has a good keyboard. Have not had to "reboot" the phone yet because it hung up or froze. Screen is large, and resolution is larger than most phones.; Its a little heavy. No extended battery available yet. Phone does not use standard usb mini plug, so have to get plug in chargers and car plugs for it (good news is they are surprising cheap on the internet).
The Droid has a gorgeous screen, great design, and a huge feature list. It also has Android 2.0, which now boasts a new user interface and a smoother experience. Battery life is better than many other smartphones on the market, build quality is up.; The Droid's keyboard is flat, and sometimes isn't quite as accurate as it needs to be. The home screen is a bit laggy, and the UI still doesn't have the same polish that HTC's Sense UI does. Lack of multitouch built-in is odd considering HTC has it.
I have been a Verizon customer for over 10 years and have owned at least 5 different types of phones. I must say that this has phone has really changed my mobile experience as it allows me to stay connected to the online community with ease.; The lack of multi-touch with the on-screen keyboard is a drawback for two finger typing. However, I usually will type with only my right index finger, thus do not struggle with the lack of this feature.
Internet access practically anywhere. This is THE phone for people who really don't want a cell phone. I've heard a lot of compaints about battery life, but it beats a laptop hands down. The charger that comes with the droid is also a USB cable.; It's addictive. The biggest problem I have thus far is that the touch screen is too sensitive while talking on the phone. Again, if the only thing you want is a device to make and receive calls, save your money and buy a basic cellphone.
